
Automatic Data Collection:
Thu Feb 21 17:09:19 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00437	 0.07240
0.05000	 0.00358	 0.07476
0.10000	 0.00051	 0.09751
0.15000	 0.00901	 0.08983
0.20000	 0.00558	 0.07932
0.25000	 0.00512	 0.07251
0.30000	 -0.00031	 0.08510
0.35000	 0.00437	 0.07753
0.40000	 0.00792	 0.07496
0.45000	 0.00335	 0.09182
0.50000	 -0.00088	 0.09404
0.55000	 0.00639	 0.08247
0.60000	 0.00161	 0.07540
0.65000	 -0.00092	 0.08351
0.70000	 -0.00245	 0.08925
0.75000	 0.00594	 0.08689
0.80000	 0.00813	 0.07084
0.85000	 0.00398	 0.08074
0.90000	 -0.00217	 0.08752
0.95000	 0.00795	 0.08905
1.00000	 0.00704	 0.07436
1.05000	 0.00278	 0.08660
1.10000	 -0.00247	 0.08752
1.15000	 0.00019	 0.08654
1.20000	 0.00749	 0.07387
1.25000	 0.00416	 0.08501
1.30000	 0.00085	 0.09306
1.35000	 0.00673	 0.08919
1.40000	 0.00237	 0.07543
1.45000	 0.00074	 0.07840
1.50000	 0.00264	 0.09439
1.55000	 0.00571	 0.08541
1.60000	 0.00274	 0.07447
1.65000	 -0.00019	 0.08593
1.70000	 0.00059	 0.08741
1.75000	 0.01123	 0.07895
1.80000	 0.01076	 0.07473
1.85000	 0.00588	 0.09142
1.90000	 0.00074	 0.08706
1.95000	 0.01070	 0.07964
2.00000	 0.01306	 0.07395
2.05000	 0.00594	 0.08775
2.10000	 -0.00427	 0.09618
2.15000	 0.00029	 0.09390
2.20000	 0.00516	 0.07652
2.25000	 0.00025	 0.08106
2.30000	 -0.00112	 0.08258
2.35000	 0.00640	 0.08293
2.40000	 0.00791	 0.07072
2.45000	 0.00642	 0.08876
2.50000	 0.00425	 0.09748
2.55000	 0.01267	 0.09286
2.60000	 0.00933	 0.07121
2.65000	 0.00505	 0.07635
2.70000	 0.00215	 0.08769
2.75000	 0.00963	 0.08178
2.80000	 -0.00020	 0.08175
2.85000	 0.00073	 0.08674
2.90000	 0.00352	 0.08971
2.95000	 0.01422	 0.07531
3.00000	 0.01087	 0.08172
3.05000	 -0.00003	 0.09350
3.10000	 0.00419	 0.09777
3.15000	 0.00974	 0.08573
3.20000	 0.00558	 0.07673
3.25000	 -0.00082	 0.09684
3.30000	 0.00046	 0.09090
3.35000	 0.00673	 0.07987
3.40000	 0.01017	 0.06991
3.45000	 0.00326	 0.08048
3.50000	 -0.00368	 0.08888
3.55000	 0.00287	 0.09202
3.60000	 0.00482	 0.08426
3.65000	 -0.00408	 0.09907
3.70000	 0.00172	 0.09531
3.75000	 0.00960	 0.07378
3.80000	 0.00388	 0.06068
3.85000	 0.00060	 0.08801
3.90000	 0.00394	 0.09811
3.95000	 0.00783	 0.07802
4.00000	 -0.00037	 0.07765
4.05000	 -0.00012	 0.08293
4.10000	 0.00685	 0.08339
4.15000	 0.01298	 0.07468
4.20000	 0.00471	 0.08487
4.25000	 -0.00197	 0.09295
4.30000	 0.00296	 0.09292
4.35000	 0.01143	 0.08567
4.40000	 0.00974	 0.07950
4.45000	 0.00429	 0.08873
4.50000	 0.00278	 0.09020
4.55000	 0.00653	 0.07797
4.60000	 0.00594	 0.07228
4.65000	 0.00305	 0.09038
4.70000	 0.00425	 0.08726
4.75000	 0.00977	 0.08824
4.80000	 0.00868	 0.08114
4.85000	 0.00301	 0.09009
4.90000	 0.00453	 0.08527
4.95000	 0.00637	 0.07548
5.00000	 0.00426	 0.07087
5.05000	 0.00073	 0.09751
5.10000	 0.00661	 0.08732
5.15000	 0.00716	 0.07017
5.20000	 0.00637	 0.08472
5.25000	 0.00245	 0.09448
5.30000	 0.00844	 0.08931
5.35000	 0.00701	 0.07854
5.40000	 0.00254	 0.09713
5.45000	 0.00555	 0.09725
5.50000	 0.00533	 0.08042
5.55000	 0.00670	 0.07107
5.60000	 -0.00050	 0.08524
5.65000	 -0.00672	 0.09093
5.70000	 -0.00293	 0.09110
5.75000	 0.01047	 0.08033
5.80000	 0.00795	 0.08527
5.85000	 0.00243	 0.09260
5.90000	 0.00143	 0.08660
5.95000	 -0.00078	 0.06882
6.00000	 -0.00078	 0.07430
6.05000	 -0.00039	 0.08518
6.10000	 0.01103	 0.09502
6.15000	 0.00648	 0.08495
6.20000	 0.00037	 0.07837
6.25000	 -0.00020	 0.09546
6.30000	 0.00823	 0.07869
6.35000	 0.00947	 0.08224
6.40000	 0.00257	 0.08911
6.45000	 0.00198	 0.09453
6.50000	 0.00983	 0.09171
6.55000	 0.00673	 0.08209
6.60000	 0.00338	 0.09554
6.65000	 0.00330	 0.09295
6.70000	 0.00729	 0.08694
6.75000	 0.01087	 0.07471
6.80000	 0.00540	 0.09638
6.85000	 -0.00343	 0.10163
6.90000	 0.00439	 0.08902
6.95000	 0.00941	 0.07012
7.00000	 0.00653	 0.07750
7.05000	 0.00065	 0.09020
7.10000	 0.00336	 0.09886
7.15000	 0.00862	 0.08426
7.20000	 0.00667	 0.09298
7.25000	 0.00239	 0.08856
7.30000	 0.00747	 0.08839
7.35000	 0.00243	 0.07139
7.40000	 -0.00326	 0.07655
7.45000	 0.00147	 0.08631
7.50000	 0.00631	 0.08432
7.55000	 0.00012	 0.08836
7.60000	 0.00189	 0.10423
