,art,bart,mlem,osem,ospml_hybrid,ospml_quad,pml_hybrid,pml_quad,sirt,tv
n_iter,[ 1  2  3  4  5  6  7  8  9 10 11],"[  1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171
 181 191 201 211 221 231 241 251]",[ 1  6 11 16 21 26 31 36 41 46 51 56 61],[ 1  6 11 16 21 26 31 36 41 46 51 56 61],"[  1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171
 181 191 201]","[  1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171
 181 191 201]",[  1  11  21  31  41  51  61  71  81  91 101 111 121 131 141],"[  1  11  21  31  41  51  61  71  81  91 101 111 121 131 141 151 161 171
 181 191 201]",[  1  21  41  61  81 101 121 141 161 181 201 221 241 261 281 301],[  1  31  61  91 121 151 181 211 241 271 301 331 361]
mse,"[8176.37873923 7132.88950852 6797.79633878 6766.07806147 6895.25454011
 7025.4050199  7103.08866847 7146.56648515 7185.30817913 7233.3496217
 7291.08327581]","[124252.16345203  53315.98707078  31013.05759877  20463.60968285
  14926.67912046  11822.24619675   9991.23855353   8866.83256314
   8153.51263749   7688.92507796   7379.85132787   7170.71852752
   7027.31448662   6927.98914576   6858.71512368   6810.21848549
   6776.26098634   6752.58335074   6736.24032608   6725.17292658
   6717.92803017   6713.47156877   6711.06272742   6710.16725112
   6710.39770981   6711.47233555]","[126048.85781952  36676.25884216  19144.4418994   14900.30869106
  13681.18507864  13653.65202262  14158.22767686  14919.26224029
  15809.31671163  16761.89094509  17739.58581103  18720.55937351
  19691.7386929 ]","[126048.85781952  36676.25884216  19144.4418994   14900.30869106
  13681.18507864  13653.65202262  14158.22767686  14919.26224029
  15809.31671163  16761.89094509  17739.58581103  18720.55937351
  19691.7386929 ]","[126836.27590836  19955.03169506  11413.19034187   9110.17058116
   8251.42675236   7880.04524465   7702.851136     7610.99047786
   7559.64180342   7528.92140738   7509.41079111   7496.36522058
   7487.25312292   7480.64898331   7475.71151829   7471.92332743
   7468.95254558   7466.58060221   7464.6571489    7463.07639844
   7461.76321443]","[126836.46089248  20132.87525762  11546.42301677   9263.56842878
   8443.36856552   8101.7893944    7942.72804276   7861.11778317
   7815.53360038   7788.15805364   7770.69561629   7758.98943937
   7750.8126183    7744.90183916   7740.5030724    7737.14773298
   7734.53289964   7732.45767765   7730.78369351   7729.41455266
   7728.27994167]","[126805.93748848  19508.32083308  11804.59735034  10054.83723128
   9453.76976641   9198.66503988   9077.66821842   9015.31521245
   8979.77777941   8956.73645383   8939.8311887    8926.26746065
   8914.78499913   8904.77586943   8895.92149826]","[126805.93748848  19552.35680199  11475.90327489   9389.17824645
   8541.06989443   8112.37457501   7867.59556373   7714.89736608
   7612.61654399   7540.14917174   7486.52446743   7445.47913964
   7413.21329822   7387.30312024   7366.13511624   7348.59572776
   7333.89040512   7321.43649795   7310.79625936   7301.634702
   7293.69063396]","[124252.16345203  31013.05759877  14926.67912046   9991.23855353
   8153.51263749   7379.85132787   7027.31448662   6858.71512368
   6776.26098634   6736.24032608   6717.92803017   6711.06272742
   6710.39770981   6713.18536313   6717.96142678   6723.93500479]","[146869.26059907  30636.85264838  14071.47857611   9316.91764762
   7581.09785607   6847.8902147    6511.99834712   6354.10013472
   6283.25959502   6257.24327712   6254.16801636   6263.30363408
   6278.75794834]"
im_best,"[[ -3.20777313  -3.23638476 -21.78283075 ...   3.12703464 -10.81590624
   -0.65625517]
 [-18.51108089   0.87299962  -4.67875461 ... -17.98073175   6.73160565
    1.79773918]
 [ -9.23689225  -8.72786777  -4.45251687 ...  12.6711897    1.55411632
   -0.22695539]
 ...
 [  0.76644214 -11.0417081  -11.85778991 ...  -0.7799635  -14.78295526
  -16.1398596 ]
 [  0.84213283 -17.45277911 -13.87741246 ... -35.32308178  -7.12384614
    5.91615414]
 [-28.63214727  -7.38616194  -8.13129466 ... -13.45208064 -41.67147469
  -23.72707308]]","[[-10.00414276   6.37001457 -19.87189291 ...   2.27021259 -10.65147967
    7.45693433]
 [-16.80638669   2.351472    -8.22975447 ... -26.63427801  24.35150073
   14.96228478]
 [ -8.09016139 -11.47462218   0.26945577 ...  25.10554058   9.45595591
    5.00220862]
 ...
 [  8.85537641  -8.81095439 -12.19283258 ... -25.43800952 -38.57741537
  -45.32959434]
 [  2.60796894 -18.52084616 -26.37702813 ... -58.59120371 -31.85216005
   -8.2133725 ]
 [-30.12955093  -6.70789348 -13.91346892 ... -32.12415624 -76.14309312
  -45.37082885]]","[[1.78604584e-08 1.30208317e-07 1.00255818e-08 ... 4.48091336e-07
  3.91614415e-06 1.53872617e-06]
 [9.68658338e-09 4.02702770e-08 7.66164803e-08 ... 1.07721966e-06
  2.59981645e-05 5.51007457e-06]
 [2.21024302e-08 1.58496006e-08 2.38055863e-08 ... 7.37875715e-06
  1.24241072e-06 7.62993951e-07]
 ...
 [5.93178747e-07 1.97234362e-07 2.06879498e-07 ... 1.55291409e-08
  1.04894190e-08 2.48291950e-08]
 [1.29148174e-07 1.18447737e-07 6.19191659e-08 ... 2.00884364e-08
  2.13855237e-08 3.51634306e-08]
 [7.84992598e-09 2.19817542e-07 3.30911396e-08 ... 1.97064650e-08
  7.73611527e-09 3.13562225e-09]]","[[1.78604584e-08 1.30208317e-07 1.00255818e-08 ... 4.48091336e-07
  3.91614415e-06 1.53872617e-06]
 [9.68658338e-09 4.02702770e-08 7.66164803e-08 ... 1.07721966e-06
  2.59981645e-05 5.51007457e-06]
 [2.21024302e-08 1.58496006e-08 2.38055863e-08 ... 7.37875715e-06
  1.24241072e-06 7.62993951e-07]
 ...
 [5.93178747e-07 1.97234362e-07 2.06879498e-07 ... 1.55291409e-08
  1.04894190e-08 2.48291950e-08]
 [1.29148174e-07 1.18447737e-07 6.19191659e-08 ... 2.00884364e-08
  2.13855237e-08 3.51634306e-08]
 [7.84992598e-09 2.19817542e-07 3.30911396e-08 ... 1.97064650e-08
  7.73611527e-09 3.13562225e-09]]","[[-3.16143755e-14  2.45828664e-14  7.71309895e-07 ...  2.40788492e-06
  -5.58597273e-15  1.34996419e-06]
 [ 6.22000072e-15 -3.01847649e-15  1.85985502e-14 ...  1.43071785e-16
   1.72260669e-06  1.03781204e-15]
 [ 1.17229936e-06  1.69902527e-06  3.50259444e-08 ...  2.31201369e-06
   2.18147680e-06  1.10645087e-07]
 ...
 [ 1.24740104e-14  1.24029644e-06  2.99115865e-06 ...  1.59148766e-14
  -4.92171407e-14  8.54381663e-08]
 [ 9.89445968e-07 -2.91770598e-15  1.75552894e-06 ...  1.00368950e-14
  -1.14133751e-14 -6.10035669e-15]
 [ 1.30276539e-15  2.24805088e-06  2.55880657e-06 ...  1.61489648e-14
   2.23530335e-14  1.82481102e-14]]","[[ 2.32339939e-14  2.45828664e-14  7.71309895e-07 ...  2.40788461e-06
  -5.58597273e-15  1.34996419e-06]
 [ 6.22000072e-15 -1.56620683e-16  1.85985456e-14 ...  4.53680180e-17
   1.72260669e-06 -1.05959740e-15]
 [ 1.17229936e-06  1.69902527e-06  3.50260549e-08 ...  2.31201338e-06
   2.18147649e-06  1.10645174e-07]
 ...
 [ 2.03960862e-15  1.24029628e-06  2.99115834e-06 ...  1.59148742e-14
  -4.92171313e-14  8.54381761e-08]
 [ 9.89445968e-07 -2.11104038e-15  1.75552847e-06 ... -4.61903907e-15
  -1.14133728e-14  1.92527604e-15]
 [ 1.40854018e-16  2.24805073e-06  2.55880657e-06 ...  1.82119979e-14
  -9.92716376e-15  1.82481102e-14]]","[[-1.96968091e-06 -4.69525586e-06  1.39623775e-05 ...  4.92605342e-06
  -3.11586558e-06  3.81053615e-06]
 [-3.18972383e-06 -4.80612047e-07 -4.65092240e-06 ... -2.86915429e-06
   1.29650524e-05 -1.94361741e-06]
 [ 1.32552643e-05  1.42205258e-05 -1.14370090e-06 ...  1.36122315e-05
   1.43199864e-05 -1.04338218e-06]
 ...
 [-3.24627543e-06  9.36743185e-07  1.52693895e-05 ... -4.19159478e-06
  -5.19344377e-06  1.40506669e-05]
 [ 1.33775623e-05 -2.33721102e-06  1.27763193e-05 ...  7.06776371e-07
  -2.99589502e-06 -1.24585790e-07]
 [-2.02539922e-06  1.33408941e-05  1.51709083e-05 ... -2.37710893e-06
  -4.68237087e-06 -2.01204548e-06]]","[[-1.96968091e-06 -4.69525586e-06  1.39623750e-05 ...  4.92605342e-06
  -3.11586558e-06  3.81053553e-06]
 [-3.18972353e-06 -4.80611971e-07 -4.65092117e-06 ... -2.86915336e-06
   1.29650499e-05 -1.94361726e-06]
 [ 1.32552619e-05  1.42205233e-05 -1.14370059e-06 ...  1.36122302e-05
   1.43199827e-05 -1.04338210e-06]
 ...
 [-3.24627512e-06  9.36742874e-07  1.52693883e-05 ... -4.19159415e-06
  -5.19344251e-06  1.40506631e-05]
 [ 1.33775599e-05 -2.33721040e-06  1.27763168e-05 ...  7.06776292e-07
  -2.99589470e-06 -1.24585780e-07]
 [-2.02539906e-06  1.33408929e-05  1.51709058e-05 ... -2.37710893e-06
  -4.68237087e-06 -2.01204548e-06]]","[[-10.16275257   5.99551388 -20.22591887 ...   2.25236442 -11.14876447
    7.19158875]
 [-17.04558656   2.0363605   -8.39181789 ... -27.15071517  24.20473584
   14.96459001]
 [ -8.29925496 -11.83244584  -0.18503069 ...  24.96082181   9.45151708
    4.68496672]
 ...
 [  8.84182989  -8.74359496 -12.42637016 ... -25.75903871 -38.55771449
  -46.05073086]
 [  2.73443055 -18.7880664  -26.49356791 ... -59.15909594 -32.02044143
   -8.19355543]
 [-30.14776909  -6.83119379 -13.69425865 ... -32.06626049 -76.95639064
  -45.92256425]]","[[ -7.33655087  -7.42198596  -7.48465492 ...  -4.10944568  -4.10679505
   -4.10467616]
 [ -7.34890216  -7.43494164  -7.49860848 ...  -4.12173578  -4.11925481
   -4.11701456]
 [ -7.36075266  -7.44764273  -7.51236999 ...  -4.13710739  -4.13510787
   -4.13364324]
 ...
 [ -5.82652972  -5.87383198  -5.91011473 ... -16.73944093 -16.7395941
  -16.74000739]
 [ -5.82526623  -5.87272587  -5.90889552 ... -16.73951223 -16.73955448
  -14.55324993]
 [ -5.8242311   -5.87187541  -5.90847162 ... -16.73978028 -26.9017713
  -44.57904384]]"
iter_best,4,231,26,26,201,201,141,201,241,301
