Time,Integral 1200,Integral 7400,
1.52816e+09,98275,162316
1.52816e+09,39559,64554
1.52816e+09,66128,110518
1.52816e+09,42851,70422
1.52816e+09,41299,69430
1.52816e+09,63774,106286
1.52816e+09,72079,119503
1.52816e+09,51264,85716
1.52816e+09,47334,78477
1.52816e+09,42100,70346
1.52816e+09,53462,81116
1.52816e+09,36762,60183
1.52816e+09,149853,250607
1.52816e+09,51719,85423
1.52816e+09,68427,113412
1.52816e+09,48255,79100
1.52816e+09,50899,84746
1.52816e+09,228487,382596
1.52816e+09,121740,203899
1.52816e+09,76378,128782
1.52816e+09,99605,162682
1.52816e+09,35946,59580
1.52816e+09,42531,69754
1.52816e+09,52353,87469
1.52816e+09,35925,59372
1.52816e+09,38109,63073
1.52816e+09,59424,98696
1.52816e+09,66075,110195
1.52816e+09,44731,73896
1.52816e+09,42393,71490
1.52816e+09,34641,56787
1.52816e+09,149932,252563
1.52816e+09,35750,58074
1.52816e+09,39804,66122
1.52816e+09,90569,150694
1.52816e+09,48813,81270
1.52816e+09,40181,66354
1.52816e+09,44763,73718
1.52816e+09,57334,94431
1.52816e+09,39283,65864
1.52816e+09,38956,64559
1.52816e+09,39734,66126
1.52816e+09,43267,71956
1.52816e+09,40444,65922
1.52816e+09,91392,153197
1.52816e+09,36496,60463
1.52816e+09,39651,63505
1.52816e+09,36243,60515
1.52816e+09,38623,62664
1.52816e+09,65221,109026
1.52816e+09,49167,81310
1.52816e+09,45190,74822
1.52816e+09,41300,68576
1.52816e+09,263475,439556
1.52816e+09,37781,83043
1.52816e+09,93498,154189
1.52816e+09,57529,95962
1.52816e+09,38714,63698
1.52816e+09,47512,78893
1.52816e+09,64851,108966
1.52816e+09,42007,69798
1.52816e+09,37810,60676
1.52816e+09,60388,100065
1.52816e+09,58911,98160
1.52816e+09,53662,88546
1.52816e+09,68194,112864
1.52816e+09,38979,60749
1.52816e+09,42627,69973
1.52816e+09,90482,151313
1.52816e+09,275083,460174
1.52816e+09,37901,62315
1.52816e+09,66440,109287
1.52816e+09,89643,151572
1.52816e+09,47544,103371
1.52816e+09,51230,85318
1.52816e+09,46240,76250
1.52816e+09,69218,115230
1.52816e+09,39743,65060
1.52816e+09,290120,483059
1.52816e+09,45010,69576
1.52816e+09,44310,72852
1.52816e+09,36665,59593
1.52816e+09,500647,835276
1.52816e+09,63592,106351
1.52816e+09,50953,84905
1.52816e+09,53148,86939
1.52816e+09,40155,66522
1.52816e+09,66893,109695
1.52816e+09,38222,64000
1.52816e+09,39064,65562
1.52816e+09,37072,61508
1.52816e+09,40483,66690
1.52816e+09,71312,117473
1.52816e+09,59327,98172
1.52816e+09,37256,61206
1.52816e+09,56756,93501
1.52816e+09,44378,73804
1.52816e+09,63928,105285
1.52816e+09,35556,58771
1.52816e+09,39010,66207
1.52816e+09,41649,69188
1.52816e+09,116135,193684
1.52816e+09,62187,103961
1.52816e+09,37926,62303
1.52816e+09,39298,63862
1.52816e+09,40063,66121
1.52816e+09,199978,334164
1.52816e+09,109624,184230
1.52816e+09,43770,72870
1.52816e+09,44645,73540
1.52816e+09,278619,467876
1.52816e+09,73288,122490
1.52816e+09,47703,79618
1.52816e+09,38104,63639
1.52816e+09,51734,84310
1.52816e+09,42987,71180
1.52816e+09,61489,101768
1.52816e+09,175914,291629
1.52816e+09,40091,66347
1.52816e+09,58661,98135
1.52816e+09,91001,150636
1.52816e+09,89453,149406
1.52816e+09,39246,66399
1.52816e+09,37402,61661
1.52816e+09,48995,80358
1.52816e+09,84131,141110
1.52816e+09,53279,87549
1.52816e+09,59411,97904
1.52816e+09,53761,88984
1.52816e+09,90460,151866
1.52816e+09,43547,72241
1.52816e+09,59266,98529
1.52816e+09,48157,79831
1.52816e+09,48653,79952
1.52816e+09,40969,68467
1.52816e+09,36992,60542
1.52816e+09,39921,67164
1.52816e+09,36725,59796
1.52816e+09,55509,93021
1.52816e+09,56103,91523
1.52816e+09,47368,79772
1.52816e+09,43386,72284
1.52816e+09,39144,64809
1.52816e+09,36115,59059
1.52816e+09,41340,68511
1.52816e+09,64132,105826
1.52816e+09,168058,281844
1.52816e+09,47928,80156
1.52816e+09,55595,92281
1.52816e+09,48674,82108
1.52816e+09,45495,76568
1.52816e+09,49892,82241
1.52816e+09,39077,65680
1.52816e+09,59554,97794
1.52816e+09,44516,74713
1.52816e+09,58382,97034
1.52816e+09,48701,80887
1.52816e+09,37516,60302
1.52816e+09,138789,231347
1.52816e+09,51186,84008
1.52816e+09,132979,223151
1.52816e+09,32444,53065
1.52816e+09,46278,75946
1.52816e+09,46230,77312
1.52816e+09,43198,70344
1.52816e+09,41260,63922
1.52816e+09,35894,58758
1.52816e+09,99895,166717
1.52816e+09,40690,68063
1.52816e+09,76229,126745
1.52816e+09,37710,62282
1.52816e+09,39830,65027
1.52816e+09,62818,103271
1.52816e+09,64861,107340
1.52816e+09,37058,60729
1.52816e+09,42194,69182
1.52816e+09,37995,61642
1.52816e+09,36361,61097
1.52816e+09,36268,60020
1.52816e+09,46760,77917
1.52816e+09,42305,71256
1.52816e+09,66595,111875
1.52816e+09,161255,267316
1.52816e+09,72553,121224
1.52816e+09,59026,98111
1.52816e+09,38461,63544
1.52816e+09,51483,86359
1.52816e+09,37830,63056
1.52816e+09,39036,64006
1.52816e+09,41205,68102
1.52816e+09,39894,64711
1.52816e+09,44270,73884
1.52816e+09,46247,76092
1.52816e+09,48391,82532
1.52816e+09,35721,59826
1.52816e+09,38244,62436
1.52816e+09,51008,83916
1.52816e+09,42338,68237
1.52816e+09,68994,115197
1.52816e+09,45925,76742
1.52816e+09,47376,79540
1.52816e+09,67201,111034
1.52816e+09,36516,60243
1.52816e+09,54603,88922
1.52816e+09,38434,63000
1.52816e+09,50288,83552
1.52816e+09,51779,86403
1.52816e+09,34317,56175
1.52816e+09,42418,70463
