
Automatic Data Collection:
Tue Feb 26 11:39:11 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00040	 0.16935
0.05000	 0.00554	 0.16964
0.10000	 -0.00640	 0.16407
0.15000	 -0.00365	 0.16121
0.20000	 -0.01445	 0.15128
0.25000	 -0.00941	 0.17270
0.30000	 -0.00406	 0.15420
0.35000	 -0.01020	 0.16635
0.40000	 -0.00012	 0.15974
0.45000	 -0.00313	 0.15469
0.50000	 -0.01672	 0.15982
0.55000	 0.00683	 0.17714
0.60000	 0.00685	 0.16978
0.65000	 0.00120	 0.16245
0.70000	 -0.00764	 0.16658
0.75000	 0.00612	 0.18193
0.80000	 -0.00404	 0.16441
0.85000	 -0.01113	 0.16713
0.90000	 -0.01286	 0.17480
0.95000	 0.00471	 0.15988
1.00000	 -0.01127	 0.16641
1.05000	 0.00133	 0.17059
1.10000	 0.00322	 0.17045
1.15000	 0.00092	 0.17068
1.20000	 -0.00128	 0.17504
1.25000	 0.00257	 0.16629
1.30000	 -0.00776	 0.17544
1.35000	 -0.00562	 0.16869
1.40000	 -0.00531	 0.17053
1.45000	 -0.00094	 0.16337
1.50000	 -0.01894	 0.16808
1.55000	 -0.02121	 0.17082
1.60000	 -0.01424	 0.18375
1.65000	 0.00590	 0.16958
1.70000	 0.00418	 0.18006
1.75000	 -0.00375	 0.17198
1.80000	 0.00294	 0.16280
1.85000	 0.00160	 0.15948
1.90000	 -0.00237	 0.17475
1.95000	 -0.00196	 0.18193
2.00000	 0.01581	 0.17400
2.05000	 0.00401	 0.17385
2.10000	 0.00147	 0.17377
2.15000	 0.00908	 0.18280
2.20000	 0.00224	 0.18006
2.25000	 -0.01083	 0.16415
2.30000	 -0.00227	 0.17584
2.35000	 0.00026	 0.17509
2.40000	 -0.00306	 0.17472
2.45000	 -0.00286	 0.16418
2.50000	 0.00215	 0.18240
2.55000	 -0.00412	 0.16695
2.60000	 0.00409	 0.17149
2.65000	 0.01510	 0.16311
2.70000	 -0.00275	 0.18670
2.75000	 -0.00074	 0.17506
2.80000	 0.00481	 0.18831
2.85000	 0.00306	 0.17879
2.90000	 0.00709	 0.19048
2.95000	 0.00927	 0.18672
3.00000	 0.00399	 0.17815
3.05000	 -0.00671	 0.17899
3.10000	 -0.00513	 0.16721
3.15000	 -0.00215	 0.18739
3.20000	 -0.00657	 0.16531
3.25000	 0.00077	 0.17267
3.30000	 0.00584	 0.17928
3.35000	 -0.00711	 0.17030
3.40000	 -0.00069	 0.16349
3.45000	 -0.00170	 0.16912
3.50000	 -0.00798	 0.17541
3.55000	 -0.00979	 0.18089
3.60000	 0.00281	 0.17391
3.65000	 0.00086	 0.17146
3.70000	 -0.01018	 0.17319
3.75000	 0.00334	 0.17151
3.80000	 0.01040	 0.17382
3.85000	 -0.00513	 0.16900
3.90000	 -0.00571	 0.16528
3.95000	 0.00047	 0.17091
4.00000	 0.00091	 0.16075
4.05000	 0.01077	 0.16713
4.10000	 -0.01093	 0.16254
4.15000	 -0.01096	 0.17307
4.20000	 -0.00612	 0.17016
4.25000	 -0.00280	 0.16649
4.30000	 0.00958	 0.16049
4.35000	 0.01268	 0.17195
4.40000	 0.00047	 0.16819
4.45000	 -0.00328	 0.15792
4.50000	 0.00930	 0.17602
4.55000	 0.00770	 0.16464
4.60000	 0.01506	 0.16234
4.65000	 0.01685	 0.17469
4.70000	 -0.00292	 0.17965
4.75000	 -0.00410	 0.17561
4.80000	 0.00010	 0.17527
