Time,Integral 1200,Integral 7400
1548455834.846106,13360.000000,17604.000000
1548455834.845531,13707.000000,17347.000000
1548455834.846106,21914.000000,28117.000000
1548455834.846898,19611.000000,24303.000000
1548455834.848104,18885.000000,25025.000000
1548455834.849034,18827.000000,23638.000000
1548455834.849818,13807.000000,17554.000000
1548455834.850237,18327.000000,24109.000000
1548455834.850791,14563.000000,19437.000000
1548455834.851175,20408.000000,27134.000000
1548455834.852466,21496.000000,27445.000000
1548455834.852565,14690.000000,18495.000000
1548455834.852626,12614.000000,33480.000000
1548455834.852948,18258.000000,24666.000000
1548455834.853709,23271.000000,30436.000000
1548455834.854680,12605.000000,17884.000000
1548455834.855256,13826.000000,16941.000000
1548455834.855596,17488.000000,22442.000000
1548455834.856004,18485.000000,23251.000000
1548455834.856340,15491.000000,19768.000000
1548455834.856488,11680.000000,14692.000000
1548455834.856659,15670.000000,21907.000000
1548455834.858168,13678.000000,17390.000000
1548455834.858213,12956.000000,16460.000000
1548455834.860524,17102.000000,21727.000000
1548455834.860735,10759.000000,15729.000000
1548455834.861130,17576.000000,22790.000000
1548455834.861420,18411.000000,24409.000000
1548455834.861507,18090.000000,23082.000000
1548455834.861575,18196.000000,24054.000000
1548455834.861939,15940.000000,20747.000000
1548455834.862679,12327.000000,15833.000000
1548455834.864188,12917.000000,16919.000000
1548455834.864499,13759.000000,17860.000000
1548455834.865599,12871.000000,17061.000000
1548455834.866405,11063.000000,15340.000000
1548455834.866813,18320.000000,23936.000000
1548455834.867028,5471.000000,9972.000000
1548455834.868101,12346.000000,16238.000000
1548455834.868835,22257.000000,28941.000000
1548455834.869653,13515.000000,16156.000000
1548455834.869932,13292.000000,18394.000000
1548455834.870095,19066.000000,25139.000000
1548455834.870505,17071.000000,21864.000000
1548455834.870860,19063.000000,25351.000000
1548455834.871105,20069.000000,27384.000000
1548455834.871169,16770.000000,21444.000000
1548455834.871511,16850.000000,21057.000000
1548455834.872158,15929.000000,19030.000000
1548455834.874167,10211.000000,13198.000000
