Time,Integral 1200,Integral 7400
1548440221.343899,16992.000000,23494.000000
1548440221.343182,18356.000000,23098.000000
1548440221.343899,19901.000000,26738.000000
1548440221.344575,21409.000000,27429.000000
1548440221.345088,20308.000000,26930.000000
1548440221.345831,16782.000000,20583.000000
1548440221.345910,21041.000000,27236.000000
1548440221.347379,20725.000000,27260.000000
1548440221.347688,20851.000000,27090.000000
1548440221.348195,19250.000000,23810.000000
1548440221.353925,19313.000000,25008.000000
1548440221.354348,20652.000000,27652.000000
1548440221.355410,19207.000000,24726.000000
1548440221.355825,19266.000000,52923.000000
1548440221.356659,15060.000000,19481.000000
1548440221.357927,23274.000000,32468.000000
1548440221.359313,14788.000000,19583.000000
1548440221.359481,14908.000000,18567.000000
1548440221.359507,23714.000000,30881.000000
1548440221.359551,16996.000000,21590.000000
1548440221.359854,13848.000000,15941.000000
1548440221.359936,13538.000000,18746.000000
1548440221.360466,18030.000000,24207.000000
1548440221.360592,20418.000000,53876.000000
1548440221.361080,17422.000000,21927.000000
1548440221.361439,18356.000000,25562.000000
1548440221.361522,20457.000000,26663.000000
1548440221.362048,14472.000000,17804.000000
1548440221.364659,18323.000000,22713.000000
1548440221.365227,16324.000000,20589.000000
1548440221.366372,16493.000000,21085.000000
1548440221.366975,18481.000000,22985.000000
1548440221.367049,19206.000000,24614.000000
1548440221.367086,15876.000000,19793.000000
1548440221.367931,21752.000000,28842.000000
1548440221.368077,20374.000000,26397.000000
1548440221.368654,22021.000000,28767.000000
1548440221.369122,21353.000000,27752.000000
1548440221.369302,17307.000000,23136.000000
1548440221.369781,21678.000000,27649.000000
1548440221.369825,22535.000000,31322.000000
1548440221.370227,20669.000000,27282.000000
1548440221.370939,4745.000000,8716.000000
1548440221.371622,14820.000000,18760.000000
1548440221.372068,19188.000000,25313.000000
1548440221.372178,19171.000000,25494.000000
1548440221.372221,20261.000000,27779.000000
1548440221.372613,19549.000000,25465.000000
1548440221.373240,21342.000000,27330.000000
1548440221.373266,19596.000000,26217.000000
1548440221.375560,16908.000000,22077.000000
1548440221.376920,22776.000000,29308.000000
1548440221.377681,20252.000000,27845.000000
1548440221.378089,20515.000000,25976.000000
1548440221.378621,22886.000000,30628.000000
1548440221.378821,18002.000000,24017.000000
1548440221.379647,21150.000000,29169.000000
1548440221.380110,16956.000000,22384.000000
1548440221.380212,19244.000000,26078.000000
1548440221.381303,18029.000000,22841.000000
1548440221.381754,17509.000000,49930.000000
1548440221.383084,17681.000000,23678.000000
1548440221.384490,15592.000000,18162.000000
1548440221.384931,17766.000000,24744.000000
1548440221.385322,16338.000000,22257.000000
1548440221.385445,19567.000000,25986.000000
1548440221.385949,19468.000000,25434.000000
1548440221.386146,13468.000000,17370.000000
1548440221.387413,20115.000000,25726.000000
1548440221.388058,18029.000000,23396.000000
1548440221.388336,18316.000000,24975.000000
1548440221.389512,17719.000000,24132.000000
1548440221.389902,11742.000000,14367.000000
1548440221.390303,16109.000000,19401.000000
1548440221.390463,15581.000000,19294.000000
1548440221.390850,20226.000000,27046.000000
1548440221.391239,13494.000000,17860.000000
1548440221.392231,17591.000000,23881.000000
1548440221.393688,8822.000000,16621.000000
1548440221.393757,17728.000000,22652.000000
1548440221.393912,17396.000000,22753.000000
1548440221.395051,19245.000000,24754.000000
1548440221.396914,19694.000000,25049.000000
1548440221.397559,17695.000000,24106.000000
1548440221.397912,15245.000000,-8098.000000
1548440221.397934,18149.000000,24482.000000
1548440221.398000,14622.000000,19267.000000
1548440221.398038,18668.000000,23262.000000
1548440221.398486,17890.000000,23041.000000
1548440221.398961,16543.000000,21549.000000
1548440221.399031,14837.000000,17292.000000
1548440221.400785,18542.000000,22602.000000
1548440221.400928,19320.000000,24259.000000
1548440221.401928,17737.000000,21610.000000
1548440221.402068,18168.000000,23931.000000
1548440221.402130,17208.000000,22453.000000
1548440221.402568,15551.000000,19806.000000
1548440221.403908,17743.000000,22702.000000
1548440221.403932,20891.000000,27286.000000
1548440221.405229,18130.000000,24656.000000
1548440221.405782,21234.000000,27642.000000
1548440221.406389,17411.000000,23131.000000
1548440221.408275,19175.000000,26151.000000
1548440221.408824,18612.000000,25443.000000
1548440221.409342,20704.000000,27432.000000
1548440221.409892,9164.000000,10442.000000
1548440221.410349,18694.000000,24128.000000
1548440221.411652,17235.000000,22634.000000
1548440221.412150,14021.000000,16858.000000
1548440221.412919,20164.000000,26516.000000
1548440221.413235,22405.000000,30253.000000
1548440221.414251,19039.000000,25809.000000
1548440221.415007,18176.000000,24712.000000
1548440221.416218,18103.000000,23238.000000
1548440221.418428,16597.000000,21151.000000
1548440221.418594,19229.000000,27829.000000
1548440221.419376,21715.000000,59744.000000
1548440221.420138,19954.000000,26489.000000
1548440221.421429,17928.000000,22468.000000
1548440221.421528,19827.000000,26341.000000
1548440221.421991,14857.000000,19004.000000
1548440221.422129,20371.000000,27579.000000
1548440221.422642,19315.000000,25696.000000
1548440221.424026,15185.000000,18914.000000
1548440221.424677,19887.000000,26900.000000
1548440221.425083,15732.000000,21332.000000
1548440221.425416,19579.000000,23298.000000
1548440221.427290,21330.000000,27519.000000
1548440221.427403,13782.000000,16829.000000
1548440221.428161,18339.000000,23595.000000
1548440221.428363,21041.000000,27852.000000
1548440221.428520,19060.000000,25434.000000
1548440221.428841,17734.000000,24361.000000
1548440221.430208,18366.000000,26339.000000
1548440221.431497,16127.000000,21157.000000
1548440221.431874,16724.000000,21795.000000
1548440221.432582,15891.000000,19291.000000
1548440221.433244,21121.000000,28402.000000
1548440221.433673,17753.000000,22265.000000
1548440221.434374,18342.000000,25448.000000
1548440221.435581,17235.000000,21450.000000
1548440221.435709,14873.000000,19697.000000
1548440221.436327,17035.000000,21655.000000
1548440221.436357,14090.000000,16775.000000
1548440221.436689,18325.000000,23767.000000
1548440221.437286,12721.000000,17192.000000
1548440221.438132,18248.000000,24104.000000
1548440221.438368,10633.000000,12910.000000
1548440221.439047,13748.000000,17643.000000
1548440221.439175,15783.000000,19426.000000
1548440221.439483,18583.000000,23609.000000
1548440221.439604,15003.000000,18788.000000
1548440221.439672,19024.000000,25340.000000
1548440221.439759,20673.000000,26637.000000
1548440221.439802,13713.000000,16632.000000
1548440221.439905,11939.000000,13055.000000
1548440221.440305,16172.000000,20367.000000
1548440221.442136,22514.000000,30575.000000
1548440221.442937,19669.000000,26825.000000
1548440221.443766,17080.000000,20458.000000
1548440221.444321,20550.000000,27095.000000
1548440221.444488,20507.000000,26681.000000
1548440221.444856,18710.000000,24792.000000
1548440221.445312,20163.000000,26947.000000
1548440221.445861,15799.000000,19149.000000
1548440221.445896,20923.000000,27070.000000
1548440221.446639,16650.000000,21670.000000
1548440221.446871,13727.000000,15240.000000
1548440221.447104,11971.000000,14189.000000
1548440221.447630,18190.000000,24026.000000
1548440221.447699,19832.000000,26553.000000
1548440221.448388,13428.000000,17201.000000
1548440221.448553,16366.000000,20061.000000
1548440221.449512,17835.000000,21996.000000
1548440221.449564,20261.000000,26784.000000
1548440221.449686,17733.000000,24276.000000
1548440221.450219,17689.000000,24670.000000
1548440221.451005,18311.000000,24178.000000
1548440221.451303,14834.000000,19046.000000
1548440221.451700,22207.000000,29182.000000
1548440221.452640,16988.000000,20025.000000
1548440221.452960,14151.000000,34752.000000
1548440221.453668,17669.000000,23388.000000
1548440221.454209,17653.000000,22843.000000
1548440221.455193,17568.000000,22477.000000
1548440221.455306,15395.000000,19944.000000
1548440221.455487,21043.000000,28221.000000
1548440221.455606,21429.000000,27222.000000
1548440221.455866,18334.000000,22381.000000
1548440221.456894,14271.000000,19119.000000
1548440221.456940,12531.000000,14989.000000
1548440221.457163,18865.000000,25929.000000
1548440221.457865,19318.000000,25075.000000
1548440221.458293,21035.000000,27409.000000
1548440221.458683,19971.000000,26013.000000
1548440221.458729,14643.000000,19559.000000
1548440221.459857,20440.000000,28609.000000
1548440221.459966,19081.000000,24701.000000
1548440221.460739,17073.000000,21969.000000
1548440221.463836,13262.000000,16892.000000
1548440221.464085,18245.000000,23572.000000
1548440221.465596,19574.000000,25839.000000
1548440221.465620,16043.000000,19394.000000
1548440221.467159,21678.000000,28695.000000
1548440221.467541,13959.000000,18103.000000
1548440221.468578,18822.000000,23662.000000
1548440221.470724,17752.000000,21353.000000
1548440221.471606,18479.000000,22917.000000
1548440221.471673,16608.000000,21216.000000
1548440221.471824,11293.000000,13362.000000
1548440221.472375,19646.000000,26338.000000
1548440221.472716,18975.000000,27149.000000
1548440221.472830,18002.000000,23670.000000
1548440221.473382,20536.000000,27462.000000
1548440221.473746,22172.000000,30267.000000
1548440221.474019,20613.000000,27427.000000
1548440221.474065,17815.000000,24949.000000
1548440221.474657,19127.000000,25737.000000
1548440221.475202,17581.000000,22891.000000
1548440221.475823,19056.000000,26795.000000
1548440221.475926,15464.000000,20422.000000
1548440221.476465,11790.000000,14325.000000
1548440221.476909,21404.000000,26339.000000
1548440221.477879,21295.000000,27753.000000
1548440221.478413,19150.000000,24522.000000
1548440221.478560,18332.000000,24177.000000
1548440221.478920,18322.000000,24217.000000
1548440221.479240,21133.000000,28271.000000
1548440221.479406,15195.000000,18898.000000
1548440221.480270,14559.000000,19683.000000
1548440221.482298,17901.000000,24415.000000
1548440221.482440,20677.000000,26228.000000
1548440221.483997,18236.000000,25288.000000
1548440221.484385,9750.000000,17139.000000
1548440221.486387,13392.000000,16861.000000
1548440221.486453,17720.000000,22358.000000
1548440221.487970,18628.000000,22650.000000
1548440221.488074,17751.000000,21847.000000
1548440221.488217,18414.000000,22674.000000
1548440221.488374,17305.000000,22981.000000
1548440221.488877,18669.000000,23962.000000
1548440221.489924,16015.000000,21578.000000
1548440221.490452,16587.000000,22238.000000
1548440221.490714,18336.000000,23775.000000
1548440221.490951,18039.000000,24787.000000
1548440221.491197,20448.000000,27160.000000
1548440221.491730,19159.000000,25204.000000
1548440221.492257,13948.000000,17150.000000
1548440221.493366,19035.000000,25169.000000
1548440221.494499,18861.000000,26317.000000
1548440221.494901,17165.000000,23205.000000
1548440221.495496,19899.000000,27108.000000
1548440221.495903,15902.000000,20763.000000
1548440221.497104,14756.000000,18054.000000
1548440221.497679,20977.000000,29234.000000
1548440221.498258,20885.000000,26245.000000
1548440221.499410,17973.000000,23580.000000
1548440221.499671,16069.000000,21136.000000
1548440221.499897,16548.000000,21414.000000
1548440221.501296,21612.000000,29502.000000
1548440221.501685,14255.000000,17558.000000
1548440221.503006,20483.000000,27869.000000
1548440221.503089,13096.000000,18240.000000
1548440221.503269,17350.000000,47567.000000
1548440221.503446,17175.000000,21919.000000
1548440221.503571,19182.000000,26647.000000
1548440221.504271,16819.000000,20441.000000
1548440221.504362,9357.000000,15229.000000
1548440221.504414,15463.000000,19803.000000
1548440221.504780,19297.000000,26728.000000
1548440221.505951,18355.000000,23114.000000
1548440221.506444,20048.000000,26336.000000
1548440221.507212,18826.000000,25694.000000
1548440221.509604,20703.000000,28418.000000
1548440221.509686,16711.000000,20863.000000
1548440221.510626,14511.000000,17726.000000
