
Automatic Data Collection:
Tue Feb 26 11:45:01 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00311	 0.08212
0.05000	 -0.00036	 0.08088
0.10000	 0.00522	 0.07699
0.15000	 0.00285	 0.07072
0.20000	 0.00126	 0.08409
0.25000	 0.00081	 0.08068
0.30000	 0.00471	 0.06914
0.35000	 -0.00131	 0.05872
0.40000	 -0.00402	 0.06660
0.45000	 -0.00299	 0.07505
0.50000	 0.00103	 0.07355
0.55000	 -0.00463	 0.07344
0.60000	 -0.00542	 0.08120
0.65000	 -0.00106	 0.07710
0.70000	 0.00047	 0.06899
0.75000	 0.00210	 0.06717
0.80000	 0.00424	 0.07947
0.85000	 -0.00140	 0.07895
0.90000	 0.00334	 0.07846
0.95000	 -0.00122	 0.06784
1.00000	 -0.00792	 0.08296
1.05000	 -0.00226	 0.08299
1.10000	 0.00198	 0.06830
1.15000	 0.00291	 0.06276
1.20000	 -0.00030	 0.07321
1.25000	 -0.00244	 0.08022
1.30000	 -0.00134	 0.07993
1.35000	 0.00086	 0.06928
1.40000	 0.00151	 0.07485
1.45000	 0.00347	 0.08559
1.50000	 0.00241	 0.07771
1.55000	 0.00120	 0.07445
1.60000	 -0.00139	 0.07283
1.65000	 -0.00714	 0.07883
1.70000	 -0.00188	 0.07540
1.75000	 -0.00562	 0.05964
1.80000	 -0.00362	 0.08368
1.85000	 -0.00305	 0.07788
1.90000	 0.00117	 0.07453
1.95000	 0.00266	 0.06712
2.00000	 0.00232	 0.08319
2.05000	 0.00691	 0.08495
2.10000	 0.00143	 0.07915
2.15000	 -0.00094	 0.07401
2.20000	 -0.00105	 0.07658
2.25000	 -0.00230	 0.08236
2.30000	 -0.00035	 0.06547
2.35000	 0.00241	 0.06411
2.40000	 -0.00167	 0.06758
2.45000	 0.00084	 0.08057
2.50000	 0.00424	 0.08109
2.55000	 0.00829	 0.07511
2.60000	 0.00236	 0.07101
2.65000	 0.00331	 0.08524
2.70000	 0.00291	 0.07814
2.75000	 0.00413	 0.07465
2.80000	 0.00326	 0.06738
2.85000	 0.00450	 0.07505
2.90000	 0.00502	 0.07906
2.95000	 0.00227	 0.07173
3.00000	 -0.00089	 0.08025
3.05000	 0.00219	 0.07967
3.10000	 0.00102	 0.07087
3.15000	 0.00226	 0.06559
3.20000	 0.00353	 0.07474
3.25000	 0.00537	 0.08593
3.30000	 0.00699	 0.08244
3.35000	 0.00968	 0.07375
3.40000	 0.00001	 0.06940
3.45000	 -0.00224	 0.08175
3.50000	 -0.00306	 0.07788
3.55000	 0.00525	 0.07834
3.60000	 0.00111	 0.07072
3.65000	 -0.00007	 0.08856
3.70000	 -0.00085	 0.08126
3.75000	 0.00160	 0.07442
3.80000	 0.00353	 0.06302
3.85000	 0.00435	 0.08282
3.90000	 0.00382	 0.07765
3.95000	 0.01006	 0.07222
4.00000	 0.00964	 0.06645
4.05000	 0.00205	 0.07895
4.10000	 0.00202	 0.08475
4.15000	 0.00255	 0.07306
4.20000	 -0.00285	 0.07170
4.25000	 0.00041	 0.07930
4.30000	 0.00184	 0.07257
4.35000	 0.00227	 0.07234
4.40000	 0.00018	 0.06657
4.45000	 -0.00381	 0.08556
4.50000	 -0.00268	 0.07710
4.55000	 0.00236	 0.08062
4.60000	 -0.00089	 0.06368
4.65000	 -0.00159	 0.08048
4.70000	 -0.00519	 0.07756
4.75000	 -0.00299	 0.07104
4.80000	 0.00325	 0.06406
4.85000	 0.00261	 0.07944
4.90000	 -0.00218	 0.08663
4.95000	 0.00311	 0.08184
5.00000	 0.00818	 0.07142
5.05000	 0.00261	 0.07661
5.10000	 -0.00150	 0.08016
5.15000	 0.00387	 0.07626
5.20000	 0.00157	 0.07566
5.25000	 0.00258	 0.07058
5.30000	 0.00281	 0.08515
5.35000	 0.00503	 0.07182
5.40000	 0.00136	 0.06443
5.45000	 0.00361	 0.08619
5.50000	 0.00106	 0.08276
5.55000	 0.00765	 0.08103
5.60000	 0.00505	 0.06446
5.65000	 0.00584	 0.08337
5.70000	 0.00119	 0.07849
5.75000	 0.00523	 0.07803
5.80000	 0.00167	 0.06625
5.85000	 -0.00156	 0.07857
5.90000	 0.00162	 0.07580
5.95000	 0.00646	 0.07165
6.00000	 0.00959	 0.06833
6.05000	 0.00697	 0.07378
6.10000	 0.00291	 0.08899
6.15000	 0.00218	 0.08218
6.20000	 0.00488	 0.07494
6.25000	 0.00005	 0.07300
6.30000	 0.00119	 0.07970
6.35000	 0.00578	 0.07416
6.40000	 0.00205	 0.06922
6.45000	 -0.00097	 0.06455
6.50000	 0.00269	 0.08071
6.55000	 0.00761	 0.08316
6.60000	 0.00246	 0.06206
6.65000	 0.00216	 0.08065
6.70000	 -0.00147	 0.07650
6.75000	 0.00556	 0.08103
6.80000	 0.00959	 0.06856
6.85000	 0.00664	 0.07814
6.90000	 0.00336	 0.08674
6.95000	 0.00488	 0.08417
7.00000	 0.00238	 0.07534
7.05000	 -0.00393	 0.07932
7.10000	 -0.00317	 0.08472
7.15000	 -0.00303	 0.07372
7.20000	 0.00139	 0.06833
7.25000	 0.00147	 0.06769
7.30000	 0.00075	 0.08692
7.35000	 -0.00061	 0.08238
7.40000	 0.00413	 0.07566
7.45000	 0.00174	 0.06478
7.50000	 -0.00058	 0.08484
7.55000	 0.00492	 0.07730
7.60000	 0.00795	 0.07878
7.65000	 0.00502	 0.06530
7.70000	 0.00374	 0.08051
7.75000	 0.00629	 0.07722
7.80000	 0.00115	 0.07257
7.85000	 -0.00313	 0.08319
7.90000	 -0.00171	 0.08126
7.95000	 -0.00281	 0.07652
8.00000	 -0.00044	 0.06611
8.05000	 -0.00320	 0.06893
8.10000	 -0.00630	 0.07618
8.15000	 -0.00033	 0.07375
8.20000	 0.00664	 0.06931
8.25000	 0.00356	 0.07000
8.30000	 -0.00081	 0.07696
8.35000	 0.00619	 0.07280
8.40000	 0.00354	 0.07058
8.45000	 -0.00157	 0.06723
8.50000	 -0.00117	 0.08247
8.55000	 -0.00250	 0.08198
8.60000	 -0.00137	 0.07696
8.65000	 -0.00314	 0.06270
8.70000	 -0.00161	 0.08192
8.75000	 0.00311	 0.07803
8.80000	 0.00010	 0.07448
8.85000	 -0.00199	 0.06712
8.90000	 -0.00195	 0.07930
8.95000	 0.00229	 0.07886
9.00000	 0.00168	 0.06916
9.05000	 0.00340	 0.07430
9.10000	 -0.00433	 0.07673
9.15000	 -0.00083	 0.07130
9.20000	 0.00517	 0.07170
9.25000	 0.00405	 0.07026
9.30000	 0.00007	 0.08845
9.35000	 -0.00376	 0.07846
9.40000	 -0.00514	 0.07251
9.45000	 -0.00351	 0.06524
9.50000	 0.00050	 0.08374
9.55000	 0.00236	 0.07722
9.60000	 0.00765	 0.07794
9.65000	 0.00971	 0.05993
