
Automatic Data Collection:
Tue Feb 26 11:51:06 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00488	 0.09309
0.05000	 0.00147	 0.10351
0.10000	 0.00010	 0.09234
0.15000	 -0.00765	 0.10216
0.20000	 -0.00874	 0.09373
0.25000	 0.00081	 0.10216
0.30000	 0.00227	 0.09156
0.35000	 -0.00658	 0.10426
0.40000	 -0.00640	 0.09407
0.45000	 -0.00153	 0.10299
0.50000	 0.00278	 0.09537
0.55000	 -0.00649	 0.10227
0.60000	 -0.00875	 0.09598
0.65000	 -0.00446	 0.10094
0.70000	 -0.00506	 0.09863
0.75000	 -0.00984	 0.09884
0.80000	 -0.00571	 0.09601
0.85000	 0.00179	 0.09809
0.90000	 -0.00161	 0.09474
0.95000	 -0.00661	 0.10190
1.00000	 -0.00516	 0.09491
1.05000	 0.00235	 0.10008
1.10000	 0.00002	 0.09944
1.15000	 -0.00894	 0.10591
1.20000	 -0.00883	 0.10158
1.25000	 -0.00362	 0.10343
1.30000	 -0.00148	 0.09964
1.35000	 -0.00495	 0.10293
1.40000	 -0.00753	 0.10019
1.45000	 0.00004	 0.09604
1.50000	 0.00120	 0.10016
1.55000	 -0.00424	 0.09537
1.60000	 -0.00531	 0.10178
1.65000	 -0.00237	 0.10123
1.70000	 0.00254	 0.10161
1.75000	 -0.00117	 0.09898
1.80000	 -0.01099	 0.10576
1.85000	 -0.00550	 0.09985
1.90000	 -0.00271	 0.10302
1.95000	 -0.00446	 0.09725
2.00000	 -0.00511	 0.10120
2.05000	 0.00074	 0.10169
2.10000	 -0.00100	 0.10013
2.15000	 -0.00579	 0.10091
2.20000	 -0.01285	 0.10383
2.25000	 -0.00322	 0.09930
2.30000	 0.00077	 0.10239
2.35000	 -0.00426	 0.09904
2.40000	 -0.01150	 0.10646
2.45000	 -0.00719	 0.10184
2.50000	 -0.00036	 0.10296
2.55000	 -0.00328	 0.09332
2.60000	 -0.00620	 0.10227
2.65000	 -0.00590	 0.09696
2.70000	 0.00185	 0.10230
2.75000	 -0.00019	 0.09226
2.80000	 -0.00685	 0.10319
2.85000	 -0.00300	 0.09635
2.90000	 0.00312	 0.10397
2.95000	 0.00292	 0.09572
3.00000	 -0.00720	 0.10579
3.05000	 -0.00827	 0.09667
3.10000	 0.00297	 0.09869
3.15000	 -0.00615	 0.10065
3.20000	 -0.00866	 0.10011
3.25000	 -0.00206	 0.10501
3.30000	 0.00032	 0.10524
3.35000	 -0.00376	 0.09797
3.40000	 -0.00911	 0.10623
3.45000	 -0.00585	 0.09673
3.50000	 0.00264	 0.10770
3.55000	 -0.00071	 0.09381
3.60000	 -0.00714	 0.10804
3.65000	 -0.00675	 0.09708
3.70000	 -0.00041	 0.10175
3.75000	 0.00058	 0.09641
3.80000	 -0.00793	 0.10585
3.85000	 -0.00848	 0.09985
3.90000	 -0.00041	 0.10210
3.95000	 -0.00063	 0.10262
4.00000	 -0.00761	 0.10201
4.05000	 -0.00520	 0.10080
4.10000	 0.00182	 0.10198
4.15000	 0.00139	 0.10377
4.20000	 -0.00367	 0.09835
4.25000	 -0.00930	 0.10623
4.30000	 0.00091	 0.09690
4.35000	 -0.00497	 0.10334
4.40000	 -0.00993	 0.09814
4.45000	 -0.00593	 0.10845
4.50000	 0.00103	 0.10418
4.55000	 -0.00128	 0.09523
4.60000	 -0.00841	 0.10813
4.65000	 -0.00665	 0.10299
4.70000	 -0.00100	 0.10452
4.75000	 0.00142	 0.09869
4.80000	 -0.00665	 0.10262
4.85000	 -0.00737	 0.10392
4.90000	 -0.00023	 0.10279
4.95000	 0.00249	 0.10337
5.00000	 -0.00720	 0.10337
5.05000	 -0.00623	 0.10224
5.10000	 -0.00179	 0.10083
5.15000	 0.00348	 0.10233
5.20000	 -0.00582	 0.10074
5.25000	 -0.00624	 0.10415
5.30000	 -0.00390	 0.09941
5.35000	 0.00281	 0.10478
5.40000	 -0.00078	 0.09774
5.45000	 -0.00632	 0.10513
5.50000	 -0.00010	 0.10143
5.55000	 -0.00067	 0.11029
5.60000	 -0.01027	 0.10172
5.65000	 -0.00803	 0.10819
5.70000	 0.00305	 0.10063
5.75000	 0.00027	 0.09858
5.80000	 -0.00820	 0.10461
5.85000	 -0.00223	 0.09930
5.90000	 -0.00036	 0.10302
5.95000	 0.00409	 0.10207
6.00000	 -0.00232	 0.10299
6.05000	 -0.00668	 0.10559
6.10000	 -0.00388	 0.10418
6.15000	 0.00196	 0.10016
6.20000	 -0.00340	 0.09713
6.25000	 -0.00669	 0.10501
6.30000	 -0.00362	 0.09875
6.35000	 0.00368	 0.10617
6.40000	 -0.00247	 0.10187
6.45000	 -0.00685	 0.10553
6.50000	 -0.00745	 0.10279
6.55000	 0.00019	 0.10588
6.60000	 0.00140	 0.09676
6.65000	 -0.00299	 0.10236
6.70000	 0.00111	 0.10331
6.75000	 0.00111	 0.10091
6.80000	 -0.00334	 0.10322
6.85000	 -0.00537	 0.09904
6.90000	 -0.00040	 0.09855
6.95000	 0.00133	 0.10455
7.00000	 -0.00319	 0.09555
7.05000	 -0.00680	 0.10568
7.10000	 -0.00120	 0.10054
7.15000	 0.00219	 0.10813
7.20000	 -0.00171	 0.09670
7.25000	 -0.00589	 0.10648
7.30000	 -0.00584	 0.09722
7.35000	 0.00137	 0.10625
7.40000	 0.00049	 0.09644
7.45000	 -0.00741	 0.10686
7.50000	 -0.00494	 0.09728
7.55000	 0.00196	 0.10470
7.60000	 0.00312	 0.09849
7.65000	 -0.00390	 0.10588
7.70000	 -0.00556	 0.10045
7.75000	 0.00067	 0.10013
7.80000	 0.00267	 0.10262
7.85000	 -0.00325	 0.10478
7.90000	 -0.00392	 0.10377
7.95000	 0.00472	 0.09863
8.00000	 -0.00095	 0.10343
8.05000	 -0.00395	 0.09780
8.10000	 -0.00469	 0.10291
8.15000	 0.00483	 0.10392
8.20000	 0.00174	 0.10045
8.25000	 -0.00737	 0.10547
8.30000	 -0.00612	 0.09866
8.35000	 0.00314	 0.10242
8.40000	 -0.00162	 0.09956
8.45000	 -0.00427	 0.10516
8.50000	 -0.00544	 0.10651
8.55000	 0.00072	 0.10752
8.60000	 -0.00029	 0.10455
8.65000	 -0.00438	 0.10022
8.70000	 -0.00843	 0.10573
8.75000	 0.00210	 0.09748
8.80000	 0.00193	 0.10484
8.85000	 -0.00092	 0.09898
8.90000	 -0.00446	 0.10871
8.95000	 -0.00221	 0.09843
9.00000	 0.00171	 0.10640
9.05000	 0.00043	 0.09765
9.10000	 -0.00685	 0.11047
9.15000	 -0.00112	 0.10276
9.20000	 0.00067	 0.10397
9.25000	 -0.00917	 0.09531
9.30000	 -0.00533	 0.09843
9.35000	 -0.00071	 0.11119
9.40000	 0.00156	 0.09930
9.45000	 -0.00638	 0.10643
9.50000	 -0.00742	 0.10149
9.55000	 -0.00322	 0.10565
9.60000	 0.00416	 0.10074
9.65000	 -0.00643	 0.10400
9.70000	 -0.00818	 0.10169
9.75000	 -0.00255	 0.09806
9.80000	 0.00460	 0.10565
9.85000	 -0.00407	 0.10045
9.90000	 -0.00491	 0.10270
9.95000	 -0.00683	 0.09866
