
Automatic Data Collection:
Tue Feb 26 11:26:30 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.04312	 0.43235
0.05000	 0.00193	 0.41148
0.10000	 -0.01783	 0.43784
0.15000	 -0.03692	 0.46312
0.20000	 -0.07666	 0.36100
0.25000	 -0.00537	 0.51057
0.30000	 -0.03887	 0.41974
0.35000	 -0.01886	 0.39766
0.40000	 -0.00537	 0.39812
0.45000	 -0.02742	 0.34357
0.50000	 -0.01514	 0.36640
0.55000	 0.00654	 0.38784
0.60000	 0.00407	 0.37307
0.65000	 -0.00727	 0.45409
0.70000	 -0.01338	 0.38204
0.75000	 -0.03707	 0.38559
0.80000	 -0.00109	 0.37780
0.85000	 -0.00077	 0.31825
0.90000	 -0.00928	 0.38735
0.95000	 -0.01060	 0.39362
1.00000	 -0.02443	 0.35690
1.05000	 -0.04061	 0.39431
1.10000	 -0.04686	 0.33248
1.15000	 0.01020	 0.40586
1.20000	 -0.01341	 0.36172
1.25000	 0.00264	 0.44110
1.30000	 0.02494	 0.37572
1.35000	 0.02668	 0.34654
1.40000	 0.00677	 0.38037
1.45000	 -0.01302	 0.37012
1.50000	 -0.01620	 0.39012
1.55000	 -0.00982	 0.39240
1.60000	 0.00930	 0.39007
1.65000	 0.02829	 0.45059
1.70000	 0.03490	 0.41830
1.75000	 -0.01117	 0.37223
1.80000	 0.00221	 0.41804
1.85000	 0.00002	 0.39668
1.90000	 -0.04862	 0.38175
1.95000	 -0.00913	 0.36934
2.00000	 -0.02015	 0.36874
2.05000	 -0.04199	 0.37494
2.10000	 -0.00689	 0.34972
2.15000	 0.01243	 0.41705
2.20000	 -0.00156	 0.45715
2.25000	 -0.03467	 0.39933
2.30000	 -0.03281	 0.45752
2.35000	 -0.02547	 0.43472
2.40000	 0.01703	 0.40092
2.45000	 -0.02305	 0.33462
2.50000	 -0.01097	 0.35777
2.55000	 0.01134	 0.37976
2.60000	 0.00128	 0.37650
2.65000	 -0.00813	 0.45919
2.70000	 -0.01975	 0.37659
2.75000	 0.02442	 0.37185
2.80000	 0.00466	 0.36943
2.85000	 0.02333	 0.35540
2.90000	 -0.01058	 0.40236
2.95000	 -0.00889	 0.42537
3.00000	 -0.02507	 0.39650
3.05000	 0.01161	 0.41668
3.10000	 -0.00778	 0.39803
3.15000	 -0.00390	 0.43908
3.20000	 -0.02589	 0.44300
3.25000	 -0.05061	 0.36957
3.30000	 -0.02145	 0.43310
3.35000	 -0.00449	 0.38147
3.40000	 0.01812	 0.40080
3.45000	 0.01058	 0.40101
3.50000	 0.01775	 0.35052
