Time,Integral 1200,Integral 7400
1548369863.555935,19208.000000,24662.000000
1548369863.553342,17976.000000,23043.000000
1548369863.554689,18950.000000,23866.000000
1548369863.554709,18958.000000,23285.000000
1548369863.555225,21372.000000,27689.000000
1548369863.555813,21006.000000,26225.000000
1548369863.555935,17639.000000,20777.000000
1548369863.557523,18406.000000,21917.000000
1548369863.558637,19173.000000,23906.000000
1548369863.558697,20418.000000,25712.000000
1548369863.559313,20074.000000,24408.000000
1548369863.559660,17889.000000,22855.000000
1548369863.560563,17716.000000,21348.000000
1548369863.560688,18362.000000,21319.000000
1548369863.561731,17827.000000,21333.000000
1548369863.561999,19240.000000,23985.000000
1548369863.562401,19185.000000,24229.000000
1548369863.563102,18656.000000,23305.000000
1548369863.563201,18303.000000,22976.000000
1548369863.563728,15766.000000,19473.000000
1548369863.563770,13353.000000,16647.000000
1548369863.563931,18586.000000,23787.000000
1548369863.564777,17006.000000,21109.000000
1548369863.565019,15428.000000,18249.000000
1548369863.565116,17879.000000,22141.000000
1548369863.565341,19295.000000,25072.000000
1548369863.567850,21554.000000,26855.000000
1548369863.569186,16000.000000,20854.000000
1548369863.569947,17648.000000,22724.000000
1548369863.571852,21003.000000,25984.000000
1548369863.572479,16112.000000,18869.000000
1548369863.573705,20374.000000,26874.000000
1548369863.575030,19844.000000,24815.000000
1548369863.575325,15546.000000,18574.000000
1548369863.575513,22219.000000,31403.000000
1548369863.575832,17401.000000,22227.000000
1548369863.576024,19016.000000,22721.000000
1548369863.576045,18101.000000,22846.000000
1548369863.576147,202337.000000,341675.000000
1548369863.576527,19208.000000,23543.000000
1548369863.577169,16375.000000,19065.000000
1548369863.577206,19261.000000,26003.000000
1548369863.578007,22517.000000,30119.000000
1548369863.579204,14781.000000,17440.000000
1548369863.579592,15419.000000,18092.000000
1548369863.579782,12710.000000,20181.000000
1548369863.580244,16736.000000,20233.000000
1548369863.580557,20154.000000,24923.000000
1548369863.582191,19643.000000,26080.000000
1548369863.582519,19718.000000,26560.000000
1548369863.583108,18298.000000,21161.000000
1548369863.583543,15719.000000,18238.000000
1548369863.583590,19003.000000,24770.000000
1548369863.583719,22621.000000,29658.000000
1548369863.584069,20688.000000,27075.000000
1548369863.584437,21851.000000,29602.000000
1548369863.585057,22104.000000,29073.000000
1548369863.585203,21804.000000,28460.000000
1548369863.585266,16030.000000,17129.000000
1548369863.585750,11559.000000,12001.000000
1548369863.586005,16932.000000,22066.000000
1548369863.586257,16511.000000,18476.000000
1548369863.586598,23231.000000,30485.000000
1548369863.586800,9572.000000,16170.000000
1548369863.586987,18814.000000,24367.000000
1548369863.587329,20564.000000,28713.000000
1548369863.589530,13181.000000,14208.000000
1548369863.589667,14564.000000,23800.000000
1548369863.590390,21207.000000,26917.000000
1548369863.590747,21608.000000,27425.000000
1548369863.590874,20409.000000,25828.000000
1548369863.591306,18263.000000,23563.000000
1548369863.591909,18499.000000,25104.000000
1548369863.592060,21826.000000,28087.000000
1548369863.592395,17938.000000,20414.000000
1548369863.592475,15122.000000,18173.000000
1548369863.593029,18190.000000,21168.000000
1548369863.593109,20149.000000,26651.000000
1548369863.593168,20265.000000,25602.000000
1548369863.593716,13031.000000,12454.000000
1548369863.593793,18614.000000,23123.000000
1548369863.594632,11101.000000,18574.000000
1548369863.594715,19893.000000,25562.000000
1548369863.595902,18355.000000,22189.000000
1548369863.595965,19464.000000,25208.000000
1548369863.596938,20228.000000,28290.000000
1548369863.596992,20180.000000,24909.000000
1548369863.598638,20161.000000,25686.000000
1548369863.598698,18077.000000,21336.000000
1548369863.599053,22408.000000,29913.000000
1548369863.599077,15139.000000,17913.000000
1548369863.599098,17613.000000,22617.000000
1548369863.599215,19415.000000,24919.000000
1548369863.600174,14985.000000,18297.000000
1548369863.600626,20374.000000,26236.000000
1548369863.600861,20988.000000,28309.000000
1548369863.601057,18273.000000,22585.000000
1548369863.601298,19192.000000,23791.000000
1548369863.601376,20213.000000,25635.000000
1548369863.601912,23072.000000,30091.000000
1548369863.601977,22234.000000,30100.000000
1548369863.602402,17444.000000,22310.000000
1548369863.603517,16178.000000,19728.000000
1548369863.603857,17479.000000,21059.000000
1548369863.604074,19985.000000,25673.000000
1548369863.605501,15615.000000,43690.000000
1548369863.606191,13442.000000,16318.000000
1548369863.606422,14233.000000,16957.000000
1548369863.607747,20356.000000,26600.000000
1548369863.608085,22291.000000,28747.000000
1548369863.608347,20207.000000,26299.000000
1548369863.608376,20175.000000,27438.000000
1548369863.608566,15163.000000,18753.000000
1548369863.609630,15561.000000,17337.000000
1548369863.610233,20654.000000,26494.000000
1548369863.610891,12600.000000,15602.000000
1548369863.611278,19031.000000,24774.000000
1548369863.611876,16323.000000,18713.000000
1548369863.612347,18315.000000,22906.000000
1548369863.612750,20283.000000,25192.000000
1548369863.613786,15847.000000,19883.000000
1548369863.613807,18487.000000,24448.000000
1548369863.613843,20930.000000,25719.000000
1548369863.614627,21166.000000,27274.000000
1548369863.616111,16911.000000,19766.000000
1548369863.616603,20075.000000,25646.000000
1548369863.616826,15961.000000,22951.000000
1548369863.617366,17234.000000,22055.000000
1548369863.617925,19727.000000,24403.000000
1548369863.618784,21072.000000,27529.000000
1548369863.619587,17951.000000,22980.000000
1548369863.619829,17043.000000,20119.000000
1548369863.620313,20904.000000,25259.000000
1548369863.620527,19118.000000,22831.000000
1548369863.621008,16276.000000,21206.000000
1548369863.621303,17965.000000,21912.000000
1548369863.621553,15258.000000,19078.000000
1548369863.621592,20087.000000,25819.000000
1548369863.621844,11474.000000,14025.000000
1548369863.622543,18392.000000,23808.000000
1548369863.622733,20997.000000,27364.000000
1548369863.622796,15391.000000,18968.000000
1548369863.623079,19522.000000,24538.000000
1548369863.625315,18584.000000,23119.000000
1548369863.625937,14052.000000,16019.000000
1548369863.626244,36979.000000,51308.000000
1548369863.627537,20656.000000,27641.000000
1548369863.627678,10791.000000,12461.000000
1548369863.628109,20521.000000,26292.000000
1548369863.628355,17316.000000,19485.000000
1548369863.628449,19917.000000,24843.000000
1548369863.629338,18990.000000,23036.000000
1548369863.629871,20308.000000,24418.000000
1548369863.630304,17082.000000,20663.000000
1548369863.631132,15578.000000,18681.000000
1548369863.631414,17659.000000,21237.000000
