Time,Integral 1200,Integral 7400
1547575668.918590,19409.000000,25990.000000
1547575668.915376,15019.000000,15860.000000
1547575668.915953,21409.000000,27014.000000
1547575668.916094,18345.000000,23042.000000
1547575668.916423,11138.000000,12255.000000
1547575668.918435,16450.000000,17639.000000
1547575668.918590,13193.000000,15311.000000
1547575668.918855,12158.000000,12329.000000
1547575668.919082,17404.000000,21545.000000
1547575668.920094,20921.000000,27032.000000
1547575668.920449,18725.000000,21203.000000
1547575668.920607,20335.000000,26127.000000
1547575668.920670,18582.000000,23404.000000
1547575668.922579,13109.000000,14027.000000
1547575668.924238,18483.000000,22698.000000
1547575668.924713,18891.000000,24583.000000
1547575668.926937,19911.000000,24702.000000
1547575668.927181,17700.000000,22084.000000
1547575668.927258,15265.000000,18948.000000
1547575668.927466,17175.000000,21284.000000
1547575668.927625,19457.000000,25462.000000
1547575668.927863,15279.000000,19022.000000
1547575668.928065,19363.000000,26712.000000
1547575668.929146,16215.000000,20749.000000
1547575668.929356,22085.000000,28260.000000
1547575668.931889,19047.000000,21892.000000
1547575668.932595,19683.000000,24711.000000
1547575668.932910,20194.000000,26763.000000
1547575668.934063,21712.000000,27009.000000
1547575668.934237,17041.000000,21038.000000
1547575668.934929,14334.000000,17928.000000
1547575668.934983,15443.000000,18498.000000
1547575668.935169,20242.000000,24525.000000
1547575668.935243,19006.000000,22999.000000
1547575668.935654,18958.000000,24411.000000
1547575668.936644,19581.000000,26180.000000
1547575668.937801,20054.000000,23999.000000
1547575668.938327,18186.000000,22973.000000
1547575668.938407,18079.000000,22096.000000
1547575668.939291,19429.000000,24264.000000
1547575668.939550,20008.000000,24320.000000
1547575668.941007,21198.000000,27447.000000
1547575668.941776,17823.000000,21215.000000
1547575668.943670,12926.000000,14207.000000
1547575668.946297,17997.000000,22322.000000
1547575668.946501,20202.000000,22857.000000
1547575668.946547,7473.000000,9285.000000
1547575668.946592,12208.000000,16051.000000
1547575668.947006,22963.000000,28957.000000
1547575668.947698,18622.000000,24743.000000
1547575668.948478,20447.000000,26259.000000
1547575668.948589,16583.000000,20429.000000
1547575668.950078,18746.000000,25070.000000
1547575668.950879,20045.000000,26554.000000
1547575668.951796,18767.000000,23128.000000
1547575668.952476,16273.000000,19082.000000
1547575668.952824,20182.000000,24112.000000
1547575668.953130,19214.000000,23637.000000
1547575668.953277,16182.000000,19112.000000
1547575668.955520,15728.000000,19055.000000
1547575668.956913,21155.000000,26158.000000
1547575668.958087,18211.000000,23160.000000
1547575668.958304,18183.000000,21939.000000
1547575668.959104,22088.000000,28912.000000
1547575668.959474,16280.000000,20244.000000
1547575668.959517,18900.000000,20887.000000
1547575668.959553,16654.000000,20139.000000
1547575668.959836,16743.000000,21450.000000
1547575668.961004,16937.000000,19927.000000
1547575668.961137,21879.000000,29465.000000
1547575668.961480,20046.000000,24269.000000
1547575668.961542,18812.000000,24571.000000
1547575668.962030,19425.000000,23853.000000
1547575668.962394,18172.000000,20541.000000
1547575668.962652,18015.000000,21819.000000
1547575668.962729,17046.000000,20867.000000
1547575668.962911,24481.000000,31900.000000
1547575668.963069,17081.000000,20415.000000
1547575668.963144,16677.000000,20205.000000
1547575668.963371,14858.000000,17864.000000
1547575668.963728,18156.000000,22465.000000
1547575668.964683,17173.000000,21252.000000
1547575668.964825,20905.000000,26665.000000
1547575668.965451,19348.000000,23972.000000
1547575668.966489,17148.000000,22045.000000
1547575668.967290,15469.000000,19454.000000
1547575668.968655,20720.000000,27196.000000
1547575668.969245,20129.000000,27015.000000
1547575668.969954,17238.000000,21536.000000
1547575668.970497,20476.000000,26228.000000
1547575668.970570,17610.000000,21990.000000
1547575668.971867,17938.000000,21620.000000
1547575668.973955,19986.000000,25130.000000
1547575668.974784,14300.000000,17646.000000
1547575668.974867,16325.000000,18540.000000
1547575668.975170,19871.000000,23564.000000
1547575668.975702,21125.000000,26864.000000
1547575668.976175,20068.000000,26397.000000
1547575668.976974,19079.000000,23218.000000
1547575668.978813,16896.000000,19582.000000
1547575668.980402,17856.000000,23943.000000
1547575668.981302,20233.000000,25874.000000
1547575668.981515,14393.000000,19431.000000
1547575668.981696,15109.000000,19164.000000
1547575668.982005,18627.000000,21854.000000
1547575668.982463,18768.000000,22946.000000
1547575668.983077,17503.000000,22132.000000
1547575668.983268,-3738.000000,-6419.000000
1547575668.983547,19166.000000,25886.000000
1547575668.983586,16384.000000,21280.000000
