N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
1202.6,10.9,1202.6,17.2,1202.6,23.3,,,,,,
1214.7,10.8,1214.7,17.1,1214.7,23.3,,,,,,
1226.9,10.6,1226.9,16.9,1226.9,23.3,,,,,,
1239,10.5,1239,16.8,1239,23.2,,,,,,
1251.2,10.4,1251.2,16.6,1251.2,23.2,,,,,,
1263.3,10.3,1263.3,16.5,1263.3,23.2,,,,,,
1275.5,10.2,1275.5,16.3,1275.5,23.1,,,,,,
1287.6,10.1,1287.6,16.2,1287.6,23.1,,,,,,
1299.8,10.1,1299.8,16,1299.8,23.1,,,,,,
1311.9,10,1311.9,15.9,1311.9,23,,,,,,
1324.1,9.9,1324.1,15.7,1324.1,23,,,,,,
1336.2,9.8,1336.2,15.6,1336.2,23,,,,,,
1348.4,9.7,1348.4,15.5,1348.4,22.9,,,,,,
1360.5,9.6,1360.5,15.3,1360.5,22.9,,,,,,
1372.7,9.5,1372.7,15.2,1372.7,22.9,,,,,,
1384.8,9.4,1384.8,15.1,1384.8,22.8,,,,,,
1397,9.3,1397,14.9,1397,22.8,,,,,,
1409.1,9.3,1409.1,14.8,1409.1,22.8,,,,,,
1421.3,9.2,1421.3,14.7,1421.3,22.7,,,,,,
1433.4,9.1,1433.4,14.5,1433.4,22.7,,,,,,
1445.6,9,1445.6,14.4,1445.6,22.7,,,,,,
1457.7,8.9,1457.7,14.3,1457.7,22.7,,,,,,
1469.8,8.8,1469.8,14.2,1469.8,22.6,,,,,,
1482,8.8,1482,14,1482,22.6,,,,,,
1494.1,8.7,1494.1,13.9,1494.1,22.6,,,,,,
1506.3,8.6,1506.3,13.8,1506.3,22.5,,,,,,
1518.4,8.5,1518.4,13.7,1518.4,22.5,,,,,,
1530.6,8.5,1530.6,13.5,1530.6,22.5,,,,,,
1542.7,8.4,1542.7,13.4,1542.7,22.5,,,,,,
1554.9,8.3,1554.9,13.3,1554.9,22.4,,,,,,
1567,8.2,1567,13.2,1567,22.4,,,,,,
1579.2,8.2,1579.2,13.1,1579.2,22.4,,,,,,
1591.3,8.1,1591.3,13,1591.3,22.4,,,,,,
1603.5,8,1603.5,12.9,1603.5,22.3,,,,,,
1615.6,8,1615.6,12.8,1615.6,22.3,,,,,,
1627.8,7.9,1627.8,12.6,1627.8,22.3,,,,,,
1639.9,7.8,1639.9,12.5,1639.9,22.3,,,,,,
1652.1,7.8,1652.1,12.4,1652.1,22.2,,,,,,
1664.2,7.7,1664.2,12.3,1664.2,22.2,,,,,,
1676.4,7.6,1676.4,12.2,1676.4,22.2,,,,,,
1688.5,7.6,1688.5,12.1,1688.5,22.2,,,,,,
1700.6,7.5,1700.6,12,1700.6,22.1,,,,,,
1712.8,7.4,1712.8,11.9,1712.8,22.1,,,,,,
1724.9,7.4,1724.9,11.8,1724.9,22.1,,,,,,
1737.1,7.3,1737.1,11.7,1737.1,22.1,,,,,,
1749.2,7.3,1749.2,11.6,1749.2,22.1,,,,,,
1761.4,7.2,1761.4,11.5,1761.4,22,,,,,,
1773.5,7.1,1773.5,11.4,1773.5,22,,,,,,
1785.7,7.1,1785.7,11.3,1785.7,22,,,,,,
1797.8,7,1797.8,11.2,1797.8,22,,,,,,
1810,7,1810,11.1,1810,22,,,,,,
1822.1,6.9,1822.1,11,1822.1,21.9,,,,,,
1834.3,6.9,1834.3,10.9,1834.3,21.9,,,,,,
1846.4,6.8,1846.4,10.8,1846.4,21.9,,,,,,
1858.6,6.7,1858.6,10.7,1858.6,21.9,,,,,,
1870.7,6.7,1870.7,10.7,1870.7,21.8,,,,,,
1882.9,6.6,1882.9,10.6,1882.9,21.8,,,,,,
1895,6.6,1895,10.5,1895,21.8,,,,,,
1907.2,6.5,1907.2,10.4,1907.2,21.8,,,,,,
1919.3,6.5,1919.3,10.3,1919.3,21.8,,,,,,
1931.5,6.4,1931.5,10.2,1931.5,21.8,,,,,,
1943.6,6.4,1943.6,10.1,1943.6,21.7,,,,,,
1955.7,6.3,1955.7,10,1955.7,21.7,,,,,,
1967.9,6.3,1967.9,10,1967.9,21.7,,,,,,
1980,6.2,1980,9.9,1980,21.7,,,,,,
1992.2,6.2,1992.2,9.8,1992.2,21.7,,,,,,
2004.3,6.1,2004.3,9.7,2004.3,21.6,,,,,,
2016.5,6.1,2016.5,9.6,2016.5,21.6,,,,,,
2028.6,6,2028.6,9.5,2028.6,21.6,,,,,,
2040.8,6,2040.8,9.5,2040.8,21.6,,,,,,
2052.9,5.9,2052.9,9.4,2052.9,21.6,,,,,,
2065.1,5.9,2065.1,9.3,2065.1,21.6,,,,,,
2077.2,5.8,2077.2,9.2,2077.2,21.5,,,,,,
2089.4,5.8,2089.4,9.1,2089.4,21.5,,,,,,
2101.5,5.8,2101.5,9.1,2101.5,21.5,,,,,,
