N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
4871.1,0.8,4871.1,-0.2,4871.1,19.6,,,,,,
4883.3,0.8,4883.3,-0.2,4883.3,19.6,,,,,,
4895.4,0.8,4895.4,-0.2,4895.4,19.6,,,,,,
4907.6,0.8,4907.6,-0.2,4907.6,19.6,,,,,,
4919.7,0.8,4919.7,-0.2,4919.7,19.6,,,,,,
4931.9,0.8,4931.9,-0.3,4931.9,19.6,,,,,,
4944,0.8,4944,-0.3,4944,19.6,,,,,,
4956.2,0.8,4956.2,-0.3,4956.2,19.6,,,,,,
4968.3,0.8,4968.3,-0.3,4968.3,19.6,,,,,,
4980.5,0.7,4980.5,-0.3,4980.5,19.6,,,,,,
4992.6,0.7,4992.6,-0.4,4992.6,19.5,,,,,,
5004.8,0.7,5004.8,-0.4,5004.8,19.5,,,,,,
5016.9,0.7,5016.9,-0.4,5016.9,19.5,,,,,,
5029.1,0.7,5029.1,-0.4,5029.1,19.5,,,,,,
5041.2,0.7,5041.2,-0.4,5041.2,19.5,,,,,,
5053.4,0.7,5053.4,-0.5,5053.4,19.5,,,,,,
5065.5,0.7,5065.5,-0.5,5065.5,19.5,,,,,,
5077.7,0.7,5077.7,-0.5,5077.7,19.5,,,,,,
5089.8,0.7,5089.8,-0.5,5089.8,19.5,,,,,,
5101.9,0.6,5101.9,-0.5,5101.9,19.5,,,,,,
5114.1,0.6,5114.1,-0.6,5114.1,19.5,,,,,,
5126.2,0.6,5126.2,-0.6,5126.2,19.5,,,,,,
5138.4,0.6,5138.4,-0.6,5138.4,19.5,,,,,,
5150.5,0.6,5150.5,-0.6,5150.5,19.5,,,,,,
5162.7,0.6,5162.7,-0.6,5162.7,19.5,,,,,,
5174.8,0.6,5174.8,-0.7,5174.8,19.5,,,,,,
5187,0.6,5187,-0.7,5187,19.5,,,,,,
5199.1,0.6,5199.1,-0.7,5199.1,19.5,,,,,,
5211.3,0.6,5211.3,-0.7,5211.3,19.5,,,,,,
5223.4,0.6,5223.4,-0.7,5223.4,19.5,,,,,,
5235.6,0.5,5235.6,-0.8,5235.6,19.5,,,,,,
5247.7,0.5,5247.7,-0.8,5247.7,19.5,,,,,,
5259.9,0.5,5259.9,-0.8,5259.9,19.5,,,,,,
5272,0.5,5272,-0.8,5272,19.5,,,,,,
5284.2,0.5,5284.2,-0.8,5284.2,19.5,,,,,,
5296.3,0.5,5296.3,-0.8,5296.3,19.5,,,,,,
5308.5,0.5,5308.5,-0.9,5308.5,19.4,,,,,,
5320.6,0.5,5320.6,-0.9,5320.6,19.4,,,,,,
5332.7,0.5,5332.7,-0.9,5332.7,19.4,,,,,,
5344.9,0.5,5344.9,-0.9,5344.9,19.4,,,,,,
5357,0.5,5357,-0.9,5357,19.4,,,,,,
5369.2,0.4,5369.2,-1,5369.2,19.4,,,,,,
5381.3,0.4,5381.3,-1,5381.3,19.4,,,,,,
5393.5,0.4,5393.5,-1,5393.5,19.4,,,,,,
5405.6,0.4,5405.6,-1,5405.6,19.4,,,,,,
5417.8,0.4,5417.8,-1,5417.8,19.4,,,,,,
5429.9,0.4,5429.9,-1,5429.9,19.4,,,,,,
5442.1,0.4,5442.1,-1.1,5442.1,19.4,,,,,,
5454.2,0.4,5454.2,-1.1,5454.2,19.4,,,,,,
5466.4,0.4,5466.4,-1.1,5466.4,19.4,,,,,,
5478.5,0.4,5478.5,-1.1,5478.5,19.4,,,,,,
5490.7,0.4,5490.7,-1.1,5490.7,19.4,,,,,,
5502.8,0.4,5502.8,-1.2,5502.8,19.4,,,,,,
5515,0.3,5515,-1.2,5515,19.4,,,,,,
5527.1,0.3,5527.1,-1.2,5527.1,19.4,,,,,,
5539.3,0.3,5539.3,-1.2,5539.3,19.4,,,,,,
5551.4,0.3,5551.4,-1.2,5551.4,19.4,,,,,,
5563.5,0.3,5563.5,-1.2,5563.5,19.4,,,,,,
5575.7,0.3,5575.7,-1.3,5575.7,19.4,,,,,,
5587.8,0.3,5587.8,-1.3,5587.8,19.4,,,,,,
5600,0.3,5600,-1.3,5600,19.4,,,,,,
5612.1,0.3,5612.1,-1.3,5612.1,19.4,,,,,,
5624.3,0.3,5624.3,-1.3,5624.3,19.4,,,,,,
5636.4,0.3,5636.4,-1.3,5636.4,19.4,,,,,,
5648.6,0.3,5648.6,-1.4,5648.6,19.4,,,,,,
5660.7,0.3,5660.7,-1.4,5660.7,19.3,,,,,,
5672.9,0.2,5672.9,-1.4,5672.9,19.3,,,,,,
5685,0.2,5685,-1.4,5685,19.3,,,,,,
5697.2,0.2,5697.2,-1.4,5697.2,19.3,,,,,,
5709.3,0.2,5709.3,-1.4,5709.3,19.3,,,,,,
5721.5,0.2,5721.5,-1.5,5721.5,19.3,,,,,,
5733.6,0.2,5733.6,-1.5,5733.6,19.3,,,,,,
5745.8,0.2,5745.8,-1.5,5745.8,19.3,,,,,,
5757.9,0.2,5757.9,-1.5,5757.9,19.3,,,,,,
5770.1,0.2,5770.1,-1.5,5770.1,19.3,,,,,,
5782.2,0.2,5782.2,-1.5,5782.2,19.3,,,,,,
5794.4,0.2,5794.4,-1.5,5794.4,19.3,,,,,,
5806.5,0.2,5806.5,-1.6,5806.5,19.3,,,,,,
5818.6,0.2,5818.6,-1.6,5818.6,19.3,,,,,,
5830.8,0.1,5830.8,-1.6,5830.8,19.3,,,,,,
5842.9,0.1,5842.9,-1.6,5842.9,19.3,,,,,,
5855.1,0.1,5855.1,-1.6,5855.1,19.3,,,,,,
5867.2,0.1,5867.2,-1.6,5867.2,19.3,,,,,,
5879.4,0.1,5879.4,-1.7,5879.4,19.3,,,,,,
5891.5,0.1,5891.5,-1.7,5891.5,19.3,,,,,,
5903.7,0.1,5903.7,-1.7,5903.7,19.3,,,,,,
5915.8,0.1,5915.8,-1.7,5915.8,19.3,,,,,,
5928,0.1,5928,-1.7,5928,19.3,,,,,,
5940.1,0.1,5940.1,-1.7,5940.1,19.3,,,,,,
5952.3,0.1,5952.3,-1.7,5952.3,19.3,,,,,,
5964.4,0.1,5964.4,-1.8,5964.4,19.3,,,,,,
5976.6,0.1,5976.6,-1.8,5976.6,19.3,,,,,,
5988.7,0,5988.7,-1.8,5988.7,19.3,,,,,,
6000.9,0,6000.9,-1.8,6000.9,19.3,,,,,,
6013,0,6013,-1.8,6013,19.3,,,,,,
6025.2,0,6025.2,-1.8,6025.2,19.3,,,,,,
6037.3,0,6037.3,-1.8,6037.3,19.3,,,,,,
6049.4,0,6049.4,-1.9,6049.4,19.3,,,,,,
6061.6,0,6061.6,-1.9,6061.6,19.2,,,,,,
6073.7,0,6073.7,-1.9,6073.7,19.2,,,,,,
