
Automatic Data Collection:
Thu Feb 21 16:38:59 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.02773	 0.52849
0.05000	 -0.00360	 0.53470
0.10000	 -0.03333	 0.57147
0.15000	 -0.02495	 0.42280
0.20000	 0.04654	 0.46306
0.25000	 -0.01286	 0.49796
0.30000	 0.02680	 0.42309
0.35000	 0.00749	 0.64409
0.40000	 -0.00402	 0.56789
0.45000	 -0.04579	 0.43942
0.50000	 -0.03016	 0.57185
0.55000	 -0.06667	 0.45587
0.60000	 -0.00270	 0.42684
0.65000	 -0.01079	 0.63996
0.70000	 -0.01431	 0.49158
0.75000	 0.01059	 0.62132
0.80000	 -0.00411	 0.60972
0.85000	 -0.00233	 0.43362
0.90000	 0.01372	 0.43042
0.95000	 0.01873	 0.47461
1.00000	 0.01051	 0.48410
1.05000	 0.00994	 0.64464
1.10000	 -0.01089	 0.56232
1.15000	 0.01878	 0.50921
1.20000	 0.05289	 0.53456
1.25000	 0.02621	 0.43313
1.30000	 -0.01546	 0.51080
1.35000	 0.00175	 0.50442
1.40000	 -0.03702	 0.56983
1.45000	 -0.00974	 0.50537
1.50000	 0.03136	 0.38314
1.55000	 0.00628	 0.52463
1.60000	 0.00102	 0.52792
1.65000	 -0.01441	 0.51343
1.70000	 -0.05652	 0.57987
1.75000	 -0.01703	 0.43290
1.80000	 -0.02557	 0.44522
1.85000	 -0.05894	 0.51652
1.90000	 0.03225	 0.46372
1.95000	 0.05207	 0.62481
2.00000	 -0.00166	 0.57335
2.05000	 -0.02126	 0.43760
2.10000	 -0.02084	 0.55020
2.15000	 -0.01675	 0.45645
2.20000	 0.00640	 0.49204
2.25000	 -0.02002	 0.55156
2.30000	 0.01383	 0.42929
2.35000	 -0.02878	 0.56099
2.40000	 -0.02563	 0.49195
2.45000	 0.01855	 0.43801
2.50000	 -0.02670	 0.56971
2.55000	 -0.00471	 0.52330
2.60000	 -0.01055	 0.53204
2.65000	 0.00526	 0.39950
2.70000	 0.01044	 0.45426
2.75000	 0.03478	 0.59069
2.80000	 0.07926	 0.52396
2.85000	 -0.00118	 0.59826
2.90000	 -0.07861	 0.49455
2.95000	 0.03244	 0.38513
3.00000	 0.01272	 0.51721
3.05000	 0.02097	 0.54489
3.10000	 -0.00236	 0.52682
3.15000	 -0.00743	 0.63180
3.20000	 0.01565	 0.52930
3.25000	 -0.01540	 0.45925
3.30000	 0.02475	 0.56071
3.35000	 0.01120	 0.40637
3.40000	 0.01192	 0.52111
3.45000	 0.02163	 0.54674
3.50000	 0.00242	 0.52702
3.55000	 0.01738	 0.60195
3.60000	 0.00530	 0.49120
3.65000	 0.00423	 0.40453
3.70000	 -0.02880	 0.46987
3.75000	 -0.04382	 0.59658
3.80000	 -0.03909	 0.60847
3.85000	 0.02887	 0.46843
3.90000	 0.05192	 0.52243
3.95000	 -0.01557	 0.61768
4.00000	 -0.00213	 0.41174
4.05000	 -0.04215	 0.49888
4.10000	 0.00665	 0.52636
4.15000	 -0.01774	 0.48023
4.20000	 0.00150	 0.66222
4.25000	 -0.01208	 0.61194
4.30000	 -0.03426	 0.46436
4.35000	 0.01406	 0.53461
4.40000	 -0.02987	 0.35298
4.45000	 -0.01314	 0.48292
4.50000	 -0.00855	 0.53066
4.55000	 0.01476	 0.53629
4.60000	 0.01568	 0.63526
4.65000	 -0.02853	 0.50257
4.70000	 0.00589	 0.46826
4.75000	 0.00138	 0.48523
4.80000	 -0.00250	 0.44234
4.85000	 -0.00357	 0.50055
4.90000	 -0.01875	 0.52656
4.95000	 -0.06598	 0.53063
5.00000	 -0.04317	 0.53863
5.05000	 0.01253	 0.38475
5.10000	 -0.00575	 0.51637
5.15000	 0.03339	 0.52226
5.20000	 0.00229	 0.50688
5.25000	 -0.02036	 0.59462
5.30000	 0.02033	 0.48990
5.35000	 -0.04671	 0.54832
5.40000	 -0.02526	 0.68456
5.45000	 -0.04727	 0.47417
5.50000	 0.00108	 0.47025
5.55000	 0.02514	 0.43322
5.60000	 0.01424	 0.42987
5.65000	 0.07605	 0.62115
5.70000	 0.00090	 0.53958
5.75000	 -0.00256	 0.51216
5.80000	 -0.02973	 0.63344
5.85000	 -0.01693	 0.43977
5.90000	 0.00487	 0.50884
5.95000	 0.00560	 0.53715
6.00000	 -0.02469	 0.44978
6.05000	 -0.00946	 0.55006
6.10000	 0.01932	 0.43812
6.15000	 0.00912	 0.60530
6.20000	 -0.02201	 0.52131
6.25000	 -0.01025	 0.42692
6.30000	 0.02695	 0.63055
6.35000	 0.01089	 0.46520
6.40000	 -0.01503	 0.37485
6.45000	 -0.03131	 0.53037
6.50000	 0.03353	 0.46782
6.55000	 -0.00940	 0.54529
6.60000	 0.01794	 0.54330
6.65000	 -0.01065	 0.44825
6.70000	 -0.01864	 0.57245
6.75000	 -0.01317	 0.47885
6.80000	 -0.02680	 0.44023
6.85000	 -0.06153	 0.50780
6.90000	 0.01858	 0.47755
6.95000	 0.02464	 0.51331
7.00000	 0.01799	 0.54832
7.05000	 -0.01321	 0.42915
7.10000	 0.00569	 0.44730
7.15000	 0.00335	 0.56273
7.20000	 -0.00758	 0.41310
7.25000	 -0.00321	 0.52650
7.30000	 -0.00033	 0.58974
7.35000	 -0.03160	 0.63436
7.40000	 -0.03618	 0.40164
7.45000	 0.00788	 0.47769
7.50000	 0.05156	 0.58345
7.55000	 0.04066	 0.54792
7.60000	 0.00834	 0.56088
7.65000	 -0.03902	 0.51761
7.70000	 0.02329	 0.44447
7.75000	 -0.00462	 0.57286
7.80000	 -0.04077	 0.48843
7.85000	 -0.01253	 0.46797
7.90000	 -0.02846	 0.60977
7.95000	 0.02186	 0.48448
8.00000	 0.03491	 0.46621
8.05000	 0.02752	 0.55923
8.10000	 0.02331	 0.56247
8.15000	 0.03919	 0.62617
8.20000	 0.01287	 0.56991
8.25000	 0.00882	 0.42132
8.30000	 -0.01870	 0.53935
8.35000	 -0.03595	 0.49819
8.40000	 -0.00977	 0.48497
8.45000	 -0.00039	 0.58983
8.50000	 -0.00774	 0.43047
8.55000	 0.00504	 0.55949
8.60000	 0.01532	 0.49403
8.65000	 0.03681	 0.63760
8.70000	 0.00763	 0.53135
8.75000	 0.00954	 0.39278
8.80000	 -0.02097	 0.50359
8.85000	 -0.00135	 0.50613
8.90000	 -0.00654	 0.57127
8.95000	 -0.00104	 0.70973
9.00000	 0.00273	 0.49028
9.05000	 -0.03277	 0.53069
9.10000	 -0.02846	 0.46194
9.15000	 0.01312	 0.39642
9.20000	 0.02360	 0.52099
9.25000	 0.03568	 0.55467
