
Automatic Data Collection:
Thu Feb 21 16:37:48 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00758	 0.50480
0.05000	 -0.03328	 0.44658
0.10000	 -0.01169	 0.35433
0.15000	 0.00536	 0.36698
0.20000	 0.00978	 0.31011
0.25000	 0.02166	 0.39099
0.30000	 0.02678	 0.46228
0.35000	 -0.00582	 0.47259
0.40000	 -0.02452	 0.46020
0.45000	 -0.00892	 0.34908
0.50000	 0.00907	 0.39898
0.55000	 -0.02458	 0.36493
0.60000	 -0.00886	 0.45154
0.65000	 0.00203	 0.37370
0.70000	 0.00859	 0.41342
0.75000	 -0.01444	 0.43443
0.80000	 -0.01963	 0.35918
0.85000	 0.02590	 0.36839
0.90000	 -0.02066	 0.38120
0.95000	 -0.00157	 0.42808
1.00000	 0.01591	 0.42655
1.05000	 -0.02560	 0.45498
1.10000	 -0.02625	 0.38750
1.15000	 -0.02379	 0.37866
1.20000	 -0.01794	 0.43073
1.25000	 -0.00208	 0.39339
1.30000	 0.01101	 0.51741
1.35000	 -0.01326	 0.40998
1.40000	 -0.02326	 0.38455
1.45000	 -0.00180	 0.31130
1.50000	 -0.00219	 0.38178
1.55000	 0.01789	 0.41844
1.60000	 -0.00033	 0.45890
1.65000	 0.03084	 0.44563
1.70000	 0.01360	 0.40686
1.75000	 0.02588	 0.36640
1.80000	 -0.01844	 0.37711
1.85000	 -0.03058	 0.43495
1.90000	 -0.03322	 0.39122
1.95000	 -0.00670	 0.39956
2.00000	 0.00772	 0.41166
2.05000	 0.00112	 0.31681
2.10000	 0.01620	 0.35647
2.15000	 0.03629	 0.37656
2.20000	 -0.03308	 0.42871
2.25000	 -0.04044	 0.44586
2.30000	 0.01104	 0.45665
2.35000	 0.00340	 0.39872
2.40000	 0.01920	 0.33271
2.45000	 0.02227	 0.39745
2.50000	 0.00402	 0.34767
2.55000	 0.01628	 0.43792
2.60000	 -0.02366	 0.46664
2.65000	 0.01113	 0.52122
2.70000	 -0.01421	 0.43835
2.75000	 0.00577	 0.42081
2.80000	 0.01003	 0.32942
2.85000	 -0.00744	 0.39636
2.90000	 -0.02588	 0.40591
2.95000	 -0.02287	 0.42456
3.00000	 -0.01704	 0.41936
3.05000	 -0.01166	 0.36571
3.10000	 0.00081	 0.34787
3.15000	 -0.01244	 0.49504
3.20000	 -0.01810	 0.45232
3.25000	 0.01704	 0.52633
3.30000	 -0.05719	 0.34986
3.35000	 -0.02746	 0.36420
3.40000	 0.01075	 0.30801
3.45000	 0.00524	 0.35696
3.50000	 -0.01966	 0.38698
3.55000	 -0.03807	 0.32766
3.60000	 0.00923	 0.40646
3.65000	 0.00957	 0.42765
3.70000	 0.02396	 0.47172
3.75000	 0.00952	 0.44375
3.80000	 -0.01828	 0.43036
3.85000	 -0.00433	 0.36296
3.90000	 -0.00845	 0.41088
3.95000	 0.00146	 0.41532
4.00000	 -0.01211	 0.44199
4.05000	 -0.02152	 0.39064
4.10000	 -0.01430	 0.39916
4.15000	 0.02878	 0.39289
4.20000	 0.00865	 0.40473
4.25000	 0.01254	 0.43835
4.30000	 0.00330	 0.42834
4.35000	 -0.01833	 0.34767
4.40000	 -0.00955	 0.28235
4.45000	 0.03267	 0.29591
4.50000	 0.03264	 0.46049
4.55000	 0.02210	 0.42228
4.60000	 -0.04074	 0.50263
4.65000	 -0.00347	 0.44364
4.70000	 0.00288	 0.40311
4.75000	 0.04634	 0.32356
4.80000	 0.03829	 0.34567
4.85000	 0.02394	 0.37586
4.90000	 0.00982	 0.42233
4.95000	 -0.00009	 0.50107
5.00000	 0.02146	 0.43656
5.05000	 -0.00718	 0.43402
5.10000	 -0.00566	 0.41708
5.15000	 0.00898	 0.46323
5.20000	 0.02205	 0.39339
5.25000	 -0.02444	 0.39676
5.30000	 -0.00189	 0.32446
5.35000	 0.04134	 0.39460
5.40000	 0.01771	 0.39734
5.45000	 -0.00450	 0.41584
5.50000	 -0.04316	 0.43449
5.55000	 -0.01020	 0.43365
5.60000	 0.00809	 0.35725
5.65000	 0.00003	 0.39708
5.70000	 -0.04029	 0.31473
5.75000	 -0.02608	 0.36888
5.80000	 -0.01548	 0.39529
5.85000	 -0.01262	 0.49418
5.90000	 0.01053	 0.41630
5.95000	 0.01718	 0.42464
6.00000	 0.03992	 0.35745
6.05000	 0.00459	 0.40072
6.10000	 0.02445	 0.43299
6.15000	 -0.01394	 0.44698
6.20000	 -0.06305	 0.45830
6.25000	 -0.01743	 0.38499
6.30000	 -0.02915	 0.46323
6.35000	 -0.02013	 0.37468
6.40000	 -0.01517	 0.38224
6.45000	 0.00547	 0.36005
6.50000	 0.01752	 0.46277
6.55000	 -0.02275	 0.35150
