
Automatic Data Collection:
Thu Feb 21 16:20:57 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
8.80000	 -0.00678	 0.15396
8.85000	 -0.01031	 0.13489
8.90000	 0.00228	 0.15177
8.95000	 0.00851	 0.11607
9.00000	 0.00254	 0.10611
9.05000	 -0.00735	 0.11673
9.10000	 -0.01422	 0.15145
9.15000	 -0.00810	 0.14164
9.20000	 0.00153	 0.13061
9.25000	 -0.00752	 0.12871
9.30000	 -0.01323	 0.11633
9.35000	 0.00315	 0.13650
9.40000	 -0.00178	 0.12115
9.45000	 -0.00650	 0.13154
9.50000	 0.00005	 0.15261
9.55000	 0.00498	 0.13667
9.60000	 0.00146	 0.11159
9.65000	 -0.00709	 0.13437
9.70000	 -0.00695	 0.14022
9.75000	 0.00533	 0.13382
9.80000	 0.00212	 0.11693
9.85000	 0.00036	 0.12475
9.90000	 0.00191	 0.16020
9.95000	 0.00532	 0.15425
