
Automatic Data Collection:
Thu Feb 21 16:20:37 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00912	 0.08481
0.05000	 -0.00037	 0.08876
0.10000	 0.00518	 0.06469
0.15000	 0.00118	 0.07453
0.20000	 -0.00698	 0.09785
0.25000	 -0.00777	 0.09580
0.30000	 -0.00312	 0.07693
0.35000	 -0.00093	 0.06368
0.40000	 -0.00882	 0.08074
0.45000	 -0.01751	 0.07877
0.50000	 -0.00470	 0.07367
0.55000	 0.00177	 0.07113
0.60000	 -0.00394	 0.09425
0.65000	 -0.00571	 0.09985
0.70000	 0.00366	 0.08411
0.75000	 0.00524	 0.07090
0.80000	 0.00340	 0.08218
0.85000	 -0.00690	 0.08582
0.90000	 -0.00475	 0.07540
0.95000	 -0.00064	 0.06862
1.00000	 -0.00213	 0.08062
1.05000	 -0.00050	 0.08859
1.10000	 -0.00287	 0.08336
1.15000	 -0.00448	 0.07283
1.20000	 -0.00320	 0.07854
1.25000	 0.00273	 0.09087
1.30000	 0.00609	 0.06258
1.35000	 -0.00175	 0.06434
1.40000	 -0.00276	 0.10045
1.45000	 0.00144	 0.10570
1.50000	 0.00949	 0.08501
1.55000	 0.00648	 0.07788
1.60000	 -0.00386	 0.08160
1.65000	 -0.00312	 0.07473
1.70000	 0.00408	 0.06986
1.75000	 -0.00451	 0.06475
1.80000	 -0.00924	 0.09866
1.85000	 -0.00882	 0.10296
1.90000	 -0.00050	 0.08674
1.95000	 0.00250	 0.06755
2.00000	 0.00256	 0.07652
2.05000	 -0.00126	 0.08732
2.10000	 0.00051	 0.08631
2.15000	 -0.00154	 0.08487
2.20000	 -0.00420	 0.09078
2.25000	 -0.00701	 0.09280
2.30000	 -0.00138	 0.07118
2.35000	 -0.00082	 0.06931
2.40000	 -0.00355	 0.07915
2.45000	 -0.00273	 0.09528
2.50000	 0.00219	 0.08120
2.55000	 -0.00391	 0.07165
2.60000	 -0.00768	 0.08738
2.65000	 -0.00481	 0.08556
2.70000	 0.00284	 0.07667
2.75000	 -0.00005	 0.07329
2.80000	 -0.00478	 0.08726
2.85000	 -0.00848	 0.09087
2.90000	 -0.00078	 0.08310
2.95000	 -0.00008	 0.06908
3.00000	 -0.00296	 0.09199
3.05000	 -0.00526	 0.08908
3.10000	 0.00524	 0.07626
3.15000	 0.00647	 0.06299
3.20000	 -0.00208	 0.07973
3.25000	 -0.00583	 0.09953
3.30000	 -0.00073	 0.09606
3.35000	 0.00611	 0.07407
3.40000	 -0.00056	 0.07612
3.45000	 -0.00219	 0.08882
3.50000	 -0.00257	 0.08209
3.55000	 -0.00582	 0.07981
3.60000	 -0.00907	 0.07390
3.65000	 -0.00172	 0.09324
3.70000	 0.00524	 0.07563
3.75000	 0.00029	 0.07179
3.80000	 -0.00569	 0.08821
3.85000	 -0.00020	 0.08576
3.90000	 0.00918	 0.08195
3.95000	 0.00907	 0.07673
4.00000	 -0.00147	 0.09055
4.05000	 -0.00684	 0.08833
4.10000	 0.00270	 0.08111
4.15000	 -0.00047	 0.06019
4.20000	 -0.00126	 0.08668
4.25000	 -0.00363	 0.08686
4.30000	 -0.00088	 0.08062
4.35000	 0.00130	 0.06631
4.40000	 -0.00009	 0.07447
4.45000	 -0.00366	 0.08360
4.50000	 -0.00209	 0.08804
4.55000	 0.00037	 0.07572
4.60000	 0.00119	 0.09052
4.65000	 -0.00313	 0.09159
4.70000	 0.00419	 0.07828
4.75000	 -0.00230	 0.06714
4.80000	 -0.01062	 0.08059
4.85000	 -0.00585	 0.09667
4.90000	 -0.00014	 0.07294
4.95000	 -0.00645	 0.06841
5.00000	 -0.00394	 0.07771
5.05000	 -0.00465	 0.08943
5.10000	 0.00388	 0.08966
5.15000	 -0.00033	 0.07846
5.20000	 -0.00521	 0.08475
5.25000	 -0.00588	 0.08013
5.30000	 0.00099	 0.07419
5.35000	 0.00293	 0.06948
5.40000	 -0.00009	 0.08515
5.45000	 0.00163	 0.09303
5.50000	 0.00505	 0.09373
5.55000	 0.00980	 0.07494
5.60000	 -0.00031	 0.07693
5.65000	 -0.00568	 0.09407
5.70000	 0.00011	 0.07958
5.75000	 0.00219	 0.06371
5.80000	 0.00371	 0.07938
5.85000	 -0.00175	 0.09722
5.90000	 -0.00855	 0.10129
5.95000	 -0.00822	 0.07964
6.00000	 -0.00613	 0.07632
6.05000	 0.00141	 0.09800
6.10000	 0.00354	 0.06752
6.15000	 0.00360	 0.07222
6.20000	 -0.00185	 0.08836
6.25000	 0.00022	 0.09456
6.30000	 0.01116	 0.09150
6.35000	 0.00656	 0.07520
6.40000	 0.00029	 0.09029
6.45000	 -0.00450	 0.09604
6.50000	 0.00025	 0.07791
6.55000	 0.00490	 0.06945
6.60000	 0.00274	 0.08856
6.65000	 0.00062	 0.09710
6.70000	 0.00093	 0.08969
6.75000	 0.00265	 0.07242
6.80000	 -0.00214	 0.07759
6.85000	 -0.00957	 0.09309
6.90000	 -0.00273	 0.08619
6.95000	 0.00465	 0.07473
7.00000	 0.00543	 0.07644
7.05000	 -0.00357	 0.08931
7.10000	 -0.00171	 0.09641
7.15000	 0.00174	 0.07144
7.20000	 -0.01123	 0.07170
7.25000	 -0.01118	 0.09612
7.30000	 -0.00214	 0.08106
7.35000	 -0.00375	 0.07375
7.40000	 -0.00346	 0.08100
7.45000	 -0.00789	 0.07817
7.50000	 -0.00222	 0.07990
7.55000	 -0.00106	 0.07768
7.60000	 -0.00338	 0.10715
7.65000	 -0.00726	 0.09404
7.70000	 -0.00197	 0.07921
7.75000	 0.00133	 0.06706
7.80000	 -0.00275	 0.07387
7.85000	 0.00037	 0.08351
7.90000	 -0.00318	 0.09202
7.95000	 -0.00157	 0.08157
8.00000	 -0.00647	 0.09205
8.05000	 -0.00569	 0.09739
8.10000	 -0.00996	 0.08354
8.15000	 0.00029	 0.06296
8.20000	 -0.00205	 0.07104
8.25000	 -0.01138	 0.09231
8.30000	 -0.00102	 0.09295
8.35000	 0.00071	 0.08149
8.40000	 -0.00532	 0.06951
8.45000	 0.00223	 0.08544
8.50000	 0.00859	 0.08273
8.55000	 0.00564	 0.08844
8.60000	 -0.00372	 0.10146
8.65000	 -0.00591	 0.10215
