
Automatic Data Collection:
Thu Feb 21 16:29:59 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00937	 0.36963
0.05000	 0.00188	 0.34896
0.10000	 -0.00738	 0.33488
0.15000	 0.02531	 0.34152
0.20000	 0.00733	 0.35843
0.25000	 -0.01501	 0.33632
0.30000	 -0.01698	 0.33367
0.35000	 -0.00609	 0.31869
0.40000	 -0.00743	 0.34158
0.45000	 -0.01267	 0.33023
0.50000	 -0.01445	 0.39165
0.55000	 -0.01410	 0.38409
0.60000	 -0.00168	 0.32847
0.65000	 0.01706	 0.32960
0.70000	 0.01392	 0.30469
0.75000	 0.02062	 0.32570
0.80000	 0.00513	 0.32486
0.85000	 -0.00481	 0.39284
0.90000	 -0.01746	 0.35733
0.95000	 -0.01850	 0.34787
1.00000	 -0.00115	 0.25149
1.05000	 -0.00585	 0.27525
1.10000	 -0.02511	 0.30096
1.15000	 -0.02063	 0.38224
1.20000	 -0.00405	 0.35543
1.25000	 0.00754	 0.34253
1.30000	 -0.00422	 0.30622
1.35000	 -0.00468	 0.33162
1.40000	 0.00535	 0.40430
1.45000	 0.00549	 0.35953
1.50000	 -0.00968	 0.32916
1.55000	 -0.01121	 0.30711
1.60000	 0.00416	 0.26408
1.65000	 -0.00858	 0.30988
1.70000	 0.00595	 0.30122
1.75000	 -0.00960	 0.36599
1.80000	 0.00048	 0.38663
1.85000	 -0.01343	 0.38196
1.90000	 -0.00099	 0.28570
1.95000	 -0.01631	 0.28168
2.00000	 -0.02700	 0.28913
2.05000	 -0.02946	 0.36467
2.10000	 0.01219	 0.33064
2.15000	 0.02048	 0.35987
2.20000	 0.02151	 0.31895
2.25000	 -0.00107	 0.37569
2.30000	 -0.02416	 0.36348
2.35000	 -0.00585	 0.36071
2.40000	 -0.00116	 0.32495
2.45000	 0.01211	 0.32662
2.50000	 0.01019	 0.39136
2.55000	 -0.00727	 0.36894
2.60000	 -0.00096	 0.36097
2.65000	 -0.00335	 0.32873
2.70000	 0.01276	 0.35179
2.75000	 -0.00808	 0.35361
2.80000	 -0.02325	 0.29586
2.85000	 -0.03931	 0.30076
2.90000	 -0.00920	 0.31274
2.95000	 -0.03413	 0.30527
3.00000	 -0.02715	 0.34599
3.05000	 -0.04033	 0.33407
3.10000	 -0.04606	 0.29017
3.15000	 -0.03153	 0.35898
3.20000	 -0.00602	 0.35390
3.25000	 -0.00932	 0.41619
3.30000	 -0.01641	 0.36002
3.35000	 0.01141	 0.34362
3.40000	 -0.02076	 0.28428
3.45000	 -0.02334	 0.26448
3.50000	 0.00927	 0.26064
3.55000	 -0.02363	 0.33081
3.60000	 -0.03179	 0.40958
3.65000	 -0.01779	 0.43942
3.70000	 0.02159	 0.28460
3.75000	 0.02735	 0.28368
3.80000	 -0.01935	 0.27271
3.85000	 0.00079	 0.39376
3.90000	 -0.06049	 0.35110
3.95000	 -0.05136	 0.35644
4.00000	 -0.01171	 0.33632
4.05000	 0.00710	 0.34905
4.10000	 0.05364	 0.36605
4.15000	 -0.00834	 0.33150
4.20000	 -0.00817	 0.30330
4.25000	 -0.03730	 0.35878
4.30000	 -0.01084	 0.31508
4.35000	 -0.02084	 0.31808
4.40000	 0.00050	 0.29418
4.45000	 0.00884	 0.35093
4.50000	 0.01904	 0.38115
4.55000	 0.03731	 0.36784
4.60000	 -0.00056	 0.28223
4.65000	 -0.01262	 0.27444
4.70000	 -0.03143	 0.31698
4.75000	 -0.04617	 0.35096
4.80000	 -0.03612	 0.36363
4.85000	 -0.00244	 0.34833
4.90000	 -0.00661	 0.27115
4.95000	 0.01338	 0.29987
5.00000	 -0.00279	 0.34429
5.05000	 0.00194	 0.36744
5.10000	 -0.01604	 0.34227
5.15000	 -0.00938	 0.34882
5.20000	 -0.02387	 0.34922
5.25000	 0.00947	 0.35979
5.30000	 -0.00106	 0.33335
5.35000	 0.00003	 0.31239
5.40000	 -0.03209	 0.32114
5.45000	 0.00059	 0.30983
5.50000	 0.01422	 0.30426
5.55000	 0.03767	 0.30345
5.60000	 -0.01407	 0.37410
5.65000	 0.00554	 0.34114
5.70000	 -0.03061	 0.35410
5.75000	 -0.03027	 0.31459
5.80000	 -0.04482	 0.31773
5.85000	 -0.00014	 0.30711
5.90000	 0.02574	 0.31289
5.95000	 0.00871	 0.33696
6.00000	 -0.02143	 0.35612
6.05000	 -0.01723	 0.34660
6.10000	 -0.00016	 0.35191
6.15000	 0.00637	 0.29412
6.20000	 -0.00132	 0.34013
6.25000	 0.00178	 0.35251
6.30000	 0.00640	 0.37739
6.35000	 -0.02135	 0.34365
6.40000	 0.00712	 0.37942
6.45000	 0.01717	 0.33644
6.50000	 -0.00358	 0.31817
6.55000	 -0.00658	 0.27961
6.60000	 -0.01639	 0.33465
6.65000	 -0.02025	 0.34868
6.70000	 -0.01625	 0.41290
6.75000	 -0.00721	 0.33699
6.80000	 -0.01580	 0.31459
6.85000	 -0.00848	 0.23767
6.90000	 -0.03498	 0.26428
6.95000	 -0.01172	 0.30856
7.00000	 -0.02816	 0.30876
7.05000	 -0.02402	 0.36585
7.10000	 -0.01540	 0.38063
7.15000	 -0.01045	 0.36418
7.20000	 -0.01310	 0.32729
7.25000	 0.02007	 0.28870
7.30000	 -0.00228	 0.31309
7.35000	 -0.02777	 0.34134
7.40000	 -0.02737	 0.37243
7.45000	 0.00884	 0.34345
7.50000	 0.01726	 0.30319
7.55000	 0.04678	 0.31941
7.60000	 -0.00250	 0.33765
7.65000	 -0.00416	 0.29586
7.70000	 0.00158	 0.34732
7.75000	 -0.01757	 0.32206
7.80000	 -0.01306	 0.35979
7.85000	 0.01143	 0.26030
7.90000	 -0.02221	 0.27129
7.95000	 0.00724	 0.29334
8.00000	 -0.03607	 0.34028
8.05000	 -0.03170	 0.31479
8.10000	 0.00699	 0.38308
8.15000	 -0.00158	 0.35153
8.20000	 0.01003	 0.34325
8.25000	 0.00889	 0.35396
8.30000	 0.01459	 0.36114
8.35000	 0.00033	 0.32149
8.40000	 -0.02284	 0.33678
8.45000	 -0.01520	 0.38770
8.50000	 -0.00611	 0.36045
8.55000	 0.02388	 0.32105
8.60000	 0.01202	 0.31973
8.65000	 0.01700	 0.27989
8.70000	 -0.01168	 0.37858
8.75000	 0.01394	 0.37188
8.80000	 0.00878	 0.38299
8.85000	 0.00541	 0.32062
8.90000	 -0.01957	 0.32864
8.95000	 -0.03008	 0.27398
9.00000	 -0.04170	 0.31944
9.05000	 -0.00774	 0.30235
9.10000	 0.00972	 0.32856
9.15000	 -0.00476	 0.32126
9.20000	 -0.01453	 0.37540
9.25000	 0.01741	 0.28469
9.30000	 0.02233	 0.32053
9.35000	 0.01941	 0.30506
9.40000	 0.00281	 0.34527
9.45000	 -0.01938	 0.35283
9.50000	 -0.05183	 0.36923
9.55000	 -0.01220	 0.34311
9.60000	 0.00122	 0.32180
9.65000	 0.00600	 0.34059
9.70000	 -0.00014	 0.37399
9.75000	 0.00952	 0.36666
9.80000	 -0.03788	 0.32475
9.85000	 0.02159	 0.30555
9.90000	 -0.02173	 0.29998
9.95000	 0.04106	 0.28466
