Ring,Ring Type,Thickness
6.8,F,2
7.3,F,1
7.6,F,3
7.9,F,2
8.5,F,1
8.8,F,3
11.5,F,2
12.3,F,1
12.9,F,3
13.8,F,2
14.5,F,1
14.8,F,1
15.5,F,3
16.4,F,2
3.1,B,2
3.5,B,3
8.6,B,2
10.8,B,1
12.8,B,2
13.2,B,1
13.7,B,2
