,x,y
1536,1024,4_0_8_0
1516,1024,4_0_0_8
1656,1024,4_8_0_0
589,1035,3_9_5_3
529,1035,3_5_9_3
494,1035,3_3_9_5
484,1035,3_3_5_9
584,1035,3_9_3_5
514,1035,3_5_3_9
1488,1044,3_10_4_0
1478,1044,3_10_0_4
1460,1044,3_8_6_4
1455,1044,3_8_4_6
1430,1044,3_6_8_4
1420,1044,3_6_4_8
1395,1044,3_4_8_6
1390,1044,3_4_6_8
1373,1044,3_4_0_10
1398,1044,3_4_10_0
1313,1044,3_0_4_10
1328,1044,3_0_10_4
1294,1056,2_10_10_8
1259,1056,2_8_10_10
1289,1056,2_10_8_10
323,1068,2_5_11_11
428,1068,2_11_11_5
413,1068,2_11_5_11
693,1072,4_3_3_7
703,1072,4_3_7_3
763,1072,4_7_3_3
1484,1080,3_10_2_4
1364,1080,3_2_10_4
1399,1080,3_4_10_2
1489,1080,3_10_4_2
1379,1080,3_4_2_10
1349,1080,3_2_4_10
1662,1088,4_8_2_0
1537,1088,4_0_8_2
1634,1088,4_6_4_4
1552,1088,4_2_0_8
1657,1088,4_8_0_2
1572,1088,4_2_8_0
1599,1088,4_4_4_6
1604,1088,4_4_6_4
1522,1088,4_0_2_8
462,1107,3_1_11_1
555,1107,3_7_5_7
560,1107,3_7_7_5
437,1107,3_1_1_11
612,1107,3_11_1_1
525,1107,3_5_7_7
424,1132,2_11_9_9
389,1132,2_9_9_11
394,1132,2_9_11_9
1324,1152,3_0_8_8
1663,1152,4_8_2_2
1444,1152,3_8_0_8
1464,1152,3_8_8_0
1638,1152,4_6_6_0
1533,1152,4_0_6_6
1573,1152,4_2_8_2
1558,1152,4_2_2_8
1623,1152,4_6_0_6
429,1164,2_11_11_7
359,1164,2_7_11_11
419,1164,2_11_7_11
544,1179,3_7_1_9
473,1179,3_3_1_11
463,1179,3_1_11_3
590,1179,3_9_5_5
564,1179,3_7_9_1
454,1179,3_1_7_9
613,1179,3_11_1_3
459,1179,3_1_9_7
443,1179,3_1_3_11
579,1179,3_9_1_7
530,1179,3_5_9_5
520,1179,3_5_5_9
498,1179,3_3_11_1
618,1179,3_11_3_1
594,1179,3_9_7_1
1385,1188,3_4_4_10
1450,1188,3_8_2_8
1400,1188,3_4_10_4
1465,1188,3_8_8_2
1360,1188,3_2_8_8
1490,1188,3_10_4_4
1295,1200,2_10_10_10
768,1200,4_7_5_1
738,1200,4_5_7_1
758,1200,4_7_1_5
663,1200,4_1_5_7
668,1200,4_1_7_5
734,1200,4_5_5_5
723,1200,4_5_1_7
1639,1216,4_6_6_2
1569,1216,4_2_6_6
1629,1216,4_6_2_6
1409,1224,3_6_0_10
1319,1224,3_0_6_10
1494,1224,3_10_6_0
1461,1224,3_8_6_6
1431,1224,3_6_8_6
1434,1224,3_6_10_0
1329,1224,3_0_10_6
1426,1224,3_6_6_8
1479,1224,3_10_0_6
595,1251,3_9_7_3
619,1251,3_11_3_3
499,1251,3_3_11_3
565,1251,3_7_9_3
550,1251,3_7_3_9
495,1251,3_3_9_7
490,1251,3_3_7_9
585,1251,3_9_3_7
479,1251,3_3_3_11
1365,1260,3_2_10_6
1415,1260,3_6_2_10
1355,1260,3_2_6_10
1435,1260,3_6_10_2
1495,1260,3_10_6_2
1485,1260,3_10_2_6
1538,1280,4_0_8_4
1528,1280,4_0_4_8
1658,1280,4_8_0_4
1608,1280,4_4_8_0
1588,1280,4_4_0_8
1668,1280,4_8_4_0
425,1292,2_11_9_11
395,1292,2_9_11_11
430,1292,2_11_11_9
1466,1296,3_8_8_4
1456,1296,3_8_4_8
1396,1296,3_4_8_8
624,1323,3_11_5_1
509,1323,3_5_1_11
614,1323,3_11_1_5
534,1323,3_5_11_1
464,1323,3_1_11_5
449,1323,3_1_5_11
561,1323,3_7_7_7
764,1328,4_7_3_5
769,1328,4_7_5_3
652,1328,4_1_1_9
729,1328,4_5_3_7
672,1328,4_1_9_1
739,1328,4_5_7_3
792,1328,4_9_1_1
704,1328,4_3_7_5
699,1328,4_3_5_7
1574,1344,4_2_8_4
1609,1344,4_4_8_2
1564,1344,4_2_4_8
1594,1344,4_4_2_8
1664,1344,4_8_2_4
1669,1344,4_8_4_2
1491,1368,3_10_4_6
1421,1368,3_6_4_10
1391,1368,3_4_6_10
1401,1368,3_4_10_6
1436,1368,3_6_10_4
1496,1368,3_10_6_4
566,1395,3_7_9_5
625,1395,3_11_5_3
535,1395,3_5_11_3
500,1395,3_3_11_5
620,1395,3_11_3_5
596,1395,3_9_7_5
515,1395,3_5_3_11
591,1395,3_9_5_7
556,1395,3_7_5_9
531,1395,3_5_9_7
526,1395,3_5_7_9
485,1395,3_3_5_11
1635,1408,4_6_4_6
1605,1408,4_4_6_6
1640,1408,4_6_6_4
431,1452,2_11_11_11
708,1456,4_3_9_1
798,1456,4_9_3_1
688,1456,4_3_1_9
658,1456,4_1_3_9
793,1456,4_9_1_3
673,1456,4_1_9_3
460,1467,3_1_9_9
600,1467,3_9_9_1
580,1467,3_9_1_9
1330,1476,3_0_10_8
1325,1476,3_0_8_10
1445,1476,3_8_0_10
1500,1476,3_10_8_0
1467,1476,3_8_8_6
1432,1476,3_6_8_8
1462,1476,3_8_6_8
1470,1476,3_8_10_0
1480,1476,3_10_0_8
1361,1512,3_2_8_10
1486,1512,3_10_2_8
1471,1512,3_8_10_2
1366,1512,3_2_10_8
1501,1512,3_10_8_2
1451,1512,3_8_2_10
1670,1536,4_8_4_4
1600,1536,4_4_4_8
1610,1536,4_4_8_4
615,1539,3_11_1_7
601,1539,3_9_9_3
626,1539,3_11_5_5
536,1539,3_5_11_5
496,1539,3_3_9_9
630,1539,3_11_7_1
545,1539,3_7_1_11
465,1539,3_1_11_7
521,1539,3_5_5_11
455,1539,3_1_7_11
586,1539,3_9_3_9
570,1539,3_7_11_1
1497,1548,3_10_6_6
1427,1548,3_6_6_10
1437,1548,3_6_10_6
735,1584,4_5_5_7
759,1584,4_7_1_7
799,1584,4_9_3_3
740,1584,4_5_7_5
770,1584,4_7_5_5
709,1584,4_3_9_3
774,1584,4_7_7_1
669,1584,4_1_7_7
694,1584,4_3_3_9
1534,1600,4_0_6_8
1517,1600,4_0_0_10
1539,1600,4_0_8_6
1659,1600,4_8_0_6
1644,1600,4_6_8_0
1542,1600,4_0_10_0
1674,1600,4_8_6_0
1624,1600,4_6_0_8
1692,1600,4_10_0_0
597,1611,3_9_7_7
562,1611,3_7_7_9
551,1611,3_7_3_11
491,1611,3_3_7_11
571,1611,3_7_11_3
621,1611,3_11_3_7
501,1611,3_3_11_7
567,1611,3_7_9_7
631,1611,3_11_7_3
1502,1620,3_10_8_4
1397,1620,3_4_8_10
1472,1620,3_8_10_4
1457,1620,3_8_4_10
1402,1620,3_4_10_8
1492,1620,3_10_4_8
1693,1664,4_10_0_2
1665,1664,4_8_2_6
1553,1664,4_2_0_10
1578,1664,4_2_10_0
1575,1664,4_2_8_6
1570,1664,4_2_6_8
1698,1664,4_10_2_0
1543,1664,4_0_10_2
1630,1664,4_6_2_8
1675,1664,4_8_6_2
1523,1664,4_0_2_10
1645,1664,4_6_8_2
592,1683,3_9_5_9
532,1683,3_5_9_9
602,1683,3_9_9_5
664,1712,4_1_5_9
804,1712,4_9_5_1
775,1712,4_7_7_3
765,1712,4_7_3_7
705,1712,4_3_7_7
744,1712,4_5_9_1
794,1712,4_9_1_5
724,1712,4_5_1_9
674,1712,4_1_9_5
1468,1728,3_8_8_8
1641,1728,4_6_6_6
1699,1728,4_10_2_2
1579,1728,4_2_10_2
1559,1728,4_2_2_10
632,1755,3_11_7_5
537,1755,3_5_11_7
527,1755,3_5_7_11
572,1755,3_7_11_5
557,1755,3_7_5_11
627,1755,3_11_5_7
1463,1800,3_8_6_10
1473,1800,3_8_10_6
1481,1800,3_10_0_10
1331,1800,3_0_10_10
1438,1800,3_6_10_8
1433,1800,3_6_8_10
1506,1800,3_10_10_0
1498,1800,3_10_6_8
1503,1800,3_10_8_6
606,1827,3_9_11_1
461,1827,3_1_9_11
636,1827,3_11_9_1
616,1827,3_11_1_9
581,1827,3_9_1_11
466,1827,3_1_11_9
1367,1836,3_2_10_10
1507,1836,3_10_10_2
1487,1836,3_10_2_10
805,1840,4_9_5_3
745,1840,4_5_9_3
710,1840,4_3_9_5
730,1840,4_5_3_9
800,1840,4_9_3_5
700,1840,4_3_5_9
1589,1856,4_4_0_10
1636,1856,4_6_4_8
1676,1856,4_8_6_4
1704,1856,4_10_4_0
1614,1856,4_4_10_0
1694,1856,4_10_0_4
1544,1856,4_0_10_4
1646,1856,4_6_8_4
1529,1856,4_0_4_10
1611,1856,4_4_8_6
1671,1856,4_8_4_6
1606,1856,4_4_6_8
637,1899,3_11_9_3
502,1899,3_3_11_9
607,1899,3_9_11_3
497,1899,3_3_9_11
622,1899,3_11_3_9
568,1899,3_7_9_9
587,1899,3_9_3_11
603,1899,3_9_9_7
598,1899,3_9_7_9
1615,1920,4_4_10_2
1705,1920,4_10_4_2
1700,1920,4_10_2_4
1580,1920,4_2_10_4
1565,1920,4_2_4_10
1595,1920,4_4_2_10
1403,1944,3_4_10_10
1508,1944,3_10_10_4
1493,1944,3_10_4_10
828,1968,4_11_1_1
776,1968,4_7_7_5
678,1968,4_1_11_1
653,1968,4_1_1_11
741,1968,4_5_7_7
771,1968,4_7_5_7
563,1971,3_7_7_11
573,1971,3_7_11_7
633,1971,3_11_7_7
628,2043,3_11_5_9
638,2043,3_11_9_5
538,2043,3_5_11_9
608,2043,3_9_11_5
593,2043,3_9_5_11
533,2043,3_5_9_11
1680,2048,4_8_8_0
1660,2048,4_8_0_8
1540,2048,4_0_8_8
1504,2052,3_10_8_8
1469,2052,3_8_8_10
1474,2052,3_8_10_8
829,2096,4_11_1_3
834,2096,4_11_3_1
736,2096,4_5_5_9
659,2096,4_1_3_11
810,2096,4_9_7_1
670,2096,4_1_7_9
806,2096,4_9_5_5
746,2096,4_5_9_5
675,2096,4_1_9_7
679,2096,4_1_11_3
760,2096,4_7_1_9
689,2096,4_3_1_11
714,2096,4_3_11_1
795,2096,4_9_1_7
780,2096,4_7_9_1
1576,2112,4_2_8_8
1666,2112,4_8_2_8
1616,2112,4_4_10_4
1601,2112,4_4_4_10
1706,2112,4_10_4_4
1681,2112,4_8_8_2
1509,2124,3_10_10_6
1439,2124,3_6_10_10
1499,2124,3_10_6_10
1625,2176,4_6_0_10
1535,2176,4_0_6_10
1695,2176,4_10_0_6
1677,2176,4_8_6_6
1545,2176,4_0_10_6
1650,2176,4_6_10_0
1647,2176,4_6_8_6
1710,2176,4_10_6_0
1642,2176,4_6_6_8
617,2187,3_11_1_11
467,2187,3_1_11_11
642,2187,3_11_11_1
604,2187,3_9_9_9
801,2224,4_9_3_7
695,2224,4_3_3_11
715,2224,4_3_11_3
835,2224,4_11_3_3
811,2224,4_9_7_3
706,2224,4_3_7_9
781,2224,4_7_9_3
766,2224,4_7_3_9
711,2224,4_3_9_7
1701,2240,4_10_2_6
1581,2240,4_2_10_6
1651,2240,4_6_10_2
1631,2240,4_6_2_10
1571,2240,4_2_6_10
1711,2240,4_10_6_2
574,2259,3_7_11_9
639,2259,3_11_9_7
569,2259,3_7_9_11
623,2259,3_11_3_11
634,2259,3_11_7_9
609,2259,3_9_11_7
643,2259,3_11_11_3
599,2259,3_9_7_11
503,2259,3_3_11_11
1682,2304,4_8_8_4
1672,2304,4_8_4_8
1612,2304,4_4_8_8
725,2352,4_5_1_11
777,2352,4_7_7_7
680,2352,4_1_11_5
830,2352,4_11_1_5
750,2352,4_5_11_1
665,2352,4_1_5_11
840,2352,4_11_5_1
1510,2376,3_10_10_8
1505,2376,3_10_8_10
1475,2376,3_8_10_10
539,2403,3_5_11_11
644,2403,3_11_11_5
629,2403,3_11_5_11
1712,2432,4_10_6_4
1607,2432,4_4_6_10
1617,2432,4_4_10_6
1637,2432,4_6_4_10
1707,2432,4_10_4_6
1652,2432,4_6_10_4
836,2480,4_11_3_5
841,2480,4_11_5_3
716,2480,4_3_11_5
701,2480,4_3_5_11
772,2480,4_7_5_9
751,2480,4_5_11_3
747,2480,4_5_9_7
782,2480,4_7_9_5
742,2480,4_5_7_9
731,2480,4_5_3_11
807,2480,4_9_5_7
812,2480,4_9_7_5
610,2547,3_9_11_9
640,2547,3_11_9_9
605,2547,3_9_9_11
816,2608,4_9_9_1
676,2608,4_1_9_9
796,2608,4_9_1_9
645,2619,3_11_11_7
635,2619,3_11_7_11
575,2619,3_7_11_11
1546,2624,4_0_10_8
1716,2624,4_10_8_0
1678,2624,4_8_6_8
1541,2624,4_0_8_10
1648,2624,4_6_8_8
1683,2624,4_8_8_6
1661,2624,4_8_0_10
1686,2624,4_8_10_0
1696,2624,4_10_0_8
1717,2688,4_10_8_2
1582,2688,4_2_10_8
1687,2688,4_8_10_2
1667,2688,4_8_2_10
1702,2688,4_10_2_8
1577,2688,4_2_8_10
1511,2700,3_10_10_10
831,2736,4_11_1_7
786,2736,4_7_11_1
671,2736,4_1_7_11
752,2736,4_5_11_5
846,2736,4_11_7_1
737,2736,4_5_5_11
802,2736,4_9_3_9
681,2736,4_1_11_7
842,2736,4_11_5_5
761,2736,4_7_1_11
817,2736,4_9_9_3
712,2736,4_3_9_9
1713,2752,4_10_6_6
1653,2752,4_6_10_6
1643,2752,4_6_6_10
787,2864,4_7_11_3
707,2864,4_3_7_11
767,2864,4_7_3_11
778,2864,4_7_7_9
717,2864,4_3_11_7
813,2864,4_9_7_7
783,2864,4_7_9_7
847,2864,4_11_7_3
837,2864,4_11_3_7
1718,2880,4_10_8_4
1618,2880,4_4_10_8
1613,2880,4_4_8_10
1688,2880,4_8_10_4
1673,2880,4_8_4_10
1708,2880,4_10_4_8
646,2907,3_11_11_9
641,2907,3_11_9_11
611,2907,3_9_11_11
748,2992,4_5_9_9
808,2992,4_9_5_9
818,2992,4_9_9_5
1684,3072,4_8_8_8
788,3120,4_7_11_5
773,3120,4_7_5_11
743,3120,4_5_7_11
843,3120,4_11_5_7
848,3120,4_11_7_5
753,3120,4_5_11_7
1689,3200,4_8_10_6
1679,3200,4_8_6_10
1719,3200,4_10_8_6
1714,3200,4_10_6_8
1697,3200,4_10_0_10
1722,3200,4_10_10_0
1654,3200,4_6_10_8
1649,3200,4_6_8_10
1547,3200,4_0_10_10
797,3248,4_9_1_11
832,3248,4_11_1_9
852,3248,4_11_9_1
682,3248,4_1_11_9
677,3248,4_1_9_11
822,3248,4_9_11_1
1723,3264,4_10_10_2
1703,3264,4_10_2_10
1583,3264,4_2_10_10
647,3267,3_11_11_11
838,3376,4_11_3_9
784,3376,4_7_9_9
819,3376,4_9_9_7
803,3376,4_9_3_11
853,3376,4_11_9_3
823,3376,4_9_11_3
814,3376,4_9_7_9
718,3376,4_3_11_9
713,3376,4_3_9_11
1619,3456,4_4_10_10
1724,3456,4_10_10_4
1709,3456,4_10_4_10
849,3504,4_11_7_7
779,3504,4_7_7_11
789,3504,4_7_11_7
824,3632,4_9_11_5
844,3632,4_11_5_9
854,3632,4_11_9_5
749,3632,4_5_9_11
809,3632,4_9_5_11
754,3632,4_5_11_9
1720,3648,4_10_8_8
1690,3648,4_8_10_8
1685,3648,4_8_8_10
1715,3776,4_10_6_10
1655,3776,4_6_10_10
1725,3776,4_10_10_6
820,3888,4_9_9_9
683,3888,4_1_11_11
833,3888,4_11_1_11
858,3888,4_11_11_1
790,4016,4_7_11_9
825,4016,4_9_11_7
815,4016,4_9_7_11
785,4016,4_7_9_11
839,4016,4_11_3_11
859,4016,4_11_11_3
850,4016,4_11_7_9
855,4016,4_11_9_7
719,4016,4_3_11_11
1721,4224,4_10_8_10
1691,4224,4_8_10_10
1726,4224,4_10_10_8
860,4272,4_11_11_5
755,4272,4_5_11_11
845,4272,4_11_5_11
821,4528,4_9_9_11
826,4528,4_9_11_9
856,4528,4_11_9_9
851,4656,4_11_7_11
791,4656,4_7_11_11
861,4656,4_11_11_7
1727,4800,4_10_10_10
857,5168,4_11_9_11
827,5168,4_9_11_11
862,5168,4_11_11_9
863,5808,4_11_11_11
