,x,y
1052,120,1_10_2_4
1057,120,1_10_4_2
932,120,1_2_10_4
967,120,1_4_10_2
123,123,1_7_5_7
180,123,1_11_1_1
128,123,1_7_7_5
30,123,1_1_11_1
5,123,1_1_1_11
93,123,1_5_7_7
1519,128,4_0_2_2
1032,128,1_8_8_0
1094,128,2_0_4_4
1549,128,4_2_0_2
1554,128,4_2_2_0
1164,128,2_4_4_0
1012,128,1_8_0_8
892,128,1_0_8_8
1154,128,2_4_0_4
132,131,1_7_9_1
27,131,1_1_9_7
98,131,1_5_9_5
11,131,1_1_3_11
22,131,1_1_7_9
158,131,1_9_5_5
147,131,1_9_1_7
31,131,1_1_11_3
88,131,1_5_5_9
112,131,1_7_1_9
41,131,1_3_1_11
66,131,1_3_11_1
181,131,1_11_1_3
162,131,1_9_7_1
186,131,1_11_3_1
928,132,1_2_8_8
1033,132,1_8_8_2
1058,132,1_10_4_4
968,132,1_4_10_4
953,132,1_4_4_10
1018,132,1_8_2_8
1062,136,1_10_6_0
977,136,1_6_0_10
1047,136,1_10_0_6
887,136,1_0_6_10
1002,136,1_6_10_0
999,136,1_6_8_6
994,136,1_6_6_8
897,136,1_0_10_6
1029,136,1_8_6_6
47,139,1_3_3_11
153,139,1_9_3_7
118,139,1_7_3_9
58,139,1_3_7_9
133,139,1_7_9_3
67,139,1_3_11_3
163,139,1_9_7_3
63,139,1_3_9_7
187,139,1_11_3_3
264,140,2_3_5_1
254,140,2_3_1_5
224,140,2_1_3_5
289,140,2_5_1_3
229,140,2_1_5_3
1063,140,1_10_6_2
294,140,2_5_3_1
933,140,1_2_10_6
1053,140,1_10_2_6
1003,140,1_6_10_2
923,140,1_2_6_10
983,140,1_6_2_10
964,144,1_4_8_8
1298,144,3_0_0_4
1308,144,3_0_4_0
1024,144,1_8_4_8
1130,144,2_2_4_4
1083,144,2_0_0_6
1160,144,2_4_2_4
1165,144,2_4_4_2
1034,144,1_8_8_4
1188,144,2_6_0_0
1368,144,3_4_0_0
1098,144,2_0_6_0
77,147,1_5_1_11
17,147,1_1_5_11
192,147,1_11_5_1
182,147,1_11_1_5
102,147,1_5_11_1
129,147,1_7_7_7
32,147,1_1_11_5
1004,152,1_6_10_4
989,152,1_6_4_10
1064,152,1_10_6_4
959,152,1_4_6_10
1059,152,1_10_4_6
969,152,1_4_10_6
188,155,1_11_3_5
193,155,1_11_5_3
68,155,1_3_11_5
94,155,1_5_7_9
83,155,1_5_3_11
124,155,1_7_5_9
159,155,1_9_5_7
134,155,1_7_9_5
164,155,1_9_7_5
103,155,1_5_11_3
99,155,1_5_9_7
53,155,1_3_5_11
1134,160,2_2_6_0
1119,160,2_2_0_6
1194,160,2_6_2_0
1189,160,2_6_0_2
1099,160,2_0_6_2
1089,160,2_0_2_6
168,163,1_9_9_1
28,163,1_1_9_9
148,163,1_9_1_9
898,164,1_0_10_8
1000,164,1_6_8_8
1013,164,1_8_0_10
893,164,1_0_8_10
1030,164,1_8_6_8
1068,164,1_10_8_0
1035,164,1_8_8_6
1048,164,1_10_0_8
1038,164,1_8_10_0
1019,168,1_8_2_10
1069,168,1_10_8_2
1039,168,1_8_10_2
1054,168,1_10_2_8
934,168,1_2_10_8
929,168,1_2_8_10
113,171,1_7_1_11
104,171,1_5_11_5
154,171,1_9_3_9
183,171,1_11_1_7
198,171,1_11_7_1
439,171,3_1_3_3
64,171,1_3_9_9
169,171,1_9_9_3
469,171,3_3_1_3
89,171,1_5_5_11
194,171,1_11_5_5
138,171,1_7_11_1
474,171,3_3_3_1
33,171,1_1_11_7
23,171,1_1_7_11
265,172,2_3_5_3
1005,172,1_6_10_6
295,172,2_5_3_3
1065,172,1_10_6_6
260,172,2_3_3_5
995,172,1_6_6_10
1125,176,2_2_2_6
1135,176,2_2_6_2
654,176,4_1_3_1
649,176,4_1_1_3
684,176,4_3_1_1
1195,176,2_6_2_2
119,179,1_7_3_11
165,179,1_9_7_7
69,179,1_3_11_7
130,179,1_7_7_9
135,179,1_7_9_7
139,179,1_7_11_3
189,179,1_11_3_7
59,179,1_3_7_11
199,179,1_11_7_3
1070,180,1_10_8_4
1369,180,3_4_0_2
1334,180,3_2_0_4
970,180,1_4_10_8
1344,180,3_2_4_0
1374,180,3_4_2_0
1060,180,1_10_4_8
1304,180,3_0_2_4
1040,180,1_8_10_4
1025,180,1_8_4_10
965,180,1_4_8_10
1309,180,3_0_4_2
160,187,1_9_5_9
100,187,1_5_9_9
170,187,1_9_9_5
1166,192,2_4_4_4
1036,192,1_8_8_8
1555,192,4_2_2_2
125,195,1_7_5_11
105,195,1_5_11_7
140,195,1_7_11_5
95,195,1_5_7_11
200,195,1_11_7_5
195,195,1_11_5_7
1071,200,1_10_8_6
1066,200,1_10_6_8
899,200,1_0_10_10
1074,200,1_10_10_0
1006,200,1_6_10_8
1041,200,1_8_10_6
1001,200,1_6_8_10
1031,200,1_8_6_10
1049,200,1_10_0_10
204,203,1_11_9_1
184,203,1_11_1_9
149,203,1_9_1_11
29,203,1_1_9_11
34,203,1_1_11_9
174,203,1_9_11_1
290,204,2_5_1_5
935,204,1_2_10_10
300,204,2_5_5_1
219,204,2_1_1_7
230,204,2_1_5_5
324,204,2_7_1_1
1055,204,1_10_2_10
234,204,2_1_7_1
1075,204,1_10_10_2
1155,208,2_4_0_6
1095,208,2_0_4_6
1100,208,2_0_6_4
1200,208,2_6_4_0
1190,208,2_6_0_4
1170,208,2_4_6_0
65,211,1_3_9_11
171,211,1_9_9_7
190,211,1_11_3_9
136,211,1_7_9_9
155,211,1_9_3_11
70,211,1_3_11_9
166,211,1_9_7_9
175,211,1_9_11_3
205,211,1_11_9_3
1345,216,3_2_4_2
971,216,1_4_10_10
1340,216,3_2_2_4
1061,216,1_10_4_10
1375,216,3_4_2_2
1076,216,1_10_10_4
131,219,1_7_7_11
141,219,1_7_11_7
201,219,1_11_7_7
1171,224,2_4_6_2
1201,224,2_6_4_2
1196,224,2_6_2_4
1161,224,2_4_2_6
1136,224,2_2_6_4
1131,224,2_2_4_6
176,227,1_9_11_5
101,227,1_5_9_11
106,227,1_5_11_9
206,227,1_11_9_5
161,227,1_9_5_11
196,227,1_11_5_9
1037,228,1_8_8_10
1072,228,1_10_8_8
1042,228,1_8_10_8
296,236,2_5_3_5
330,236,2_7_3_1
235,236,2_1_7_3
1067,236,1_10_6_10
325,236,2_7_1_3
255,236,2_3_1_7
1007,236,1_6_10_10
1077,236,1_10_10_6
270,236,2_3_7_1
301,236,2_5_5_3
266,236,2_3_5_5
225,236,2_1_3_7
172,243,1_9_9_9
35,243,1_1_11_11
475,243,3_3_3_3
434,243,3_1_1_5
185,243,1_11_1_11
210,243,1_11_11_1
444,243,3_1_5_1
504,243,3_5_1_1
202,251,1_11_7_9
177,251,1_9_11_7
211,251,1_11_11_3
142,251,1_7_11_9
167,251,1_9_7_11
191,251,1_11_3_11
71,251,1_3_11_11
207,251,1_11_9_7
137,251,1_7_9_11
1514,256,4_0_0_4
1104,256,2_0_8_0
1584,256,4_4_0_0
1084,256,2_0_0_8
1524,256,4_0_4_0
1224,256,2_8_0_0
1073,264,1_10_8_10
1078,264,1_10_10_8
1043,264,1_8_10_10
107,267,1_5_11_11
197,267,1_11_5_11
212,267,1_11_11_5
261,268,2_3_3_7
271,268,2_3_7_3
331,268,2_7_3_3
1105,272,2_0_8_2
1230,272,2_8_2_0
1167,272,2_4_4_6
1090,272,2_0_2_8
1225,272,2_8_0_2
1120,272,2_2_0_8
1202,272,2_6_4_4
1140,272,2_2_8_0
1172,272,2_4_6_4
173,283,1_9_9_11
208,283,1_11_9_9
178,283,1_9_11_9
1191,288,2_6_0_6
1231,288,2_8_2_2
1141,288,2_2_8_2
1370,288,3_4_0_4
1310,288,3_0_4_4
1101,288,2_0_6_6
1126,288,2_2_2_8
1206,288,2_6_6_0
1380,288,3_4_4_0
213,291,1_11_11_7
203,291,1_11_7_11
143,291,1_7_11_11
326,300,2_7_1_5
1079,300,1_10_10_10
336,300,2_7_5_1
306,300,2_5_7_1
231,300,2_1_5_7
302,300,2_5_5_5
291,300,2_5_1_7
236,300,2_1_7_5
1197,304,2_6_2_6
1207,304,2_6_6_2
1137,304,2_2_6_6
690,304,4_3_3_1
655,304,4_1_3_3
685,304,4_3_1_3
510,315,3_5_3_1
505,315,3_5_1_3
470,315,3_3_1_5
480,315,3_3_5_1
440,315,3_1_3_5
445,315,3_1_5_3
1550,320,4_2_0_4
1156,320,2_4_0_8
1236,320,2_8_4_0
1106,320,2_0_8_4
1585,320,4_4_0_2
1590,320,4_4_2_0
1520,320,4_0_2_4
1096,320,2_0_4_8
1560,320,4_2_4_0
1226,320,2_8_0_4
1525,320,4_0_4_2
1176,320,2_4_8_0
214,323,1_11_11_9
179,323,1_9_11_11
209,323,1_11_9_11
1381,324,3_4_4_2
1299,324,3_0_0_6
1314,324,3_0_6_0
1404,324,3_6_0_0
1376,324,3_4_2_4
1346,324,3_2_4_4
267,332,2_3_5_7
240,332,2_1_9_1
220,332,2_1_1_9
297,332,2_5_3_7
307,332,2_5_7_3
272,332,2_3_7_5
332,332,2_7_3_5
360,332,2_9_1_1
337,332,2_7_5_3
1177,336,2_4_8_2
1132,336,2_2_4_8
1142,336,2_2_8_4
1232,336,2_8_2_4
1237,336,2_8_4_2
1162,336,2_4_2_8
1173,352,2_4_6_6
1208,352,2_6_6_4
1203,352,2_6_4_6
1350,360,3_2_6_0
1315,360,3_0_6_2
1410,360,3_6_2_0
1405,360,3_6_0_2
1305,360,3_0_2_6
1335,360,3_2_0_6
215,363,1_11_11_11
241,364,2_1_9_3
361,364,2_9_1_3
256,364,2_3_1_9
366,364,2_9_3_1
226,364,2_1_3_9
276,364,2_3_9_1
1561,384,4_2_4_2
1178,384,2_4_8_4
1591,384,4_4_2_2
1238,384,2_8_4_4
1168,384,2_4_4_8
1556,384,4_2_2_4
481,387,3_3_5_3
511,387,3_5_3_3
476,387,3_3_3_5
262,396,2_3_3_9
1411,396,3_6_2_2
237,396,2_1_7_7
1341,396,3_2_2_6
308,396,2_5_7_5
367,396,2_9_3_3
338,396,2_7_5_5
303,396,2_5_5_7
327,396,2_7_1_7
277,396,2_3_9_3
342,396,2_7_7_1
1351,396,3_2_6_2
1102,400,2_0_6_8
1085,400,2_0_0_10
1212,400,2_6_8_0
1260,400,2_10_0_0
1110,400,2_0_10_0
1107,400,2_0_8_6
1242,400,2_8_6_0
1227,400,2_8_0_6
1192,400,2_6_0_8
1261,416,2_10_0_2
1243,416,2_8_6_2
1233,416,2_8_2_6
1213,416,2_6_8_2
1121,416,2_2_0_10
1198,416,2_6_2_8
1146,416,2_2_10_0
1143,416,2_2_8_6
1138,416,2_2_6_8
1111,416,2_0_10_2
1266,416,2_10_2_0
1091,416,2_0_2_10
242,428,2_1_9_5
232,428,2_1_5_9
273,428,2_3_7_7
292,428,2_5_1_9
333,428,2_7_3_7
343,428,2_7_7_3
362,428,2_9_1_5
372,428,2_9_5_1
312,428,2_5_9_1
1209,432,2_6_6_6
1147,432,2_2_10_2
720,432,4_5_1_1
1267,432,2_10_2_2
1127,432,2_2_2_10
660,432,4_1_5_1
650,432,4_1_1_5
691,432,4_3_3_3
1382,432,3_4_4_4
540,459,3_7_1_1
516,459,3_5_5_1
506,459,3_5_1_5
450,459,3_1_7_1
446,459,3_1_5_5
435,459,3_1_1_7
268,460,2_3_5_9
278,460,2_3_9_5
298,460,2_5_3_9
368,460,2_9_3_5
373,460,2_9_5_3
313,460,2_5_9_3
1204,464,2_6_4_8
1112,464,2_0_10_4
1262,464,2_10_0_4
1244,464,2_8_6_4
1097,464,2_0_4_10
1174,464,2_4_6_8
1239,464,2_8_4_6
1157,464,2_4_0_10
1182,464,2_4_10_0
1272,464,2_10_4_0
1214,464,2_6_8_4
1179,464,2_4_8_6
1311,468,3_0_4_6
1386,468,3_4_6_0
1406,468,3_6_0_4
1316,468,3_0_6_4
1416,468,3_6_4_0
1371,468,3_4_0_6
1148,480,2_2_10_4
1268,480,2_10_2_4
1273,480,2_10_4_2
1183,480,2_4_10_2
1163,480,2_4_2_10
1133,480,2_2_4_10
246,492,2_1_11_1
339,492,2_7_5_7
396,492,2_11_1_1
221,492,2_1_1_11
309,492,2_5_7_7
344,492,2_7_7_5
1417,504,3_6_4_2
1387,504,3_4_6_2
1412,504,3_6_2_4
1377,504,3_4_2_6
1352,504,3_2_6_4
1347,504,3_2_4_6
1108,512,2_0_8_8
1228,512,2_8_0_8
1526,512,4_0_4_4
1248,512,2_8_8_0
1586,512,4_4_0_4
1596,512,4_4_4_0
247,524,2_1_11_3
328,524,2_7_1_9
257,524,2_3_1_11
402,524,2_11_3_1
243,524,2_1_9_7
282,524,2_3_11_1
238,524,2_1_7_9
227,524,2_1_3_11
374,524,2_9_5_5
397,524,2_11_1_3
363,524,2_9_1_7
378,524,2_9_7_1
348,524,2_7_9_1
314,524,2_5_9_5
304,524,2_5_5_9
1169,528,2_4_4_10
1234,528,2_8_2_8
1184,528,2_4_10_4
1144,528,2_2_8_8
1249,528,2_8_8_2
1274,528,2_10_4_4
441,531,3_1_3_7
546,531,3_7_3_1
471,531,3_3_1_7
482,531,3_3_5_5
486,531,3_3_7_1
512,531,3_5_3_5
517,531,3_5_5_3
451,531,3_1_7_3
541,531,3_7_1_3
1113,544,2_0_10_6
1103,544,2_0_6_10
1278,544,2_10_6_0
1263,544,2_10_0_6
1210,544,2_6_6_8
1215,544,2_6_8_6
1218,544,2_6_10_0
1245,544,2_8_6_6
1193,544,2_6_0_10
283,556,2_3_11_3
263,556,2_3_3_11
379,556,2_9_7_3
334,556,2_7_3_9
403,556,2_11_3_3
349,556,2_7_9_3
279,556,2_3_9_7
274,556,2_3_7_9
369,556,2_9_3_7
686,560,4_3_1_5
721,560,4_5_1_3
696,560,4_3_5_1
1219,560,2_6_10_2
1279,560,2_10_6_2
1149,560,2_2_10_6
726,560,4_5_3_1
1139,560,2_2_6_10
661,560,4_1_5_3
656,560,4_1_3_5
1269,560,2_10_2_6
1199,560,2_6_2_10
1320,576,3_0_8_0
1530,576,4_0_6_0
1250,576,2_8_8_4
1562,576,4_2_4_4
1592,576,4_4_2_4
1440,576,3_8_0_0
1515,576,4_0_0_6
1597,576,4_4_4_2
1620,576,4_6_0_0
1240,576,2_8_4_8
1180,576,2_4_8_8
1300,576,3_0_0_8
293,588,2_5_1_11
248,588,2_1_11_5
318,588,2_5_11_1
398,588,2_11_1_5
345,588,2_7_7_7
233,588,2_1_5_11
408,588,2_11_5_1
487,603,3_3_7_3
547,603,3_7_3_3
477,603,3_3_3_7
1175,608,2_4_6_10
1185,608,2_4_10_6
1275,608,2_10_4_6
1280,608,2_10_6_4
1220,608,2_6_10_4
1205,608,2_6_4_10
1321,612,3_0_8_2
1441,612,3_8_0_2
1383,612,3_4_4_6
1306,612,3_0_2_8
1446,612,3_8_2_0
1418,612,3_6_4_4
1388,612,3_4_6_4
1336,612,3_2_0_8
1356,612,3_2_8_0
375,620,2_9_5_7
340,620,2_7_5_9
380,620,2_9_7_5
269,620,2_3_5_11
409,620,2_11_5_3
284,620,2_3_11_5
319,620,2_5_11_3
310,620,2_5_7_9
350,620,2_7_9_5
315,620,2_5_9_7
404,620,2_11_3_5
299,620,2_5_3_11
1621,640,4_6_0_2
1551,640,4_2_0_6
1521,640,4_0_2_6
1531,640,4_0_6_2
1626,640,4_6_2_0
1566,640,4_2_6_0
1342,648,3_2_2_8
1447,648,3_8_2_2
1407,648,3_6_0_6
1422,648,3_6_6_0
1317,648,3_0_6_6
1357,648,3_2_8_2
244,652,2_1_9_9
384,652,2_9_9_1
364,652,2_9_1_9
1251,656,2_8_8_6
1109,656,2_0_8_10
1114,656,2_0_10_8
1284,656,2_10_8_0
1229,656,2_8_0_10
1216,656,2_6_8_8
1254,656,2_8_10_0
1264,656,2_10_0_8
1246,656,2_8_6_8
1255,672,2_8_10_2
1235,672,2_8_2_10
1270,672,2_10_2_8
1145,672,2_2_8_10
1285,672,2_10_8_2
1150,672,2_2_10_8
507,675,3_5_1_7
452,675,3_1_7_5
518,675,3_5_5_5
447,675,3_1_5_7
542,675,3_7_1_5
552,675,3_7_5_1
522,675,3_5_7_1
329,684,2_7_1_11
399,684,2_11_1_7
414,684,2_11_7_1
249,684,2_1_11_7
320,684,2_5_11_5
354,684,2_7_11_1
410,684,2_11_5_5
1353,684,3_2_6_6
370,684,2_9_3_9
305,684,2_5_5_11
239,684,2_1_7_11
1413,684,3_6_2_6
1423,684,3_6_6_2
280,684,2_3_9_9
385,684,2_9_9_3
692,688,4_3_3_5
727,688,4_5_3_3
697,688,4_3_5_3
1211,688,2_6_6_10
1221,688,2_6_10_6
1281,688,2_10_6_6
1557,704,4_2_2_6
1567,704,4_2_6_2
1627,704,4_6_2_2
415,716,2_11_7_3
335,716,2_7_3_11
355,716,2_7_11_3
405,716,2_11_3_7
346,716,2_7_7_9
285,716,2_3_11_7
275,716,2_3_7_11
381,716,2_9_7_7
351,716,2_7_9_7
1276,720,2_10_4_8
1312,720,3_0_4_8
1442,720,3_8_0_4
1392,720,3_4_8_0
1286,720,2_10_8_4
1372,720,3_4_0_8
1181,720,2_4_8_10
1322,720,3_0_8_4
1256,720,2_8_10_4
1452,720,3_8_4_0
1186,720,2_4_10_8
1241,720,2_8_4_10
436,747,3_1_1_9
553,747,3_7_5_3
513,747,3_5_3_7
523,747,3_5_7_3
456,747,3_1_9_1
488,747,3_3_7_5
548,747,3_7_3_5
483,747,3_3_5_7
576,747,3_9_1_1
376,748,2_9_5_9
386,748,2_9_9_5
316,748,2_5_9_9
1448,756,3_8_2_4
1378,756,3_4_2_8
1358,756,3_2_8_4
1393,756,3_4_8_2
1453,756,3_8_4_2
1348,756,3_2_4_8
1598,768,4_4_4_4
1252,768,2_8_8_8
356,780,2_7_11_5
416,780,2_11_7_5
321,780,2_5_11_7
341,780,2_7_5_11
411,780,2_11_5_7
311,780,2_5_7_11
1419,792,3_6_4_6
1389,792,3_4_6_6
1424,792,3_6_6_4
1115,800,2_0_10_10
1282,800,2_10_6_8
1287,800,2_10_8_6
1265,800,2_10_0_10
1290,800,2_10_10_0
1257,800,2_8_10_6
1217,800,2_6_8_10
1222,800,2_6_10_8
1247,800,2_8_6_10
400,812,2_11_1_9
245,812,2_1_9_11
365,812,2_9_1_11
390,812,2_9_11_1
250,812,2_1_11_9
420,812,2_11_9_1
722,816,4_5_1_5
662,816,4_1_5_5
651,816,4_1_1_7
1151,816,2_2_10_10
1271,816,2_10_2_10
732,816,4_5_5_1
756,816,4_7_1_1
666,816,4_1_7_1
1291,816,2_10_10_2
442,819,3_1_3_9
457,819,3_1_9_3
472,819,3_3_1_9
492,819,3_3_9_1
582,819,3_9_3_1
577,819,3_9_1_3
1602,832,4_4_6_0
1587,832,4_4_0_6
1622,832,4_6_0_4
1532,832,4_0_6_4
1527,832,4_0_4_6
1632,832,4_6_4_0
371,844,2_9_3_11
382,844,2_9_7_9
387,844,2_9_9_7
406,844,2_11_3_9
391,844,2_9_11_3
352,844,2_7_9_9
286,844,2_3_11_9
421,844,2_11_9_3
281,844,2_3_9_11
1277,864,2_10_4_10
1394,864,3_4_8_4
1384,864,3_4_4_8
1292,864,2_10_10_4
1187,864,2_4_10_10
1454,864,3_8_4_4
347,876,2_7_7_11
357,876,2_7_11_7
417,876,2_11_7_7
558,891,3_7_7_1
543,891,3_7_1_7
583,891,3_9_3_3
554,891,3_7_5_5
524,891,3_5_7_5
519,891,3_5_5_7
453,891,3_1_7_7
493,891,3_3_9_3
478,891,3_3_3_9
1633,896,4_6_4_2
1628,896,4_6_2_4
1568,896,4_2_6_4
1593,896,4_4_2_6
1603,896,4_4_6_2
1563,896,4_2_4_6
1476,900,3_10_0_0
1458,900,3_8_6_0
1443,900,3_8_0_6
1428,900,3_6_8_0
1408,900,3_6_0_8
1326,900,3_0_10_0
1323,900,3_0_8_6
1318,900,3_0_6_8
1301,900,3_0_0_10
322,908,2_5_11_9
392,908,2_9_11_5
412,908,2_11_5_9
377,908,2_9_5_11
422,908,2_11_9_5
317,908,2_5_9_11
1288,912,2_10_8_8
1253,912,2_8_8_10
1258,912,2_8_10_8
1482,936,3_10_2_0
1414,936,3_6_2_8
1362,936,3_2_10_0
1337,936,3_2_0_10
1327,936,3_0_10_2
1429,936,3_6_8_2
1449,936,3_8_2_6
1459,936,3_8_6_2
1477,936,3_10_0_2
1359,936,3_2_8_6
1307,936,3_0_2_10
1354,936,3_2_6_8
728,944,4_5_3_5
733,944,4_5_5_3
702,944,4_3_7_1
757,944,4_7_1_3
687,944,4_3_1_7
762,944,4_7_3_1
1283,944,2_10_6_10
698,944,4_3_5_5
1223,944,2_6_10_10
667,944,4_1_7_3
1293,944,2_10_10_6
657,944,4_1_3_7
528,963,3_5_9_1
508,963,3_5_1_9
549,963,3_7_3_7
559,963,3_7_7_3
489,963,3_3_7_7
578,963,3_9_1_5
588,963,3_9_5_1
458,963,3_1_9_5
448,963,3_1_5_9
1343,972,3_2_2_10
1425,972,3_6_6_6
1363,972,3_2_10_2
1483,972,3_10_2_2
388,972,2_9_9_9
401,972,2_11_1_11
426,972,2_11_11_1
251,972,2_1_11_11
383,1004,2_9_7_11
393,1004,2_9_11_7
407,1004,2_11_3_11
423,1004,2_11_9_7
427,1004,2_11_11_3
287,1004,2_3_11_11
353,1004,2_7_9_11
418,1004,2_11_7_9
358,1004,2_7_11_9
