
Automatic Data Collection:
Tue Feb 26 11:59:09 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.07849	 0.44113
0.05000	 0.06325	 0.42825
0.10000	 0.02550	 0.43342
0.15000	 0.02186	 0.43798
0.20000	 0.02469	 0.43830
0.25000	 0.05918	 0.46407
0.30000	 0.04957	 0.41737
0.35000	 0.05027	 0.42473
0.40000	 0.06090	 0.44566
0.45000	 0.02746	 0.45498
0.50000	 0.05869	 0.43550
0.55000	 0.03539	 0.44159
0.60000	 0.06577	 0.45867
0.65000	 0.00353	 0.42444
0.70000	 0.03260	 0.44618
0.75000	 0.02023	 0.40713
0.80000	 0.05600	 0.43330
0.85000	 0.05151	 0.45235
0.90000	 0.00750	 0.43437
0.95000	 0.05200	 0.44297
1.00000	 0.05444	 0.44546
1.05000	 0.01565	 0.44811
1.10000	 0.02189	 0.44217
1.15000	 0.00683	 0.43201
1.20000	 0.00846	 0.45691
1.25000	 0.02820	 0.43694
1.30000	 0.04958	 0.44124
1.35000	 0.01285	 0.42147
1.40000	 0.02969	 0.45596
1.45000	 0.04589	 0.44026
1.50000	 0.06850	 0.46745
1.55000	 0.06894	 0.48211
1.60000	 0.00139	 0.42759
1.65000	 0.02099	 0.43434
1.70000	 0.01739	 0.40620
1.75000	 0.04307	 0.44217
1.80000	 0.04583	 0.43201
1.85000	 0.03398	 0.46058
1.90000	 0.02899	 0.46064
1.95000	 0.02710	 0.43007
2.00000	 0.04150	 0.44730
2.05000	 0.03256	 0.42990
2.10000	 0.02166	 0.43123
2.15000	 0.01665	 0.44147
2.20000	 0.01165	 0.42719
2.25000	 0.05326	 0.42479
2.30000	 0.05081	 0.46745
2.35000	 0.06081	 0.41301
2.40000	 0.05852	 0.41752
2.45000	 0.05214	 0.42496
2.50000	 0.05999	 0.46705
2.55000	 0.03785	 0.45345
2.60000	 0.03231	 0.45813
2.65000	 0.01173	 0.45527
2.70000	 0.04803	 0.46788
2.75000	 0.03015	 0.43252
2.80000	 0.02652	 0.44419
2.85000	 0.03482	 0.41593
2.90000	 0.06016	 0.42069
2.95000	 0.04450	 0.43417
3.00000	 0.00942	 0.41610
3.05000	 0.05464	 0.43714
3.10000	 0.04417	 0.41864
3.15000	 0.02206	 0.42011
3.20000	 0.02437	 0.40236
3.25000	 0.04416	 0.44012
3.30000	 0.05010	 0.44961
3.35000	 0.03304	 0.45140
3.40000	 0.01424	 0.43420
3.45000	 0.01722	 0.43333
3.50000	 0.00744	 0.46641
3.55000	 0.03834	 0.45489
3.60000	 0.03847	 0.42427
3.65000	 0.01789	 0.43042
3.70000	 0.02055	 0.42736
3.75000	 0.03926	 0.44369
3.80000	 0.03220	 0.43498
3.85000	 0.06356	 0.43016
3.90000	 0.05937	 0.47184
3.95000	 0.03370	 0.41180
4.00000	 0.06267	 0.47553
4.05000	 0.01598	 0.42528
4.10000	 0.00575	 0.43019
4.15000	 -0.01421	 0.43616
4.20000	 0.04202	 0.40707
4.25000	 0.03611	 0.40155
4.30000	 0.03132	 0.40236
4.35000	 0.03496	 0.44831
4.40000	 0.03187	 0.40767
4.45000	 0.04744	 0.43530
4.50000	 0.02842	 0.40254
4.55000	 0.02984	 0.45004
4.60000	 0.01618	 0.46375
4.65000	 0.02763	 0.45478
4.70000	 0.03910	 0.44453
4.75000	 0.04876	 0.44572
4.80000	 0.01632	 0.39119
4.85000	 0.00757	 0.41633
4.90000	 0.03543	 0.43270
4.95000	 0.02479	 0.44756
5.00000	 0.02465	 0.42701
5.05000	 0.06974	 0.43371
5.10000	 0.03431	 0.43105
5.15000	 -0.00587	 0.43867
5.20000	 0.02584	 0.43506
5.25000	 0.03967	 0.43431
5.30000	 0.02887	 0.41515
5.35000	 0.00409	 0.40054
5.40000	 0.02452	 0.43847
5.45000	 0.02545	 0.40565
5.50000	 0.03437	 0.42958
5.55000	 0.04881	 0.46670
5.60000	 0.03111	 0.48304
5.65000	 0.03757	 0.47804
5.70000	 0.01657	 0.47340
5.75000	 0.02178	 0.49195
5.80000	 0.01888	 0.41622
5.85000	 0.06960	 0.45463
5.90000	 0.04676	 0.45853
5.95000	 0.05303	 0.44655
6.00000	 0.01041	 0.43723
6.05000	 0.04737	 0.42753
6.10000	 0.02854	 0.43798
6.15000	 0.05050	 0.44768
6.20000	 0.04419	 0.44271
6.25000	 0.04803	 0.46199
6.30000	 0.02114	 0.43896
6.35000	 0.00357	 0.47233
6.40000	 0.01665	 0.45833
6.45000	 0.01781	 0.42678
6.50000	 0.00478	 0.42338
6.55000	 0.01962	 0.43227
6.60000	 0.02944	 0.41065
6.65000	 0.03847	 0.41042
6.70000	 0.04982	 0.42906
6.75000	 0.04064	 0.44283
6.80000	 0.00878	 0.42944
6.85000	 0.03952	 0.41717
6.90000	 0.03277	 0.44808
6.95000	 0.00804	 0.43325
7.00000	 0.02170	 0.42831
7.05000	 0.01859	 0.41492
7.10000	 0.00075	 0.44502
7.15000	 0.00624	 0.44543
7.20000	 0.02933	 0.47345
7.25000	 0.01511	 0.42606
7.30000	 0.03698	 0.43553
7.35000	 0.01917	 0.43971
7.40000	 0.02822	 0.45134
7.45000	 0.05086	 0.42369
7.50000	 0.07436	 0.45440
7.55000	 0.07247	 0.45111
7.60000	 0.01531	 0.38920
7.65000	 0.03450	 0.43160
7.70000	 0.05838	 0.41460
7.75000	 0.07562	 0.43841
7.80000	 0.04191	 0.45103
7.85000	 0.01869	 0.41475
7.90000	 0.02887	 0.44107
7.95000	 0.02043	 0.42759
8.00000	 0.01953	 0.45437
8.05000	 0.02665	 0.41994
8.10000	 0.01936	 0.45383
8.15000	 0.02071	 0.42947
8.20000	 0.02370	 0.45518
8.25000	 0.05479	 0.41033
8.30000	 0.01948	 0.43431
8.35000	 0.05430	 0.46373
8.40000	 0.05433	 0.45775
8.45000	 0.03138	 0.43278
8.50000	 0.01477	 0.44785
8.55000	 0.03933	 0.43760
8.60000	 0.03135	 0.44107
8.65000	 -0.00727	 0.42404
8.70000	 0.04458	 0.42987
8.75000	 0.02651	 0.44996
8.80000	 0.01364	 0.42638
8.85000	 0.06473	 0.43365
8.90000	 0.02234	 0.43281
8.95000	 0.03423	 0.47752
9.00000	 0.03096	 0.45143
9.05000	 0.01193	 0.45553
9.10000	 0.02632	 0.43795
9.15000	 0.02809	 0.43472
9.20000	 0.02643	 0.46347
9.25000	 0.02759	 0.43994
9.30000	 0.02595	 0.46283
9.35000	 0.04718	 0.40967
9.40000	 0.07464	 0.47949
9.45000	 0.03867	 0.45146
9.50000	 0.02694	 0.42245
9.55000	 0.03267	 0.44032
9.60000	 0.00725	 0.43449
9.65000	 0.00306	 0.40704
9.70000	 0.00159	 0.41928
9.75000	 0.02096	 0.42236
9.80000	 -0.00415	 0.41362
9.85000	 0.04143	 0.42664
9.90000	 0.04481	 0.46419
9.95000	 0.04067	 0.40303
