
Automatic Data Collection:
Tue Feb 26 11:30:30 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00357	 0.04056
0.05000	 -0.00420	 0.04905
0.10000	 -0.00508	 0.04325
0.15000	 0.00012	 0.04708
0.20000	 -0.00213	 0.04180
0.25000	 -0.00508	 0.04792
0.30000	 -0.00606	 0.04229
0.35000	 -0.00052	 0.04512
0.40000	 -0.00533	 0.04457
0.45000	 -0.00637	 0.04434
0.50000	 -0.00043	 0.04581
0.55000	 0.00084	 0.04521
0.60000	 -0.00308	 0.04252
0.65000	 -0.00562	 0.04599
0.70000	 -0.00195	 0.04515
0.75000	 0.00077	 0.04440
0.80000	 -0.00340	 0.04426
0.85000	 -0.00530	 0.04677
0.90000	 -0.00554	 0.04628
0.95000	 0.00221	 0.04304
1.00000	 -0.00099	 0.04659
1.05000	 -0.00590	 0.04977
1.10000	 -0.00570	 0.04521
1.15000	 0.00015	 0.04374
1.20000	 -0.00148	 0.04440
1.25000	 -0.00359	 0.04085
1.30000	 -0.00452	 0.04766
1.35000	 -0.00013	 0.04091
1.40000	 -0.00041	 0.04781
1.45000	 -0.00384	 0.04140
1.50000	 -0.00530	 0.04743
1.55000	 -0.00019	 0.04174
1.60000	 -0.00105	 0.04564
1.65000	 -0.00460	 0.04206
1.70000	 -0.00365	 0.04861
1.75000	 0.00049	 0.04460
1.80000	 -0.00130	 0.04059
1.85000	 -0.00661	 0.04775
1.90000	 -0.00325	 0.04016
1.95000	 0.00012	 0.04763
2.00000	 -0.00064	 0.04200
2.05000	 -0.00517	 0.04570
2.10000	 -0.00354	 0.04325
2.15000	 -0.00130	 0.04382
2.20000	 0.00126	 0.04229
2.25000	 -0.00508	 0.04688
2.30000	 -0.00531	 0.04316
2.35000	 -0.00182	 0.04498
2.40000	 0.00086	 0.04247
2.45000	 -0.00288	 0.04550
2.50000	 -0.00477	 0.04584
2.55000	 -0.00136	 0.04310
2.60000	 -0.00032	 0.04408
2.65000	 -0.00277	 0.04128
2.70000	 -0.00634	 0.04452
2.75000	 -0.00015	 0.04004
2.80000	 -0.00122	 0.04466
2.85000	 -0.00455	 0.04122
2.90000	 -0.00207	 0.04561
2.95000	 -0.00133	 0.04524
3.00000	 -0.00041	 0.04125
3.05000	 -0.00413	 0.04590
3.10000	 -0.00286	 0.04400
3.15000	 -0.00100	 0.04449
3.20000	 0.00044	 0.03946
3.25000	 -0.00240	 0.04221
3.30000	 -0.00368	 0.04414
3.35000	 0.00001	 0.04177
3.40000	 -0.00078	 0.04411
3.45000	 -0.00385	 0.04247
3.50000	 -0.00745	 0.04726
3.55000	 -0.00243	 0.03926
3.60000	 -0.00218	 0.04786
3.65000	 -0.00257	 0.04143
3.70000	 -0.00356	 0.04668
3.75000	 -0.00185	 0.03938
3.80000	 -0.00004	 0.04835
3.85000	 -0.00224	 0.03915
3.90000	 -0.00666	 0.04971
3.95000	 -0.00072	 0.03987
4.00000	 -0.00136	 0.04766
4.05000	 -0.00540	 0.03638
4.10000	 -0.00353	 0.04665
4.15000	 -0.00131	 0.04616
4.20000	 -0.00085	 0.04068
4.25000	 -0.00469	 0.04804
4.30000	 -0.00570	 0.04555
4.35000	 -0.00213	 0.04480
4.40000	 0.00078	 0.04402
4.45000	 -0.00544	 0.04726
4.50000	 -0.00302	 0.04388
4.55000	 -0.00229	 0.04397
4.60000	 0.00089	 0.04316
4.65000	 -0.00334	 0.04376
4.70000	 -0.00472	 0.04561
4.75000	 -0.00393	 0.04428
4.80000	 -0.00019	 0.04452
4.85000	 -0.00263	 0.04224
4.90000	 -0.00399	 0.04570
4.95000	 -0.00534	 0.04544
5.00000	 0.00002	 0.04555
5.05000	 -0.00418	 0.04408
5.10000	 -0.00599	 0.04607
5.15000	 -0.00193	 0.04509
5.20000	 -0.00100	 0.04368
5.25000	 -0.00477	 0.04437
5.30000	 -0.00474	 0.04527
5.35000	 -0.00064	 0.04218
5.40000	 -0.00013	 0.04538
5.45000	 -0.00486	 0.04492
5.50000	 -0.00609	 0.04558
5.55000	 -0.00285	 0.03883
5.60000	 -0.00002	 0.04818
5.65000	 -0.00246	 0.03868
5.70000	 -0.00592	 0.05011
5.75000	 -0.00195	 0.04071
5.80000	 0.00086	 0.04599
5.85000	 -0.00255	 0.04047
5.90000	 -0.00669	 0.04734
5.95000	 -0.00297	 0.04313
6.00000	 -0.00074	 0.04596
6.05000	 -0.00013	 0.04128
6.10000	 -0.00768	 0.04994
6.15000	 -0.00328	 0.04189
6.20000	 -0.00188	 0.04662
6.25000	 -0.00002	 0.04258
6.30000	 -0.00657	 0.04570
6.35000	 -0.00278	 0.04402
6.40000	 0.00053	 0.04417
6.45000	 -0.00623	 0.04579
6.50000	 -0.00367	 0.04400
6.55000	 -0.00241	 0.04278
6.60000	 0.00165	 0.04333
6.65000	 -0.00350	 0.04322
6.70000	 -0.00632	 0.04489
6.75000	 -0.00474	 0.04293
6.80000	 -0.00016	 0.04385
6.85000	 -0.00334	 0.03912
6.90000	 -0.00511	 0.04746
6.95000	 -0.00378	 0.04068
7.00000	 -0.00002	 0.04515
7.05000	 -0.00226	 0.03935
7.10000	 -0.00457	 0.04936
7.15000	 -0.00477	 0.04402
7.20000	 -0.00119	 0.04160
7.25000	 -0.00018	 0.04169
7.30000	 -0.00195	 0.04561
7.35000	 -0.00565	 0.04428
7.40000	 -0.00185	 0.04469
7.45000	 -0.00033	 0.04255
7.50000	 -0.00367	 0.04529
7.55000	 -0.00213	 0.04472
7.60000	 -0.00081	 0.04521
7.65000	 -0.00269	 0.04359
7.70000	 -0.00477	 0.04071
7.75000	 -0.00263	 0.04261
7.80000	 0.00123	 0.04452
7.85000	 -0.00319	 0.04177
7.90000	 -0.00575	 0.04593
7.95000	 -0.00660	 0.04371
8.00000	 -0.00147	 0.04226
8.05000	 -0.00280	 0.04261
8.10000	 -0.00666	 0.04682
8.15000	 -0.00716	 0.04368
8.20000	 0.00035	 0.04146
8.25000	 -0.00331	 0.04388
8.30000	 -0.00539	 0.04408
8.35000	 -0.00789	 0.04313
8.40000	 -0.00250	 0.04226
8.45000	 -0.00066	 0.04555
8.50000	 -0.00427	 0.03970
8.55000	 -0.00624	 0.04786
8.60000	 -0.00207	 0.04146
8.65000	 -0.00078	 0.04605
8.70000	 -0.00469	 0.04085
8.75000	 -0.00609	 0.04801
8.80000	 0.00001	 0.04255
8.85000	 -0.00424	 0.04472
8.90000	 -0.00441	 0.04174
8.95000	 -0.00602	 0.04281
9.00000	 -0.00066	 0.04408
9.05000	 -0.00244	 0.04330
9.10000	 -0.00545	 0.04579
9.15000	 -0.00655	 0.04310
9.20000	 -0.00075	 0.04443
9.25000	 -0.00012	 0.04443
9.30000	 -0.00376	 0.04319
9.35000	 -0.00475	 0.04555
9.40000	 -0.00151	 0.04356
9.45000	 -0.00027	 0.04567
9.50000	 -0.00562	 0.04146
9.55000	 -0.00474	 0.04371
9.60000	 -0.00444	 0.04270
9.65000	 0.00108	 0.04224
9.70000	 -0.00224	 0.04209
9.75000	 -0.00455	 0.04613
9.80000	 -0.00485	 0.04249
9.85000	 -0.00061	 0.04506
9.90000	 -0.00407	 0.04016
9.95000	 -0.00558	 0.04648
