Section,Average,1,2,3,4,5
A02,5,5,,,,
A02,7,7,,,,
A04,9.5,9.5,,,,
A02,8,8,,,,
A04,5.5,5.5,,,,
A03,6.5,6.5,,,,
A03,7.5,7.5,,,,
A02,7,7,,,,
A03,7.5,7.5,,,,
A03,8,8,,,,
A01,6.5,6.5,,,,
A02,7,7,,,,
A03,6.5,6.5,,,,
