Time,Voltage
0.000000,0.401333
2.000000,-3.598667
4.000000,1.401333
6.000000,1.401333
8.000000,-0.598667
10.000000,-0.598667
12.000000,-1.598667
14.000000,1.401333
16.000000,1.401333
18.000000,-1.598667
20.000000,0.401333
22.000000,1.401333
24.000000,-0.598667
26.000000,0.401333
28.000000,-1.598667
30.000000,2.401333
32.000000,1.401333
34.000000,-1.598667
36.000000,-4.598667
38.000000,1.401333
40.000000,-0.598667
42.000000,-0.598667
44.000000,-3.598667
46.000000,0.401333
48.000000,1.401333
50.000000,0.401333
52.000000,-4.598667
54.000000,-1.598667
56.000000,1.401333
58.000000,-1.598667
60.000000,-0.598667
62.000000,-1.598667
64.000000,0.401333
66.000000,-2.598667
68.000000,-1.598667
70.000000,-2.598667
72.000000,0.401333
74.000000,-4.598667
76.000000,0.401333
78.000000,-2.598667
80.000000,1.401333
82.000000,-1.598667
84.000000,-1.598667
86.000000,2.401333
88.000000,1.401333
90.000000,0.401333
92.000000,-1.598667
94.000000,2.401333
96.000000,-1.598667
98.000000,5.401333
100.000000,2.401333
102.000000,2.401333
104.000000,-2.598667
106.000000,-0.598667
108.000000,2.401333
110.000000,1.401333
112.000000,-0.598667
114.000000,-0.598667
116.000000,0.401333
118.000000,0.401333
120.000000,-1.598667
122.000000,1.401333
124.000000,-2.598667
126.000000,1.401333
128.000000,-0.598667
130.000000,2.401333
132.000000,-0.598667
134.000000,-1.598667
136.000000,0.401333
138.000000,1.401333
140.000000,0.401333
142.000000,0.401333
144.000000,1.401333
146.000000,-3.598667
148.000000,-0.598667
150.000000,1.401333
152.000000,0.401333
154.000000,-1.598667
156.000000,0.401333
158.000000,-1.598667
160.000000,-0.598667
162.000000,-5.598667
164.000000,-0.598667
166.000000,1.401333
168.000000,0.401333
170.000000,0.401333
172.000000,-2.598667
174.000000,2.401333
176.000000,-1.598667
178.000000,1.401333
180.000000,0.401333
182.000000,1.401333
184.000000,-3.598667
186.000000,1.401333
188.000000,0.401333
190.000000,0.401333
192.000000,-1.598667
194.000000,1.401333
196.000000,-0.598667
198.000000,1.401333
200.000000,1.401333
202.000000,0.401333
204.000000,-1.598667
206.000000,-0.598667
208.000000,0.401333
210.000000,0.401333
212.000000,-0.598667
214.000000,1.401333
216.000000,-2.598667
218.000000,-2.598667
220.000000,1.401333
222.000000,0.401333
224.000000,-0.598667
226.000000,0.401333
228.000000,-0.598667
230.000000,-0.598667
232.000000,0.401333
234.000000,-0.598667
236.000000,-0.598667
238.000000,0.401333
240.000000,-2.598667
242.000000,-1.598667
244.000000,0.401333
246.000000,1.401333
248.000000,-0.598667
250.000000,-0.598667
252.000000,3.401333
254.000000,2.401333
256.000000,0.401333
258.000000,-0.598667
260.000000,0.401333
262.000000,5.401333
264.000000,0.401333
266.000000,0.401333
268.000000,0.401333
270.000000,1.401333
272.000000,-0.598667
274.000000,0.401333
276.000000,1.401333
278.000000,1.401333
280.000000,-3.598667
282.000000,1.401333
284.000000,-0.598667
286.000000,-2.598667
288.000000,-1.598667
290.000000,-4.598667
292.000000,-0.598667
294.000000,1.401333
296.000000,-3.598667
298.000000,1.401333
300.000000,0.401333
302.000000,-0.598667
304.000000,0.401333
306.000000,1.401333
308.000000,1.401333
310.000000,1.401333
312.000000,-0.598667
314.000000,-1.598667
316.000000,1.401333
318.000000,-0.598667
320.000000,-0.598667
322.000000,-0.598667
324.000000,0.401333
326.000000,-3.598667
328.000000,0.401333
330.000000,-0.598667
332.000000,1.401333
334.000000,-1.598667
336.000000,0.401333
338.000000,1.401333
340.000000,0.401333
342.000000,-1.598667
344.000000,-1.598667
346.000000,1.401333
348.000000,-1.598667
350.000000,-0.598667
352.000000,-2.598667
354.000000,1.401333
356.000000,-0.598667
358.000000,2.401333
360.000000,0.401333
362.000000,1.401333
364.000000,0.401333
366.000000,-5.598667
368.000000,-3.598667
370.000000,-2.598667
372.000000,-1.598667
374.000000,-0.598667
376.000000,-0.598667
378.000000,1.401333
380.000000,0.401333
382.000000,1.401333
384.000000,2.401333
386.000000,2.401333
388.000000,-3.598667
390.000000,1.401333
392.000000,0.401333
394.000000,-5.598667
396.000000,-0.598667
398.000000,-0.598667
400.000000,-2.598667
402.000000,-0.598667
404.000000,-0.598667
406.000000,1.401333
408.000000,3.401333
410.000000,0.401333
412.000000,-0.598667
414.000000,1.401333
416.000000,-0.598667
418.000000,0.401333
420.000000,-6.598667
422.000000,2.401333
424.000000,-8.598667
426.000000,-1.598667
428.000000,3.401333
430.000000,1.401333
432.000000,0.401333
434.000000,2.401333
436.000000,0.401333
438.000000,1.401333
440.000000,1.401333
442.000000,1.401333
444.000000,-0.598667
446.000000,-0.598667
448.000000,3.401333
450.000000,2.401333
452.000000,0.401333
454.000000,2.401333
456.000000,-2.598667
458.000000,1.401333
460.000000,-0.598667
462.000000,-6.598667
464.000000,-3.598667
466.000000,-5.598667
468.000000,-0.598667
470.000000,-5.598667
472.000000,-1.598667
474.000000,1.401333
476.000000,1.401333
478.000000,1.401333
480.000000,5.401333
482.000000,0.401333
484.000000,1.401333
486.000000,-0.598667
488.000000,1.401333
490.000000,-0.598667
492.000000,-0.598667
494.000000,0.401333
496.000000,1.401333
498.000000,1.401333
500.000000,1.401333
502.000000,-1.598667
504.000000,-0.598667
506.000000,0.401333
508.000000,-1.598667
510.000000,1.401333
512.000000,-4.598667
514.000000,-5.598667
516.000000,0.401333
518.000000,1.401333
520.000000,-0.598667
522.000000,-0.598667
524.000000,4.401333
526.000000,-0.598667
528.000000,0.401333
530.000000,1.401333
532.000000,-0.598667
534.000000,-1.598667
536.000000,-2.598667
538.000000,1.401333
540.000000,-2.598667
542.000000,-9.598667
544.000000,0.401333
546.000000,-5.598667
548.000000,1.401333
550.000000,1.401333
552.000000,0.401333
554.000000,1.401333
556.000000,0.401333
558.000000,4.401333
560.000000,0.401333
562.000000,0.401333
564.000000,0.401333
566.000000,0.401333
568.000000,-0.598667
570.000000,-2.598667
572.000000,-1.598667
574.000000,-1.598667
576.000000,1.401333
578.000000,1.401333
580.000000,0.401333
582.000000,-2.598667
584.000000,-0.598667
586.000000,-0.598667
588.000000,1.401333
590.000000,-0.598667
592.000000,0.401333
594.000000,1.401333
596.000000,2.401333
598.000000,-0.598667
600.000000,0.401333
602.000000,1.401333
604.000000,-0.598667
606.000000,-2.598667
608.000000,-5.598667
610.000000,-1.598667
612.000000,3.401333
614.000000,2.401333
616.000000,-4.598667
618.000000,0.401333
620.000000,4.401333
622.000000,0.401333
624.000000,3.401333
626.000000,-1.598667
628.000000,-0.598667
630.000000,0.401333
632.000000,-2.598667
634.000000,1.401333
636.000000,-3.598667
638.000000,1.401333
640.000000,-2.598667
642.000000,-1.598667
644.000000,0.401333
646.000000,-1.598667
648.000000,0.401333
650.000000,1.401333
652.000000,1.401333
654.000000,-3.598667
656.000000,-2.598667
658.000000,-5.598667
660.000000,-0.598667
662.000000,1.401333
664.000000,-0.598667
666.000000,1.401333
668.000000,-0.598667
670.000000,-0.598667
672.000000,0.401333
674.000000,-1.598667
676.000000,0.401333
678.000000,1.401333
680.000000,-1.598667
682.000000,1.401333
684.000000,-2.598667
686.000000,-2.598667
688.000000,-0.598667
690.000000,1.401333
692.000000,0.401333
694.000000,1.401333
696.000000,-3.598667
698.000000,1.401333
700.000000,0.401333
702.000000,3.401333
704.000000,-1.598667
706.000000,-0.598667
708.000000,1.401333
710.000000,-2.598667
712.000000,-2.598667
714.000000,-0.598667
716.000000,-0.598667
718.000000,3.401333
720.000000,3.401333
722.000000,0.401333
724.000000,-3.598667
726.000000,-2.598667
