0.415	0.938	0.456	0.213	0.140	0.121	0.275
0.440	0.985	0.455	0.271	0.249	0.163	0.476
-0.157	0.072	0.143	0.430	0.451	0.224	0.030
-0.167	0.488	0.723	0.039	-0.031	0.343	-0.044
-0.618	0.786	0.864	0.846	0.861	0.496	0.628
0.043	0.207	0.184	0.425	-0.256	-0.704	0.820
0.356	0.809	0.440	0.195	0.124	0.207	0.098
1.167	1.259	0.694	0.335	0.595	0.364	0.117
-0.334	1.994	1.454	0.539	0.711	0.564	0.530
0.147	0.719	0.249	0.038	-0.028	-0.115	0.041
1.869	1.098	0.978	0.316	0.520	0.444	0.419
0.442	0.592	0.824	0.226	0.305	0.379	0.174
-0.461	0.295	0.574	0.301	-0.334	0.426	-0.137
0.003	0.618	0.741	0.183	0.376	0.241	0.269
0.057	1.202	1.164	0.393	0.471	0.454	0.365
0.831	0.616	0.919	0.369	0.433	0.269	0.355
0.286	1.083	1.068	0.380	0.606	0.362	0.509
-0.149	2.264	1.513	0.841	0.632	0.445	0.341
0.359	0.872	0.922	0.300	0.487	0.319	0.455
0.585	0.044	0.576	0.186	-0.322	0.151	0.348
0.291	0.342	0.556	0.209	0.161	0.026	0.122
0.463	1.431	1.060	0.348	0.547	0.294	0.378
-0.100	0.784	0.741	0.207	0.307	0.325	0.251
1.010	1.714	0.851	0.312	0.372	0.300	0.278
0.573	0.294	0.475	0.587	0.594	0.332	0.368
0.202	0.771	0.936	0.683	0.679	0.509	0.466
0.849	1.155	0.565	0.244	0.291	0.209	0.162
0.460	0.812	0.950	0.721	0.639	0.396	0.595
0.294	0.651	0.660	0.154	0.240	0.290	0.186
1.847	1.422	1.139	0.449	0.588	0.572	0.395
-0.085	0.319	0.671	0.330	0.291	0.176	0.180
-0.149	0.393	0.654	0.524	0.399	0.178	0.414
0.183	0.697	0.668	0.136	0.258	0.194	0.240
0.110	0.220	0.376	0.370	0.463	0.281	0.227
0.959	2.245	1.313	0.437	0.591	0.492	0.223
0.193	0.367	0.502	0.520	0.569	0.395	0.244
0.531	0.658	0.522	0.134	0.080	0.301	0.242
0.452	0.248	0.473	0.513	0.460	0.531	0.344
0.261	0.832	0.704	0.240	0.367	0.312	0.223
-0.111	0.547	0.556	0.030	0.158	0.091	0.132
0.328	0.868	0.308	0.119	0.121	0.073	0.193
-0.020	0.285	0.552	0.197	0.349	0.000	0.337
-0.101	0.504	0.662	0.471	0.471	0.187	0.301
0.589	0.846	0.604	0.197	0.183	0.197	0.217
1.155	0.139	0.323	0.599	0.309	0.397	0.115
0.686	0.636	0.782	0.252	0.407	0.197	0.198
0.772	1.065	0.761	0.277	0.386	0.230	0.203
0.692	1.619	1.327	0.486	0.695	0.557	0.452
0.222	0.548	0.822	0.479	0.505	0.383	0.356
0.114	0.398	0.822	0.348	0.272	0.165	0.268
0.249	0.050	0.093	0.268	0.221	0.195	0.008
