0.178,123,882,5 s
0.063,030,351,1 s
0.105,795,799,2 s
0.062,289,079,4 s
0.100,854,897,2 s
0.106,970,395,4 s
0.085,299,378,5 s
0.065,204,208,5 s
0.199,554,465,0 s
0.050,745,780,2 s
0.079,071,399,0 s
0.047,037,498,0 s
0.165,716,620,5 s
0.053,796,139,2 s
0.051,154,707,5 s
0.106,614,116,8 s
0.099,270,123,2 s
0.035,868,079,0 s
0.165,694,678,2 s
0.106,323,960,5 s
0.025,312,531,4 s
0.048,651,884,5 s
0.074,903,995,0 s
0.061,075,926,5 s
0.293,065,711,0 s
0.070,200,893,0 s
0.134,221,344,0 s
0.163,900,174,7 s
0.056,340,913,0 s
0.137,739,825,3 s
0.194,498,588,5 s
0.079,124,268,7 s
0.146,425,579,2 s
0.043,208,701,8 s
0.104,182,161,5 s
0.142,228,118,0 s
0.089,936,847,9 s
0.096,237,862,0 s
0.064,161,536,3 s
0.225,841,123,7 s
0.109,100,446,0 s
0.058,221,736,6 s
0.186,835,369,5 s
0.096,954,394,0 s
0.057,539,125,4 s
0.112,371,027,2 s
0.055,101,989,9 s
0.144,264,272,5 s
0.162,645,313,5 s
0.055,271,803,5 s
0.052,886,518,5 s
0.133,588,220,8 s
0.094,371,887,2 s
0.056,700,132,7 s
0.070,868,233,0 s
0.055,898,678,0 s
0.116,845,176,0 s
0.135,144,628,7 s
0.119,092,463,3 s
0.079,241,245,5 s
0.160,089,375,2 s
0.046,179,209,5 s
0.057,537,736,0 s
0.101,448,867,3 s
0.216,056,181,0 s
0.193,890,026,2 s
0.098,895,248,7 s
0.074,866,637,7 s
0.037,791,000,7 s
0.104,628,674,3 s
0.080,368,200,5 s
0.063,674,051,3 s
0.075,640,769,7 s
0.122,548,590,7 s
0.046,678,101,9 s
0.044,877,259,5 s
0.072,497,150,7 s
0.206,677,670,0 s
0.185,013,529,7 s
0.108,729,482,2 s
0.062,297,681,0 s
0.098,401,005,5 s
0.091,033,768,5 s
0.076,957,345,3 s
0.067,480,357,9 s
0.058,878,765,8 s
0.116,061,526,8 s
0.079,013,022,3 s
0.140,611,834,7 s
0.140,827,814,2 s
0.064,885,631,0 s
0.087,251,372,3 s
0.088,312,313,5 s
0.081,256,046,8 s
0.089,035,030,9 s
0.134,692,619,0 s
0.038,560,515,5 s
0.228,041,933,2 s
0.171,301,223,0 s
0.092,002,693,5 s
0.047,570,163,7 s
0.050,346,333,7 s
0.179,755,356,7 s
0.080,006,926,4 s
0.094,537,946,5 s
0.141,669,430,0 s
0.086,899,868,5 s
0.156,336,263,5 s
0.125,421,706,7 s
0.063,326,743,8 s
0.160,223,655,2 s
0.106,641,225,2 s
0.107,663,824,5 s
0.095,930,305,5 s
0.138,264,511,5 s
0.256,119,683,7 s
0.147,949,853,0 s
0.106,333,798,0 s
0.096,019,984,2 s
0.069,944,888,0 s
0.128,305,297,0 s
0.043,377,266,5 s
0.148,053,470,0 s
0.034,175,308,6 s
0.111,927,616,5 s
0.059,548,827,5 s
0.087,375,397,0 s
0.089,201,640,2 s
0.099,737,548,0 s
0.154,380,254,2 s
0.126,999,927,5 s
0.067,861,569,0 s
0.161,189,671,7 s
0.044,431,849,7 s
0.116,263,233,8 s
0.094,397,905,5 s
0.072,463,675,2 s
0.183,247,595,5 s
0.140,353,613,3 s
0.031,981,521,2 s
0.095,061,349,8 s
0.076,245,335,2 s
0.104,980,118,8 s
0.111,140,966,8 s
0.198,580,341,0 s
0.072,022,177,2 s
0.051,371,419,9 s
0.133,977,974,6 s
0.279,158,927,5 s
0.097,838,465,2 s
0.105,124,933,2 s
0.116,949,073,0 s
0.080,112,137,8 s
0.084,274,635,8 s
0.036,340,216,2 s
0.073,711,561,5 s
0.049,059,255,9 s
0.181,938,534,7 s
0.066,116,524,0 s
0.127,397,499,8 s
0.031,505,717,9 s
0.054,371,370,0 s
0.125,126,135,7 s
0.039,460,587,4 s
0.255,537,050,3 s
0.204,629,265,5 s
0.055,533,160,5 s
0.117,384,086,5 s
0.038,766,805,1 s
0.273,237,435,2 s
0.122,622,208,7 s
0.147,484,381,0 s
0.122,502,686,2 s
0.085,613,385,8 s
0.257,762,988,0 s
0.081,311,380,7 s
0.183,103,729,7 s
0.183,044,185,7 s
0.170,228,727,2 s
0.041,394,614,2 s
0.055,127,977,2 s
0.088,707,120,5 s
0.055,065,369,7 s
0.115,637,129,0 s
0.074,207,268,8 s
0.051,938,749,2 s
0.076,914,049,5 s
0.071,908,761,5 s
0.086,310,207,2 s
0.216,266,734,7 s
0.062,359,547,5 s
0.188,683,260,2 s
0.075,218,039,0 s
0.105,463,572,5 s
0.085,459,456,7 s
0.122,987,164,0 s
0.049,186,681,2 s
0.123,253,661,7 s
0.091,171,988,2 s
0.065,477,689,7 s
0.122,278,803,7 s
0.149,805,177,8 s
0.073,465,191,2 s
0.140,093,824,0 s
0.082,323,447,3 s
0.098,668,419,7 s
0.107,489,982,2 s
0.203,648,053,2 s
0.091,936,549,8 s
0.081,379,239,8 s
0.099,227,117,0 s
0.088,236,535,1 s
0.079,441,039,0 s
0.160,545,842,3 s
0.042,985,546,3 s
0.118,814,542,2 s
0.119,543,904,8 s
0.071,276,975,5 s
0.036,553,688,7 s
0.139,096,807,0 s
0.091,203,434,7 s
0.146,147,417,0 s
0.358,637,742,7 s
0.117,690,847,7 s
0.042,395,102,2 s
0.088,617,315,2 s
0.178,781,953,5 s
0.068,197,423,5 s
0.096,368,948,8 s
0.052,138,768,1 s
0.147,482,090,5 s
0.062,623,455,3 s
0.043,943,795,4 s
0.042,800,013,5 s
0.055,057,604,6 s
