Time,Integral 1200,Integral 7400
1547509331.585707,19224.000000,23042.000000
1547509331.584099,12008.000000,13364.000000
1547509331.584599,15110.000000,17853.000000
1547509331.584754,13924.000000,16903.000000
1547509331.584814,18995.000000,22472.000000
1547509331.585096,18203.000000,21936.000000
1547509331.585707,17212.000000,19814.000000
1547509331.585744,19305.000000,23925.000000
1547509331.586123,22538.000000,28271.000000
1547509331.586395,15440.000000,18267.000000
1547509331.586767,20305.000000,25237.000000
1547509331.589857,538.000000,1482.000000
1547509331.591994,22331.000000,28032.000000
1547509331.592181,19230.000000,24188.000000
1547509331.592552,21309.000000,27357.000000
1547509331.593001,22574.000000,29907.000000
1547509331.593282,21867.000000,29359.000000
1547509331.593485,18009.000000,20818.000000
1547509331.594218,-4401.000000,-6911.000000
1547509331.594387,17218.000000,21434.000000
1547509331.594795,22036.000000,26428.000000
1547509331.595448,18073.000000,22377.000000
1547509331.596187,20221.000000,24946.000000
1547509331.596991,17433.000000,22099.000000
1547509331.597393,17324.000000,21003.000000
1547509331.597789,13096.000000,16819.000000
1547509331.598520,20749.000000,25674.000000
1547509331.598981,19318.000000,24766.000000
1547509331.600982,22359.000000,28351.000000
1547509331.601010,21945.000000,27584.000000
1547509331.601200,18136.000000,22334.000000
1547509331.601780,20744.000000,26194.000000
1547509331.601978,20512.000000,26116.000000
1547509331.602052,15738.000000,17934.000000
1547509331.602206,16666.000000,19819.000000
1547509331.602611,19900.000000,24419.000000
1547509331.603096,18237.000000,21891.000000
1547509331.604767,19188.000000,22838.000000
1547509331.605185,21633.000000,27398.000000
1547509331.605340,22353.000000,28555.000000
1547509331.605538,18783.000000,24099.000000
1547509331.605806,19648.000000,24315.000000
1547509331.605909,22195.000000,29744.000000
1547509331.607228,20138.000000,24683.000000
1547509331.607603,18947.000000,22756.000000
1547509331.608757,19781.000000,23370.000000
1547509331.609439,21504.000000,26251.000000
1547509331.612003,19560.000000,25611.000000
1547509331.612132,24827.000000,31917.000000
1547509331.613677,19363.000000,25605.000000
1547509331.613989,14851.000000,17274.000000
1547509331.614230,19036.000000,24003.000000
1547509331.615477,19152.000000,25488.000000
1547509331.615535,20376.000000,25498.000000
1547509331.615760,21593.000000,28230.000000
1547509331.616318,14026.000000,15308.000000
1547509331.617521,15126.000000,33588.000000
1547509331.618385,18827.000000,23400.000000
1547509331.619023,17100.000000,20389.000000
1547509331.620446,20986.000000,27467.000000
1547509331.620701,19499.000000,24918.000000
1547509331.621006,14755.000000,17746.000000
1547509331.621842,19386.000000,23855.000000
1547509331.622049,17770.000000,22001.000000
1547509331.622082,18239.000000,22525.000000
1547509331.622761,19794.000000,25167.000000
1547509331.622887,16117.000000,19524.000000
1547509331.623140,18576.000000,22725.000000
1547509331.623302,13840.000000,16655.000000
1547509331.623601,15643.000000,20084.000000
1547509331.625689,20250.000000,24614.000000
1547509331.626047,18207.000000,22495.000000
1547509331.626133,19074.000000,23715.000000
1547509331.627010,19108.000000,23763.000000
1547509331.627584,20272.000000,25619.000000
1547509331.627644,15668.000000,18499.000000
1547509331.628121,17052.000000,21362.000000
1547509331.628397,18014.000000,22426.000000
1547509331.628648,16550.000000,19760.000000
1547509331.628865,17547.000000,22131.000000
1547509331.629056,16969.000000,20193.000000
1547509331.629147,15568.000000,18380.000000
1547509331.631745,17591.000000,22438.000000
1547509331.632911,22864.000000,29464.000000
1547509331.634044,18763.000000,23816.000000
1547509331.634639,22079.000000,29492.000000
1547509331.635404,23516.000000,30264.000000
1547509331.635938,18325.000000,21486.000000
1547509331.636033,15580.000000,17630.000000
1547509331.637852,18495.000000,22821.000000
1547509331.638944,16080.000000,21473.000000
