Time,Integral 1200,Integral 7400
1547506566.330605,21702.000000,28014.000000
1547506566.327514,18986.000000,23545.000000
1547506566.328358,18067.000000,23152.000000
1547506566.328765,16554.000000,20647.000000
1547506566.329691,22746.000000,29749.000000
1547506566.329752,18146.000000,22736.000000
1547506566.330605,20967.000000,26175.000000
1547506566.331094,19815.000000,24957.000000
1547506566.331475,18274.000000,22901.000000
1547506566.331687,18277.000000,22345.000000
1547506566.331938,17435.000000,22497.000000
1547506566.333119,22592.000000,29143.000000
1547506566.333616,17707.000000,21309.000000
1547506566.333636,19303.000000,22003.000000
1547506566.333881,15703.000000,18442.000000
1547506566.334645,16879.000000,20433.000000
1547506566.335189,20164.000000,25555.000000
1547506566.337008,10512.000000,10409.000000
1547506566.337189,21266.000000,26692.000000
1547506566.337246,23257.000000,30682.000000
1547506566.338158,22228.000000,28886.000000
1547506566.339389,18803.000000,24704.000000
1547506566.340300,19375.000000,22587.000000
1547506566.341088,11565.000000,13904.000000
1547506566.342470,19317.000000,22365.000000
1547506566.342541,17377.000000,19723.000000
1547506566.342580,15103.000000,18452.000000
1547506566.342694,19439.000000,25373.000000
1547506566.343361,17396.000000,21368.000000
1547506566.343530,15863.000000,18455.000000
1547506566.343624,17935.000000,22450.000000
1547506566.344299,20265.000000,25535.000000
1547506566.345071,21234.000000,28867.000000
1547506566.345138,18147.000000,22283.000000
1547506566.345164,18213.000000,24076.000000
1547506566.346690,19270.000000,24388.000000
1547506566.346770,18984.000000,23575.000000
1547506566.347161,6115.000000,9559.000000
1547506566.347184,7494.000000,35254.000000
1547506566.347266,7779.000000,8212.000000
1547506566.348290,19650.000000,23974.000000
1547506566.348783,20056.000000,25611.000000
1547506566.349528,19511.000000,24559.000000
1547506566.351968,19561.000000,25162.000000
1547506566.352714,18244.000000,21416.000000
1547506566.353271,16848.000000,21238.000000
1547506566.354390,21409.000000,27597.000000
1547506566.354494,20368.000000,25608.000000
1547506566.357748,8559.000000,12938.000000
1547506566.359247,22073.000000,28177.000000
1547506566.359506,19677.000000,25489.000000
1547506566.359678,18148.000000,21349.000000
1547506566.359763,14522.000000,15687.000000
1547506566.360093,17342.000000,21149.000000
1547506566.360152,17478.000000,22408.000000
1547506566.360423,15624.000000,17902.000000
1547506566.361012,17782.000000,22421.000000
1547506566.361574,19087.000000,24248.000000
1547506566.361596,15245.000000,19578.000000
1547506566.362926,19793.000000,25380.000000
1547506566.362963,18580.000000,22652.000000
1547506566.363566,32151.000000,56349.000000
1547506566.364764,16529.000000,20174.000000
1547506566.365725,19701.000000,27031.000000
1547506566.366070,20970.000000,28334.000000
1547506566.366695,18544.000000,22846.000000
1547506566.368060,21465.000000,27341.000000
1547506566.368366,15436.000000,18455.000000
1547506566.368431,14839.000000,17659.000000
1547506566.368500,17059.000000,20627.000000
1547506566.368780,13731.000000,16677.000000
1547506566.369253,19010.000000,23049.000000
1547506566.369568,18771.000000,22814.000000
1547506566.370015,21223.000000,26051.000000
1547506566.371423,17127.000000,22704.000000
1547506566.372131,22472.000000,29333.000000
1547506566.373511,19195.000000,24733.000000
1547506566.374246,14368.000000,16548.000000
1547506566.374459,18883.000000,22572.000000
1547506566.374902,18752.000000,22156.000000
1547506566.376960,20130.000000,24755.000000
1547506566.377650,21208.000000,26500.000000
1547506566.379120,14484.000000,17624.000000
1547506566.379902,11660.000000,14001.000000
