Time,Integral 1200,Integral 7400
1547512921.636269,19942.000000,26138.000000
1547512921.632083,21196.000000,26902.000000
1547512921.632493,22627.000000,30136.000000
1547512921.632965,17052.000000,21169.000000
1547512921.635548,4616.000000,29550.000000
1547512921.635961,15562.000000,18611.000000
1547512921.636269,16420.000000,18772.000000
1547512921.636652,22765.000000,27515.000000
1547512921.636696,14989.000000,18813.000000
1547512921.637871,22050.000000,28090.000000
1547512921.638546,16658.000000,18145.000000
1547512921.638669,14817.000000,17497.000000
1547512921.639239,19190.000000,25051.000000
1547512921.639548,21068.000000,26323.000000
1547512921.639655,21155.000000,26916.000000
1547512921.639823,19964.000000,25526.000000
1547512921.640012,19459.000000,23679.000000
1547512921.640887,18113.000000,21920.000000
1547512921.641077,19158.000000,23846.000000
1547512921.642450,18818.000000,23736.000000
1547512921.643264,16580.000000,18352.000000
1547512921.643810,20362.000000,28318.000000
1547512921.644335,19519.000000,22399.000000
1547512921.645430,22515.000000,26958.000000
1547512921.646731,12302.000000,15305.000000
1547512921.646785,17051.000000,21007.000000
1547512921.647028,22474.000000,29184.000000
1547512921.647847,15146.000000,18328.000000
1547512921.648165,16630.000000,20527.000000
1547512921.648495,21519.000000,26955.000000
1547512921.648723,18702.000000,22040.000000
1547512921.649783,23583.000000,29812.000000
1547512921.649911,15909.000000,18539.000000
1547512921.650403,21305.000000,25286.000000
1547512921.651082,20894.000000,25655.000000
1547512921.651296,16254.000000,18999.000000
1547512921.651899,20210.000000,26743.000000
1547512921.651982,22058.000000,25604.000000
1547512921.653456,17194.000000,20580.000000
1547512921.653855,14638.000000,17196.000000
1547512921.654123,19593.000000,24319.000000
1547512921.654416,20721.000000,25287.000000
1547512921.654770,20609.000000,25995.000000
1547512921.654922,14499.000000,17413.000000
1547512921.655329,16671.000000,20105.000000
1547512921.655371,19725.000000,27434.000000
1547512921.655446,20393.000000,26139.000000
1547512921.656042,18073.000000,22149.000000
1547512921.656210,16922.000000,18964.000000
1547512921.656230,16248.000000,18395.000000
1547512921.656627,20323.000000,24943.000000
1547512921.657426,19257.000000,22962.000000
1547512921.659933,17961.000000,21931.000000
1547512921.660043,18665.000000,23376.000000
1547512921.660129,16764.000000,19633.000000
1547512921.661463,19532.000000,25452.000000
1547512921.661547,14244.000000,17341.000000
1547512921.662001,17572.000000,21432.000000
1547512921.662436,19939.000000,24796.000000
1547512921.665232,82800.000000,136212.000000
1547512921.665374,13057.000000,14973.000000
1547512921.665513,21575.000000,27143.000000
1547512921.666965,14690.000000,16335.000000
1547512921.667375,18655.000000,22470.000000
1547512921.668970,12078.000000,18766.000000
1547512921.669848,18717.000000,21874.000000
1547512921.669922,14306.000000,18919.000000
1547512921.671297,20583.000000,27482.000000
1547512921.671347,18931.000000,23099.000000
1547512921.673735,21346.000000,25858.000000
1547512921.673902,16765.000000,19597.000000
1547512921.674314,17268.000000,20953.000000
1547512921.674719,16168.000000,18945.000000
1547512921.675710,18800.000000,22661.000000
1547512921.675752,19085.000000,23939.000000
1547512921.676805,13543.000000,16514.000000
1547512921.677085,20514.000000,26620.000000
1547512921.677105,23312.000000,30108.000000
1547512921.677256,20777.000000,24974.000000
1547512921.678087,17623.000000,21498.000000
1547512921.678728,19806.000000,26213.000000
1547512921.678894,17165.000000,18438.000000
1547512921.679551,21952.000000,27788.000000
1547512921.679724,20281.000000,24367.000000
1547512921.680241,22586.000000,26796.000000
1547512921.680432,17819.000000,23357.000000
1547512921.680694,18663.000000,22960.000000
1547512921.681862,18659.000000,23331.000000
1547512921.682137,19638.000000,24705.000000
1547512921.682420,21257.000000,27056.000000
1547512921.682560,21535.000000,28123.000000
1547512921.682812,19191.000000,24794.000000
1547512921.682935,20938.000000,28217.000000
1547512921.683341,14928.000000,17450.000000
1547512921.683655,22854.000000,29154.000000
1547512921.684339,19786.000000,25055.000000
1547512921.684386,19631.000000,24777.000000
1547512921.684640,16730.000000,19109.000000
1547512921.685241,21567.000000,27466.000000
1547512921.686342,18462.000000,23305.000000
1547512921.686433,15814.000000,18468.000000
1547512921.687057,17500.000000,20212.000000
1547512921.687192,16715.000000,18953.000000
1547512921.687408,17001.000000,18972.000000
1547512921.687454,13054.000000,13299.000000
1547512921.687684,21203.000000,26700.000000
1547512921.688106,21180.000000,27149.000000
1547512921.688129,14481.000000,19241.000000
1547512921.688212,14186.000000,14363.000000
1547512921.688519,18578.000000,23610.000000
1547512921.691007,20076.000000,26755.000000
1547512921.691224,17903.000000,21332.000000
1547512921.691591,19380.000000,25345.000000
1547512921.692093,17537.000000,20909.000000
1547512921.692686,19316.000000,23456.000000
1547512921.692973,19412.000000,23093.000000
1547512921.693003,14618.000000,16467.000000
1547512921.693128,18710.000000,21461.000000
1547512921.693215,21085.000000,25063.000000
1547512921.693565,18198.000000,21727.000000
1547512921.693975,18190.000000,21579.000000
1547512921.694062,16036.000000,18785.000000
1547512921.694260,18197.000000,21512.000000
1547512921.696092,18819.000000,23909.000000
1547512921.697577,20984.000000,26530.000000
1547512921.698057,19054.000000,23496.000000
1547512921.698563,21712.000000,28097.000000
1547512921.698853,21384.000000,27424.000000
1547512921.699220,15855.000000,19495.000000
1547512921.700154,18135.000000,23565.000000
1547512921.700375,13759.000000,17181.000000
1547512921.700699,17960.000000,20169.000000
1547512921.701118,19136.000000,22873.000000
1547512921.701936,20757.000000,26238.000000
1547512921.704092,16677.000000,19069.000000
1547512921.704494,76.000000,421.000000
1547512921.704697,16620.000000,20071.000000
1547512921.704883,21209.000000,26230.000000
1547512921.705092,19825.000000,24080.000000
1547512921.706130,21085.000000,27546.000000
