
Automatic Data Collection:
Thu Feb 21 16:45:16 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00337	 0.09453
0.05000	 0.00163	 0.09081
0.10000	 0.00385	 0.07433
0.15000	 -0.00189	 0.06965
0.20000	 -0.00299	 0.08212
0.25000	 0.00414	 0.08550
0.30000	 0.00456	 0.07759
0.35000	 0.00273	 0.08432
0.40000	 0.00276	 0.08804
0.45000	 0.00839	 0.07661
0.50000	 0.00696	 0.06763
0.55000	 0.00220	 0.09101
0.60000	 -0.00240	 0.09520
0.65000	 0.00429	 0.08351
0.70000	 0.00719	 0.08048
0.75000	 0.00174	 0.08432
0.80000	 -0.00256	 0.08590
0.85000	 0.00758	 0.08287
0.90000	 0.00625	 0.07496
0.95000	 0.00172	 0.08547
1.00000	 -0.00310	 0.08876
1.05000	 0.00276	 0.08637
1.10000	 0.00374	 0.07462
1.15000	 0.00135	 0.08870
1.20000	 -0.00842	 0.08801
1.25000	 -0.00186	 0.07817
1.30000	 0.00042	 0.06662
1.35000	 -0.00459	 0.08183
1.40000	 -0.00186	 0.09399
1.45000	 0.00288	 0.08556
1.50000	 0.00457	 0.06870
1.55000	 -0.00239	 0.08215
1.60000	 -0.00360	 0.08720
1.65000	 0.00288	 0.08062
1.70000	 0.00112	 0.07615
1.75000	 0.00098	 0.08273
1.80000	 -0.00093	 0.08103
1.85000	 0.00985	 0.07898
1.90000	 0.00577	 0.07522
1.95000	 0.00034	 0.09554
2.00000	 -0.00127	 0.08888
2.05000	 0.00754	 0.07335
2.10000	 0.00642	 0.06374
2.15000	 0.00273	 0.07984
2.20000	 0.00133	 0.09032
2.25000	 0.00526	 0.08065
2.30000	 0.00687	 0.07179
2.35000	 0.00104	 0.07875
2.40000	 -0.00195	 0.08628
2.45000	 0.00371	 0.08287
2.50000	 0.00158	 0.07014
2.55000	 -0.00163	 0.08397
2.60000	 0.00184	 0.08928
2.65000	 0.00568	 0.08388
2.70000	 0.00098	 0.07750
2.75000	 -0.00358	 0.08683
2.80000	 0.00161	 0.09006
2.85000	 0.00575	 0.07733
2.90000	 0.00068	 0.07245
2.95000	 -0.00375	 0.07915
3.00000	 -0.00445	 0.07436
3.05000	 0.00153	 0.06922
3.10000	 0.00229	 0.07300
3.15000	 -0.00414	 0.08694
3.20000	 -0.00324	 0.09139
3.25000	 0.00606	 0.07312
3.30000	 0.00575	 0.06786
3.35000	 -0.00498	 0.09078
3.40000	 -0.00479	 0.08896
3.45000	 0.00019	 0.07629
3.50000	 0.00127	 0.06299
3.55000	 0.00050	 0.08235
3.60000	 -0.00062	 0.09393
3.65000	 0.00715	 0.08455
3.70000	 -0.00340	 0.07144
3.75000	 -0.00799	 0.08068
3.80000	 -0.00012	 0.08452
3.85000	 0.00944	 0.08004
3.90000	 0.00493	 0.09572
3.95000	 -0.00423	 0.09944
4.00000	 0.00090	 0.08726
4.05000	 0.00282	 0.06795
4.10000	 0.00333	 0.07843
4.15000	 -0.00169	 0.09058
4.20000	 -0.00160	 0.09234
4.25000	 0.00126	 0.07768
4.30000	 0.00031	 0.07797
4.35000	 -0.00741	 0.07935
4.40000	 -0.00743	 0.07355
4.45000	 0.00434	 0.06062
4.50000	 0.00566	 0.07511
4.55000	 -0.00087	 0.09641
4.60000	 -0.00360	 0.09650
4.65000	 0.00450	 0.07814
4.70000	 -0.00304	 0.06830
4.75000	 -0.00544	 0.08160
4.80000	 -0.00475	 0.08677
4.85000	 -0.00150	 0.07101
4.90000	 0.00375	 0.06714
4.95000	 0.00202	 0.08417
5.00000	 0.00670	 0.08576
5.05000	 0.00090	 0.07953
5.10000	 -0.00594	 0.07938
5.15000	 -0.00433	 0.08795
5.20000	 0.00341	 0.08385
5.25000	 0.00454	 0.06862
5.30000	 0.00344	 0.08068
5.35000	 0.00234	 0.09335
5.40000	 0.00795	 0.09107
5.45000	 0.01183	 0.08085
5.50000	 0.00608	 0.08544
5.55000	 -0.00093	 0.09286
5.60000	 0.00264	 0.09341
5.65000	 0.00693	 0.06735
5.70000	 0.00143	 0.07323
5.75000	 -0.00247	 0.08270
5.80000	 0.00019	 0.08181
5.85000	 0.00574	 0.06911
5.90000	 0.00191	 0.07540
5.95000	 -0.00256	 0.09113
6.00000	 -0.00301	 0.09009
6.05000	 0.00048	 0.07471
6.10000	 -0.00856	 0.06059
6.15000	 -0.00237	 0.08919
6.20000	 0.00270	 0.08585
6.25000	 -0.00109	 0.07860
6.30000	 -0.00254	 0.08657
6.35000	 -0.00392	 0.08475
6.40000	 0.00367	 0.07621
6.45000	 0.00191	 0.07488
6.50000	 -0.00101	 0.09300
6.55000	 -0.00095	 0.08850
6.60000	 0.00766	 0.07779
6.65000	 0.00701	 0.06336
6.70000	 -0.00039	 0.07872
6.75000	 -0.00444	 0.09142
6.80000	 0.00515	 0.09029
6.85000	 0.01082	 0.08111
6.90000	 0.00454	 0.08420
6.95000	 0.00003	 0.08934
7.00000	 0.00600	 0.08397
7.05000	 0.00701	 0.06830
7.10000	 0.00175	 0.08080
7.15000	 -0.00530	 0.08585
7.20000	 0.00099	 0.08166
7.25000	 -0.00040	 0.06769
7.30000	 -0.00658	 0.07292
7.35000	 -0.00458	 0.08844
7.40000	 0.00589	 0.08862
7.45000	 0.00273	 0.06602
7.50000	 0.00033	 0.08576
7.55000	 0.00371	 0.09156
7.60000	 0.00747	 0.08108
7.65000	 0.00786	 0.07306
7.70000	 0.00327	 0.08700
7.75000	 0.00313	 0.09015
7.80000	 0.00236	 0.08348
7.85000	 0.00530	 0.07583
7.90000	 -0.00223	 0.08925
7.95000	 -0.00023	 0.08729
8.00000	 0.00524	 0.07430
8.05000	 0.00412	 0.06374
8.10000	 -0.00199	 0.07776
8.15000	 -0.00326	 0.08882
8.20000	 0.00222	 0.08371
8.25000	 0.00394	 0.07225
8.30000	 0.00102	 0.08657
8.35000	 -0.00682	 0.08622
8.40000	 -0.00011	 0.07384
8.45000	 0.00203	 0.06258
8.50000	 0.00177	 0.07419
8.55000	 0.00447	 0.08989
8.60000	 0.00405	 0.09335
8.65000	 0.00079	 0.08293
8.70000	 -0.00150	 0.09084
8.75000	 -0.00092	 0.09000
8.80000	 0.00554	 0.07407
8.85000	 0.00240	 0.08062
8.90000	 -0.00138	 0.09159
8.95000	 0.00029	 0.08928
9.00000	 0.00752	 0.07176
9.05000	 0.00386	 0.07557
9.10000	 0.00104	 0.09136
9.15000	 0.00129	 0.08691
9.20000	 0.00388	 0.07242
9.25000	 0.00242	 0.07159
9.30000	 0.00333	 0.09035
9.35000	 0.00119	 0.08963
9.40000	 0.00664	 0.08048
9.45000	 0.00529	 0.07113
9.50000	 0.00115	 0.08596
9.55000	 0.00166	 0.08686
9.60000	 0.00732	 0.08440
9.65000	 0.00586	 0.07098
9.70000	 -0.00408	 0.08772
9.75000	 0.00228	 0.08533
9.80000	 0.00307	 0.07496
9.85000	 -0.00256	 0.06838
9.90000	 -0.00568	 0.08443
9.95000	 0.00064	 0.08160
