
Automatic Data Collection:
Thu Feb 21 16:47:02 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00729	 0.31398
0.05000	 0.01768	 0.30423
0.10000	 0.01334	 0.30991
0.15000	 0.04102	 0.33323
0.20000	 0.04128	 0.38069
0.25000	 0.01824	 0.38259
0.30000	 -0.00467	 0.35422
0.35000	 -0.00076	 0.32879
0.40000	 0.01836	 0.31164
0.45000	 0.00464	 0.31583
0.50000	 -0.00056	 0.34250
0.55000	 0.00662	 0.37924
0.60000	 0.00054	 0.37185
0.65000	 0.00837	 0.36683
0.70000	 0.00332	 0.29453
0.75000	 -0.01214	 0.30769
0.80000	 -0.00023	 0.30902
0.85000	 -0.00844	 0.34853
0.90000	 -0.00137	 0.34397
0.95000	 -0.00211	 0.34446
1.00000	 -0.01096	 0.33508
1.05000	 0.01701	 0.34397
1.10000	 -0.00569	 0.31805
1.15000	 0.00865	 0.33866
1.20000	 0.00749	 0.32821
1.25000	 -0.00402	 0.33271
1.30000	 -0.01349	 0.32261
1.35000	 -0.00433	 0.31820
1.40000	 0.00625	 0.33895
1.45000	 0.00938	 0.33725
1.50000	 0.01208	 0.36801
1.55000	 0.00403	 0.35101
1.60000	 0.02630	 0.33139
1.65000	 0.01515	 0.32740
1.70000	 0.00555	 0.33866
1.75000	 0.01340	 0.30717
1.80000	 -0.00738	 0.31401
1.85000	 -0.00833	 0.35344
1.90000	 -0.01697	 0.36799
1.95000	 0.00656	 0.37142
2.00000	 0.01817	 0.34544
2.05000	 0.00958	 0.30426
2.10000	 0.01040	 0.29265
2.15000	 -0.00679	 0.35373
2.20000	 0.00729	 0.33447
2.25000	 0.00854	 0.29886
2.30000	 0.00029	 0.30740
2.35000	 0.00070	 0.30812
2.40000	 -0.00203	 0.32954
2.45000	 0.00851	 0.30137
2.50000	 0.01464	 0.35295
2.55000	 0.02577	 0.34328
2.60000	 0.01901	 0.30602
2.65000	 0.01106	 0.32033
2.70000	 0.01690	 0.31733
2.75000	 -0.00256	 0.29513
2.80000	 -0.00273	 0.32010
2.85000	 -0.00222	 0.32948
2.90000	 -0.02601	 0.38444
2.95000	 0.00952	 0.35055
3.00000	 0.02470	 0.30007
3.05000	 0.01520	 0.22557
3.10000	 0.04418	 0.32847
3.15000	 0.01588	 0.43114
3.20000	 0.01383	 0.43434
3.25000	 0.00597	 0.34022
3.30000	 -0.00720	 0.26867
3.35000	 0.01365	 0.28013
3.40000	 0.04409	 0.37800
3.45000	 0.01406	 0.43021
3.50000	 0.02076	 0.39379
3.55000	 0.00999	 0.34316
3.60000	 0.00631	 0.28359
3.65000	 0.01165	 0.25983
3.70000	 0.00226	 0.36218
3.75000	 -0.01152	 0.34931
3.80000	 0.00166	 0.31075
3.85000	 0.01182	 0.34495
3.90000	 -0.00422	 0.32189
3.95000	 -0.01039	 0.29487
4.00000	 0.02591	 0.26815
4.05000	 0.03753	 0.30449
4.10000	 0.02306	 0.33600
4.15000	 -0.00242	 0.34813
4.20000	 -0.00431	 0.34634
4.25000	 -0.00316	 0.33335
4.30000	 -0.01487	 0.32368
4.35000	 -0.01752	 0.30700
4.40000	 -0.01926	 0.32492
4.45000	 0.00498	 0.28884
4.50000	 0.00009	 0.31239
4.55000	 0.01583	 0.35667
4.60000	 0.01715	 0.33915
4.65000	 0.00985	 0.40724
4.70000	 0.01217	 0.35352
4.75000	 0.02255	 0.35266
4.80000	 0.03399	 0.29257
4.85000	 0.01341	 0.32414
4.90000	 0.01726	 0.35901
4.95000	 0.02360	 0.36908
5.00000	 0.01693	 0.35456
5.05000	 0.00868	 0.28281
5.10000	 0.00679	 0.32813
5.15000	 0.02822	 0.31889
5.20000	 0.00743	 0.34175
5.25000	 -0.00516	 0.33447
5.30000	 0.01202	 0.33413
5.35000	 0.00174	 0.32954
5.40000	 0.00374	 0.32746
5.45000	 -0.00653	 0.35788
5.50000	 0.01256	 0.31811
5.55000	 -0.00282	 0.31156
5.60000	 0.02334	 0.29750
5.65000	 -0.01131	 0.35604
5.70000	 -0.00968	 0.32400
5.75000	 -0.00757	 0.32547
5.80000	 -0.00999	 0.26858
5.85000	 -0.01048	 0.27949
5.90000	 0.02425	 0.31130
5.95000	 0.02484	 0.36288
6.00000	 0.02269	 0.33924
6.05000	 0.02644	 0.39044
6.10000	 0.01988	 0.35673
6.15000	 0.00814	 0.35572
6.20000	 -0.00594	 0.30729
6.25000	 -0.00957	 0.33254
6.30000	 0.00172	 0.30651
6.35000	 -0.02439	 0.33476
6.40000	 0.00868	 0.33023
6.45000	 0.03156	 0.33378
6.50000	 -0.01106	 0.29848
