
Automatic Data Collection:
Thu Feb 21 15:59:58 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00806	 0.07635
0.05000	 -0.00661	 0.07407
0.10000	 -0.00758	 0.07537
0.15000	 -0.00555	 0.07090
0.20000	 0.00276	 0.07794
0.25000	 -0.00158	 0.05984
0.30000	 -0.01261	 0.07026
0.35000	 -0.00861	 0.08351
0.40000	 -0.00923	 0.06573
0.45000	 -0.00703	 0.06801
0.50000	 -0.01686	 0.08256
0.55000	 -0.00220	 0.08004
0.60000	 0.00212	 0.06420
0.65000	 -0.00558	 0.07167
0.70000	 -0.00174	 0.09150
0.75000	 -0.00102	 0.07750
0.80000	 0.00380	 0.06988
0.85000	 0.00850	 0.06400
0.90000	 -0.00002	 0.08198
0.95000	 0.00202	 0.08611
1.00000	 0.00076	 0.07323
1.05000	 0.00112	 0.07774
1.10000	 -0.01368	 0.09601
1.15000	 -0.00622	 0.07638
1.20000	 -0.00157	 0.06342
1.25000	 -0.00106	 0.04509
1.30000	 -0.00284	 0.06922
1.35000	 0.00220	 0.08541
1.40000	 0.00186	 0.08538
1.45000	 -0.00067	 0.08316
1.50000	 -0.01158	 0.07811
1.55000	 0.00084	 0.06668
1.60000	 0.00405	 0.06795
1.65000	 0.00367	 0.04535
1.70000	 0.00296	 0.09046
1.75000	 0.00025	 0.08720
1.80000	 0.00485	 0.08178
1.85000	 -0.00620	 0.06368
1.90000	 -0.01385	 0.07208
1.95000	 -0.00320	 0.07326
2.00000	 0.01192	 0.05941
2.05000	 0.00536	 0.07341
2.10000	 -0.00794	 0.09425
2.15000	 -0.00989	 0.08902
2.20000	 -0.00065	 0.07704
2.25000	 -0.00695	 0.06882
2.30000	 -0.00403	 0.07886
2.35000	 0.00372	 0.08004
2.40000	 0.00750	 0.07124
2.45000	 0.00988	 0.07202
2.50000	 -0.00510	 0.07696
2.55000	 0.00481	 0.07600
2.60000	 0.00081	 0.07820
2.65000	 -0.00667	 0.06333
2.70000	 -0.01241	 0.08622
2.75000	 -0.00346	 0.08576
2.80000	 0.00108	 0.07540
2.85000	 0.00529	 0.07309
2.90000	 0.00257	 0.07981
2.95000	 0.00223	 0.07771
3.00000	 0.00740	 0.06570
3.05000	 0.01326	 0.07736
3.10000	 -0.01053	 0.07540
3.15000	 -0.01158	 0.07753
3.20000	 -0.00290	 0.06605
3.25000	 -0.00425	 0.05733
3.30000	 -0.01593	 0.08189
3.35000	 -0.00982	 0.08443
3.40000	 0.00364	 0.06743
3.45000	 0.01053	 0.07932
3.50000	 0.00291	 0.08536
3.55000	 -0.01050	 0.08865
3.60000	 -0.01082	 0.07248
3.65000	 -0.00748	 0.04757
3.70000	 -0.00713	 0.06902
3.75000	 -0.00234	 0.07589
3.80000	 0.00930	 0.07837
3.85000	 -0.00338	 0.07427
3.90000	 -0.00706	 0.06342
3.95000	 -0.00185	 0.09153
4.00000	 0.00177	 0.08769
4.05000	 0.00484	 0.06091
4.10000	 -0.00605	 0.06844
4.15000	 -0.00392	 0.07600
4.20000	 0.00740	 0.07292
4.25000	 0.00502	 0.06270
4.30000	 0.00257	 0.08106
4.35000	 0.00104	 0.07802
4.40000	 0.00473	 0.07528
4.45000	 0.00127	 0.07043
4.50000	 -0.00571	 0.07528
4.55000	 -0.00884	 0.08628
4.60000	 -0.00558	 0.07234
4.65000	 -0.00518	 0.05929
4.70000	 -0.00974	 0.07395
4.75000	 -0.00810	 0.07548
4.80000	 -0.00817	 0.07476
4.85000	 -0.00417	 0.06339
4.90000	 -0.00594	 0.07035
4.95000	 0.00268	 0.09326
5.00000	 0.00592	 0.07300
5.05000	 -0.00284	 0.06097
5.10000	 -0.01151	 0.07525
5.15000	 -0.00206	 0.08140
5.20000	 0.00754	 0.09006
5.25000	 0.00856	 0.06968
5.30000	 -0.00158	 0.08368
5.35000	 -0.00028	 0.07104
5.40000	 0.00219	 0.07115
5.45000	 0.00547	 0.07136
5.50000	 -0.00335	 0.08345
5.55000	 0.00422	 0.09020
5.60000	 0.00594	 0.06942
5.65000	 0.00902	 0.06659
