
Automatic Data Collection:
Thu Feb 21 16:03:12 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00890	 0.36989
0.05000	 0.02266	 0.37220
0.10000	 -0.02433	 0.38643
0.15000	 0.00690	 0.45328
0.20000	 -0.00321	 0.44661
0.25000	 0.01334	 0.43812
0.30000	 0.00051	 0.41573
0.35000	 0.00316	 0.51548
0.40000	 -0.00830	 0.44727
0.45000	 0.04675	 0.38637
0.50000	 0.01067	 0.35003
0.55000	 -0.03942	 0.53903
0.60000	 -0.00993	 0.39362
0.65000	 0.00236	 0.34726
0.70000	 0.01330	 0.44300
0.75000	 0.01047	 0.39001
0.80000	 -0.03646	 0.44869
0.85000	 -0.04617	 0.42069
0.90000	 -0.01216	 0.40926
0.95000	 0.03348	 0.45902
1.00000	 0.04585	 0.47683
1.05000	 0.03356	 0.52468
1.10000	 -0.01797	 0.47839
1.15000	 -0.00738	 0.39246
1.20000	 -0.00188	 0.44164
1.25000	 -0.00609	 0.32957
1.30000	 0.02439	 0.42346
1.35000	 0.00322	 0.53542
1.40000	 -0.01562	 0.48272
1.45000	 -0.00304	 0.47865
1.50000	 0.02557	 0.36868
1.55000	 0.04246	 0.39272
1.60000	 0.02205	 0.50055
1.65000	 0.00205	 0.43327
1.70000	 -0.01652	 0.44003
1.75000	 -0.04801	 0.49403
1.80000	 -0.05600	 0.38499
1.85000	 -0.00115	 0.39699
1.90000	 -0.00813	 0.41552
1.95000	 0.03287	 0.32688
2.00000	 0.03089	 0.44525
2.05000	 0.05975	 0.44208
2.10000	 0.02210	 0.56763
2.15000	 -0.02650	 0.43226
2.20000	 0.01997	 0.37667
2.25000	 -0.04038	 0.36334
2.30000	 -0.06532	 0.42003
2.35000	 -0.05161	 0.51063
2.40000	 -0.04430	 0.37200
2.45000	 0.00606	 0.51646
2.50000	 -0.00468	 0.44075
2.55000	 0.01140	 0.40115
2.60000	 0.01222	 0.39266
2.65000	 -0.00358	 0.46575
2.70000	 -0.02058	 0.47712
2.75000	 0.03394	 0.43841
2.80000	 -0.00157	 0.41405
2.85000	 -0.00343	 0.41749
2.90000	 0.03205	 0.46652
2.95000	 -0.01757	 0.40253
3.00000	 0.00014	 0.43186
3.05000	 0.00064	 0.40759
3.10000	 0.04606	 0.34914
3.15000	 -0.05950	 0.50177
3.20000	 -0.03894	 0.41896
3.25000	 -0.00408	 0.39122
3.30000	 -0.00881	 0.42366
3.35000	 -0.00296	 0.46520
3.40000	 0.00073	 0.46629
3.45000	 -0.03998	 0.47668
3.50000	 -0.02680	 0.50777
3.55000	 0.01036	 0.30535
3.60000	 0.00603	 0.31237
3.65000	 0.02221	 0.51527
3.70000	 -0.01227	 0.49224
3.75000	 -0.03199	 0.45261
3.80000	 -0.02374	 0.42981
3.85000	 0.00861	 0.36787
3.90000	 -0.06592	 0.34178
3.95000	 -0.05511	 0.35018
4.00000	 -0.06634	 0.46699
4.05000	 -0.03895	 0.46433
4.10000	 0.01013	 0.37754
4.15000	 0.00552	 0.37110
4.20000	 0.00991	 0.45625
4.25000	 -0.02252	 0.41954
4.30000	 0.00675	 0.52414
4.35000	 -0.02154	 0.39948
4.40000	 -0.01712	 0.34342
4.45000	 -0.00658	 0.36876
4.50000	 0.02013	 0.40204
4.55000	 -0.01131	 0.48705
4.60000	 -0.03188	 0.40080
4.65000	 -0.01185	 0.45354
4.70000	 -0.01562	 0.41659
4.75000	 -0.02481	 0.39694
4.80000	 -0.00518	 0.49519
4.85000	 -0.03171	 0.39627
4.90000	 0.00188	 0.49077
4.95000	 -0.03596	 0.45784
5.00000	 -0.01876	 0.43353
5.05000	 0.00448	 0.37263
5.10000	 0.01791	 0.35315
5.15000	 -0.02351	 0.43622
5.20000	 -0.02230	 0.46944
5.25000	 -0.04480	 0.43209
5.30000	 0.01332	 0.50555
5.35000	 0.00527	 0.51932
