
Automatic Data Collection:
Thu Feb 21 16:02:32 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.02748	 0.44205
0.05000	 -0.02318	 0.39584
0.10000	 -0.04708	 0.38236
0.15000	 -0.01182	 0.38507
0.20000	 -0.01684	 0.39428
0.25000	 -0.01785	 0.44993
0.30000	 0.00775	 0.39388
0.35000	 0.00488	 0.37953
0.40000	 0.00930	 0.36088
0.45000	 -0.02453	 0.39592
0.50000	 0.00043	 0.44970
0.55000	 -0.02607	 0.39771
0.60000	 -0.00862	 0.47071
0.65000	 -0.02903	 0.35970
0.70000	 0.02270	 0.36091
0.75000	 0.01338	 0.41391
0.80000	 -0.00968	 0.50664
0.85000	 -0.03678	 0.38958
0.90000	 -0.03616	 0.30587
0.95000	 0.03134	 0.44938
1.00000	 -0.00448	 0.47137
1.05000	 0.00116	 0.39440
1.10000	 -0.04353	 0.40776
1.15000	 -0.02052	 0.38796
1.20000	 0.00431	 0.36342
1.25000	 0.01472	 0.37745
1.30000	 -0.00565	 0.41604
1.35000	 -0.01179	 0.51577
1.40000	 -0.05431	 0.38103
1.45000	 -0.01928	 0.36371
1.50000	 -0.00547	 0.41725
1.55000	 -0.06118	 0.44020
1.60000	 -0.01079	 0.43694
1.65000	 -0.00324	 0.40998
1.70000	 -0.00450	 0.41541
1.75000	 -0.02647	 0.41708
1.80000	 -0.00030	 0.43913
1.85000	 -0.00679	 0.46300
1.90000	 -0.01617	 0.35690
1.95000	 -0.04778	 0.42291
2.00000	 -0.03725	 0.40034
2.05000	 -0.01647	 0.45270
2.10000	 -0.00361	 0.40432
2.15000	 -0.03424	 0.45631
2.20000	 -0.01771	 0.48529
2.25000	 -0.04738	 0.27455
2.30000	 -0.03024	 0.36241
2.35000	 0.01586	 0.50942
2.40000	 0.00808	 0.43319
2.45000	 0.00377	 0.46476
2.50000	 0.00197	 0.37933
2.55000	 -0.02449	 0.41855
2.60000	 0.00488	 0.42560
2.65000	 -0.00681	 0.39364
2.70000	 -0.00583	 0.49703
2.75000	 -0.01802	 0.43189
2.80000	 -0.03971	 0.35653
2.85000	 -0.01207	 0.40487
2.90000	 -0.01148	 0.38213
2.95000	 0.03639	 0.43671
3.00000	 0.00743	 0.40265
3.05000	 0.00786	 0.43928
3.10000	 -0.02197	 0.39191
3.15000	 -0.00752	 0.46953
3.20000	 0.00698	 0.36143
3.25000	 -0.03260	 0.37852
3.30000	 -0.00513	 0.42545
3.35000	 -0.02836	 0.41593
3.40000	 -0.02066	 0.42389
3.45000	 -0.00186	 0.41558
3.50000	 -0.01934	 0.43192
3.55000	 0.00079	 0.48632
3.60000	 -0.03564	 0.44231
