
Automatic Data Collection:
Thu Feb 21 16:52:42 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 0.00346	 0.03891
0.05000	 -0.00068	 0.04007
0.10000	 -0.00101	 0.04824
0.15000	 0.00381	 0.03637
0.20000	 0.00231	 0.03101
0.25000	 -0.00057	 0.03594
0.30000	 -0.00061	 0.04082
0.35000	 0.00600	 0.03479
0.40000	 0.00429	 0.03467
0.45000	 0.00090	 0.03785
0.50000	 -0.00002	 0.04316
0.55000	 0.00481	 0.03435
0.60000	 0.00366	 0.03435
0.65000	 -0.00115	 0.03984
0.70000	 0.00022	 0.04342
0.75000	 0.00081	 0.03707
0.80000	 0.00226	 0.02858
0.85000	 0.00056	 0.03779
0.90000	 0.00434	 0.03661
0.95000	 0.00211	 0.02939
1.00000	 0.00042	 0.03689
1.05000	 -0.00259	 0.03972
1.10000	 -0.00244	 0.03874
1.15000	 0.00025	 0.02835
1.20000	 0.00077	 0.03643
1.25000	 -0.00154	 0.03297
1.30000	 0.00188	 0.03597
1.35000	 0.00220	 0.02647
1.40000	 0.00039	 0.03528
1.45000	 -0.00484	 0.03750
1.50000	 -0.00290	 0.04036
1.55000	 0.00088	 0.02852
1.60000	 -0.00045	 0.03005
1.65000	 -0.00200	 0.03395
1.70000	 0.00017	 0.03782
1.75000	 0.00442	 0.02601
1.80000	 0.00243	 0.03583
1.85000	 0.00048	 0.03779
1.90000	 0.00336	 0.04275
1.95000	 0.00262	 0.03236
2.00000	 0.00206	 0.03407
2.05000	 0.00133	 0.03565
2.10000	 0.00448	 0.03207
2.15000	 0.00464	 0.03421
2.20000	 0.00023	 0.03418
2.25000	 -0.00023	 0.03915
2.30000	 0.00474	 0.02971
2.35000	 0.00355	 0.03066
2.40000	 0.00161	 0.03819
2.45000	 -0.00017	 0.04134
2.50000	 0.00291	 0.03695
2.55000	 0.00203	 0.03155
2.60000	 -0.00177	 0.03707
2.65000	 -0.00436	 0.03799
2.70000	 -0.00017	 0.03349
2.75000	 0.00350	 0.02939
2.80000	 0.00005	 0.03831
2.85000	 -0.00293	 0.04073
2.90000	 0.00172	 0.04131
2.95000	 0.00293	 0.03049
3.00000	 0.00124	 0.03767
3.05000	 -0.00098	 0.03704
3.10000	 0.00332	 0.03871
3.15000	 0.00031	 0.03121
3.20000	 -0.00206	 0.04068
3.25000	 -0.00048	 0.04108
3.30000	 0.00287	 0.03141
3.35000	 0.00009	 0.03583
3.40000	 -0.00349	 0.03560
3.45000	 0.00039	 0.04310
3.50000	 0.00386	 0.03228
3.55000	 0.00279	 0.04096
3.60000	 0.00031	 0.04498
3.65000	 0.00045	 0.04578
3.70000	 0.00422	 0.03464
3.75000	 0.00377	 0.03213
3.80000	 -0.00146	 0.03383
3.85000	 -0.00149	 0.04382
3.90000	 0.00112	 0.03782
3.95000	 0.00236	 0.03967
4.00000	 -0.00022	 0.04082
4.05000	 -0.00005	 0.04457
4.10000	 0.00411	 0.03652
4.15000	 0.00256	 0.03482
4.20000	 -0.00282	 0.03860
4.25000	 -0.00290	 0.03848
4.30000	 0.00260	 0.03802
4.35000	 -0.00062	 0.03588
4.40000	 -0.00239	 0.04379
4.45000	 0.00082	 0.04443
4.50000	 0.00254	 0.02711
4.55000	 -0.00014	 0.03453
4.60000	 -0.00340	 0.03845
4.65000	 0.00119	 0.03987
4.70000	 0.00343	 0.03066
4.75000	 0.00155	 0.04007
4.80000	 -0.00195	 0.04200
4.85000	 0.00233	 0.04013
4.90000	 0.00326	 0.03401
4.95000	 0.00226	 0.03646
5.00000	 -0.00301	 0.03508
5.05000	 0.00014	 0.03776
5.10000	 0.00354	 0.03115
5.15000	 0.00215	 0.03955
5.20000	 -0.00112	 0.04131
5.25000	 0.00023	 0.04449
