
Automatic Data Collection:
Thu Feb 21 17:02:35 2019
Data points are recorded 50.000000 ms apart

time (s)	Lift (N)	Drag (N)
0.00000	 -0.00330	 0.23034
0.05000	 0.00845	 0.20577
0.10000	 0.01313	 0.18182
0.15000	 0.00699	 0.20898
0.20000	 0.00025	 0.26549
0.25000	 0.01749	 0.23452
0.30000	 -0.00867	 0.20808
0.35000	 -0.00586	 0.21132
0.40000	 0.00403	 0.20791
0.45000	 0.00668	 0.21553
0.50000	 0.01141	 0.22451
0.55000	 -0.00231	 0.21541
0.60000	 0.00758	 0.22194
0.65000	 -0.00675	 0.22185
0.70000	 -0.01003	 0.19322
0.75000	 -0.00622	 0.20886
0.80000	 0.00133	 0.22846
0.85000	 -0.01002	 0.22846
0.90000	 -0.00600	 0.20355
0.95000	 0.00935	 0.22168
1.00000	 0.00147	 0.21316
1.05000	 0.00257	 0.18846
1.10000	 0.00822	 0.17786
1.15000	 -0.00076	 0.22673
1.20000	 -0.00214	 0.24462
1.25000	 0.01406	 0.24910
1.30000	 0.01394	 0.22488
1.35000	 -0.00054	 0.20193
1.40000	 0.00833	 0.22693
1.45000	 -0.00194	 0.22575
1.50000	 -0.00323	 0.22572
1.55000	 -0.00738	 0.22119
1.60000	 -0.00685	 0.21608
1.65000	 0.02109	 0.22670
1.70000	 0.00651	 0.24575
1.75000	 0.00786	 0.22921
1.80000	 0.01098	 0.20961
1.85000	 0.00780	 0.19680
1.90000	 0.00749	 0.20092
1.95000	 0.01610	 0.22041
2.00000	 0.00138	 0.21420
2.05000	 0.00673	 0.20130
2.10000	 -0.00251	 0.19685
2.15000	 0.00088	 0.22881
2.20000	 0.01687	 0.22176
2.25000	 0.00823	 0.21937
2.30000	 0.01436	 0.18684
2.35000	 0.00668	 0.20531
2.40000	 0.01075	 0.22032
2.45000	 0.01200	 0.22462
2.50000	 0.01307	 0.19232
2.55000	 0.02538	 0.21406
2.60000	 0.01721	 0.21088
2.65000	 0.01306	 0.20205
2.70000	 0.01794	 0.22930
2.75000	 0.00878	 0.26950
2.80000	 0.01627	 0.24497
2.85000	 0.01467	 0.21536
2.90000	 0.02145	 0.19498
2.95000	 0.00913	 0.22156
3.00000	 0.00533	 0.22194
3.05000	 0.00732	 0.21264
3.10000	 0.01422	 0.21795
3.15000	 0.01220	 0.21195
3.20000	 -0.00017	 0.21492
3.25000	 0.00183	 0.20846
3.30000	 0.00206	 0.21703
3.35000	 -0.00755	 0.21625
3.40000	 0.00293	 0.21608
3.45000	 0.01149	 0.21504
3.50000	 0.01382	 0.20355
3.55000	 0.01225	 0.20647
3.60000	 0.00933	 0.22468
3.65000	 -0.00034	 0.19942
3.70000	 0.00842	 0.19628
3.75000	 0.00608	 0.23126
3.80000	 0.01177	 0.23833
3.85000	 0.01503	 0.21743
3.90000	 0.01011	 0.21016
3.95000	 0.00921	 0.20932
4.00000	 0.00791	 0.21879
4.05000	 0.00678	 0.22563
4.10000	 0.00025	 0.22728
4.15000	 -0.00312	 0.23441
4.20000	 -0.00492	 0.21400
4.25000	 -0.00391	 0.19342
4.30000	 -0.00448	 0.19515
4.35000	 -0.00030	 0.21911
4.40000	 0.01151	 0.22223
4.45000	 0.02644	 0.22667
4.50000	 0.00512	 0.23862
4.55000	 -0.00309	 0.24898
4.60000	 0.00160	 0.22673
4.65000	 -0.00540	 0.19258
4.70000	 0.01456	 0.19550
4.75000	 0.01188	 0.19524
4.80000	 0.01058	 0.22067
4.85000	 0.00581	 0.25210
4.90000	 -0.00239	 0.21689
4.95000	 0.00626	 0.20739
5.00000	 -0.00574	 0.22041
5.05000	 0.01303	 0.18756
5.10000	 0.00033	 0.20078
5.15000	 0.01648	 0.21426
5.20000	 0.00003	 0.22993
5.25000	 -0.00065	 0.20577
5.30000	 0.00265	 0.19212
5.35000	 0.00795	 0.18632
5.40000	 0.00867	 0.19792
5.45000	 0.00876	 0.22624
5.50000	 0.00805	 0.24278
5.55000	 0.02022	 0.25233
5.60000	 0.01447	 0.22468
5.65000	 0.00716	 0.20751
5.70000	 0.00420	 0.19195
5.75000	 -0.00591	 0.19838
5.80000	 0.00048	 0.20600
5.85000	 0.01431	 0.22225
5.90000	 0.00949	 0.22390
5.95000	 0.00991	 0.25729
6.00000	 0.00296	 0.21117
6.05000	 0.00941	 0.20430
6.10000	 0.00645	 0.20921
6.15000	 -0.01735	 0.21974
6.20000	 -0.00172	 0.22148
6.25000	 -0.00611	 0.20802
6.30000	 -0.01304	 0.20574
6.35000	 -0.00028	 0.20208
6.40000	 0.01165	 0.19706
6.45000	 0.01178	 0.20407
6.50000	 0.00702	 0.22471
6.55000	 0.00671	 0.21980
6.60000	 0.00298	 0.20468
6.65000	 0.01349	 0.19622
6.70000	 0.00568	 0.20849
6.75000	 0.02031	 0.24332
6.80000	 0.02430	 0.25112
6.85000	 0.01335	 0.20846
6.90000	 0.01687	 0.20292
6.95000	 0.01071	 0.21885
7.00000	 -0.00673	 0.19740
7.05000	 0.01386	 0.21567
7.10000	 0.00450	 0.22188
7.15000	 -0.00106	 0.26188
7.20000	 -0.00253	 0.23969
7.25000	 0.01876	 0.22491
7.30000	 -0.00068	 0.20064
7.35000	 0.00397	 0.21943
7.40000	 0.00614	 0.19521
7.45000	 0.00167	 0.19201
7.50000	 -0.00121	 0.22569
7.55000	 -0.00310	 0.22950
7.60000	 -0.00298	 0.21801
7.65000	 0.00986	 0.21943
7.70000	 0.00921	 0.22182
7.75000	 0.02030	 0.21183
7.80000	 0.01444	 0.20860
7.85000	 0.00290	 0.21440
7.90000	 0.01765	 0.22996
7.95000	 0.00996	 0.23178
8.00000	 0.00780	 0.21902
8.05000	 0.01242	 0.20430
8.10000	 0.01810	 0.21163
8.15000	 0.00619	 0.20722
8.20000	 0.02355	 0.20502
8.25000	 0.00631	 0.21530
8.30000	 0.00143	 0.23366
8.35000	 -0.00299	 0.24612
8.40000	 0.00409	 0.23516
8.45000	 0.00813	 0.20520
8.50000	 0.01380	 0.18825
8.55000	 0.01520	 0.21807
8.60000	 0.02086	 0.22736
8.65000	 0.00915	 0.23908
8.70000	 0.01075	 0.23856
8.75000	 0.00329	 0.21868
8.80000	 0.00606	 0.20320
8.85000	 0.01317	 0.20707
8.90000	 0.01203	 0.22078
8.95000	 0.01562	 0.22396
9.00000	 0.01976	 0.21596
9.05000	 0.02214	 0.21045
9.10000	 0.01579	 0.21547
9.15000	 0.01011	 0.22122
9.20000	 0.01820	 0.21504
9.25000	 0.02777	 0.20944
9.30000	 0.01267	 0.20696
9.35000	 -0.00133	 0.19530
9.40000	 0.00750	 0.19841
9.45000	 -0.00071	 0.21282
9.50000	 -0.00006	 0.22534
9.55000	 -0.00763	 0.21856
9.60000	 -0.00320	 0.22015
9.65000	 -0.00197	 0.21132
9.70000	 0.01089	 0.19720
9.75000	 0.01444	 0.20471
9.80000	 0.02850	 0.19587
9.85000	 0.01017	 0.18667
9.90000	 0.00650	 0.23977
9.95000	 0.00595	 0.23013
